Day,[TACC RANGER] CPU Hours: Per Job,[NICS KRAKEN] CPU Hours: Per Job,[GATECH KEENELAND] CPU Hours: Per Job,[PSC BLACKLIGHT] CPU Hours: Per Job,[TACC STAMPEDE] CPU Hours: Per Job,[TACC LONESTAR4] CPU Hours: Per Job,[NICS NAUTILUS] CPU Hours: Per Job,[SDSC GORDON] CPU Hours: Per Job,[TACC LONGHORN] CPU Hours: Per Job,[SDSC TRESTLES] CPU Hours: Per Job,[PURDUE STEELE] CPU Hours: Per Job,[GATECH KIDS] CPU Hours: Per Job,[PURDUE CONDOR] CPU Hours: Per Job
2013-02-01,1005.61507349,725.51923950,623.04923276,388.03546836,198.48764727,248.57112285,147.93986364,377.18246782,167.28111429,130.65389417,16.81602448,0,0.84627768
2013-02-02,1067.44431285,1160.16076465,610.98879111,517.61922439,151.09126235,351.77413553,108.22750862,424.62113333,0.10610000,34.40508624,19.86459118,0,1.56742603
2013-02-03,1305.10485341,1062.65424551,1222.40260952,770.40120777,87.13593907,174.51409358,153.62541538,596.54967798,1.30000000,178.07637873,36.34899053,0,7.20597000
2013-02-04,1535.27753354,949.40105005,342.20318137,334.08452673,90.11532372,263.86986997,76.32474483,196.64407948,42.02401538,51.29857032,9.48251426,0,0.10243132
2013-02-05,2409.80281761,916.92056499,210.39140556,390.80943763,110.92116111,288.10544117,240.93278537,207.87753654,44.21884348,94.57706350,14.28288967,0,0.24172629
2013-02-06,2819.44270119,764.82893216,477.98761059,331.55887757,134.76726957,279.57298849,393.65065094,185.35384978,30.54415938,91.03256515,7.91640187,0,0.59336117
2013-02-07,1602.40724488,876.51413247,309.46189426,476.56824621,131.04872220,258.81825024,183.08339342,348.10538810,49.17326769,92.39462315,11.99524264,0,0.63081248
2013-02-08,24734.80333750,1166.21731973,361.27227767,371.57232021,133.08455401,288.14719276,115.00463793,325.53404531,65.16879362,131.95664313,14.35050866,0,1.90188410
2013-02-09,98190.22220000,911.16179018,326.49155667,487.69768074,165.31636061,466.76542416,177.89022667,441.60327102,204.94416250,95.51409827,13.99210633,0,14.34444500
2013-02-10,98164.05335000,993.01288763,16.91555000,301.81265635,185.67563464,444.88452775,152.74196154,473.95079892,309.31263725,142.37400196,8.95084399,0,12.01754583
2013-02-11,56572.58670000,791.67393768,620.95887119,324.82413382,115.31692179,242.13399743,157.29310588,205.04003757,201.56520682,53.62883284,12.82199102,0,1.26201063
2013-02-12,0,1396.22420528,405.79876346,312.14460873,315.02417759,190.06767554,340.73002973,573.22690362,192.13957143,83.72948385,8.14566642,0,9.14037333
2013-02-13,0,849.04590654,806.21929367,322.81492536,406.31528432,318.27091217,278.55246071,201.89734806,153.88610111,92.50650825,8.03594360,0,1.39481009
2013-02-14,0,3134.95498069,357.63371570,402.13293728,251.47491018,235.81226838,154.35864483,150.25546869,81.46091765,105.08113913,13.40910366,0,0.13520867
2013-02-15,0,1571.55618318,558.65708039,290.63746092,123.60319509,324.82224848,140.27187727,498.71360036,65.75263158,80.63704379,13.59022737,0,8.93317679
2013-02-16,0,1502.25323117,898.44605072,1053.00052157,107.26369012,334.65895338,339.40635000,428.56047505,105.70758276,114.98374188,3.96595897,0,11.33025632
2013-02-17,0,1393.80151941,1232.00013188,356.05726721,52.53236394,452.87175758,370.59636667,353.93342275,130.83341887,144.11683516,4.67566097,0,12.40877632
2013-02-18,0,1455.96512552,1234.60564583,291.25381815,97.39271578,407.35201042,29.99195957,269.40616966,98.88971111,140.19081432,7.73945126,0,2.09005489
2013-02-19,0,1420.12223582,1055.01024933,219.44464983,103.47582470,185.92598358,82.61407353,271.37023883,248.48352609,142.45294040,15.37009788,0,2.48139340
2013-02-20,0,1035.43228372,1345.12174107,174.66106290,189.81982343,206.70566147,94.54956071,206.94517012,229.22707966,172.71203709,8.22117844,0,0.26471684
2013-02-21,0,2382.67671686,1043.08265139,132.70012826,124.00720071,240.63179383,55.33981528,353.63954846,184.41517115,101.02568449,9.54453415,0,0.58219576
2013-02-22,0,1719.34719091,796.02439565,177.69168846,250.02593882,414.36765148,147.19685652,323.76990870,271.43407222,107.35434510,10.46397896,0,1.12884923
2013-02-23,0,1450.75656937,1464.97761930,264.59191667,247.96969712,374.97731799,46.72042885,584.88390539,390.08366176,91.42745901,16.15666096,0,0.97435707
2013-02-24,0,1863.03597660,1250.42059577,163.52607690,134.24263078,358.23142966,85.62666800,389.79649368,224.64012632,76.20689457,9.00108256,0,14.26166500
2013-02-25,0,1149.35267106,696.20034844,185.39346646,118.46131757,123.26155076,46.37150909,243.50317200,19.51414545,81.20246412,9.38077129,0,0.23663632
2013-02-26,0,1029.87160220,787.57918246,125.45727006,206.45368950,255.06798383,69.51475294,171.81187300,152.37859091,174.57158199,5.74717103,0,0.99730151
2013-02-27,0,1110.51660218,881.74051410,79.22936186,448.23320503,306.62730340,117.79743385,419.04374679,96.18119000,99.92119450,8.04780238,0,5.36693871
2013-02-28,0,818.91544447,1015.77166118,81.65828183,316.44853095,307.23378801,109.77388625,301.45034275,117.15539630,74.49736399,4.55011732,0,17.40305714
2013-03-01,0,966.46769748,796.93413511,172.28166284,553.30002967,425.74515181,107.69324054,256.46492677,119.35602857,82.43536181,7.90343428,0,4.00353404
2013-03-02,0,1597.50279611,1501.18604561,202.26421836,548.22926776,425.79672960,93.46620735,312.27913107,92.17200500,77.00553294,21.45546202,0,13.17276000
2013-03-03,0,1672.28029041,1346.11870323,1166.57302759,578.25022842,571.89350651,87.12887879,198.55060991,70.24515600,106.68908338,7.74340975,0,14.37460882
2013-03-04,0,839.54060380,1238.48728852,219.30769202,470.40996978,216.07067318,139.42207000,221.51325581,42.68485556,138.69485996,9.27222825,0,14.33959333
2013-03-05,0,599.69836288,834.06124792,142.46010234,437.37002545,265.63345488,185.77544878,270.89740108,193.86128947,153.69524122,14.57555750,0,13.89983750
2013-03-06,0,613.20054046,811.19746000,114.59659568,359.49851739,223.64790763,207.65864643,123.72076305,106.09126667,145.31478032,9.35795698,0,5.78355135
2013-03-07,0,409.08298352,1025.22290235,114.76052782,192.73062159,205.95973931,218.13425098,164.33000889,79.24368421,127.25752649,12.99198925,0,10.26113061
2013-03-08,0,1077.65006875,851.12517143,292.05801087,184.54675374,237.00933871,79.08852545,139.90827774,175.71852000,105.61673914,19.33213800,0,1.84508686
2013-03-09,0,1693.26078518,686.45239605,538.56418595,78.68588866,236.38793314,84.88808182,158.21466502,99.26279630,101.52892808,29.49201464,0,16.47036207
2013-03-10,0,2942.78754535,671.17280588,407.61708944,82.66159014,201.36029533,11.93036667,214.54435495,54.76451143,152.44660500,16.55046800,0,12.98001786
2013-03-11,0,2760.42458092,235.28000250,251.96133294,172.50323926,160.43200716,85.92733500,174.60993799,65.98718605,79.42386065,8.92779404,0,1.86159555
2013-03-12,0,986.00122494,119.62293678,482.55079082,240.06753812,111.70089518,35.24490000,198.52992744,123.19450175,138.00443925,11.03029333,0,1.62033673
2013-03-13,0,943.42088264,157.52774021,208.81511257,278.71726514,196.08853137,105.54313590,287.62792342,136.34276444,80.00651537,12.09685948,0,3.35727628
