title
"Number of Jobs Started: by Node Count"
parameters
"Resource =  SDSC-COMET"
start,end
2016-02-01,2016-07-31
---------
Day,"[1] Number of Jobs Started","[2] Number of Jobs Started","[10] Number of Jobs Started","[4] Number of Jobs Started","[8] Number of Jobs Started","[3] Number of Jobs Started","[6] Number of Jobs Started","[12] Number of Jobs Started","[16] Number of Jobs Started","[5] Number of Jobs Started","[22] Number of Jobs Started","[64] Number of Jobs Started","[24] Number of Jobs Started","[20] Number of Jobs Started","[32] Number of Jobs Started","[9] Number of Jobs Started","[60] Number of Jobs Started","[25] Number of Jobs Started","[15] Number of Jobs Started","[7] Number of Jobs Started","[18] Number of Jobs Started","[72] Number of Jobs Started","[30] Number of Jobs Started","[11] Number of Jobs Started","[40] Number of Jobs Started","[48] Number of Jobs Started","[36] Number of Jobs Started","[50] Number of Jobs Started","[43] Number of Jobs Started","[14] Number of Jobs Started","[13] Number of Jobs Started","[17] Number of Jobs Started","[42] Number of Jobs Started","[70] Number of Jobs Started","[21] Number of Jobs Started","[62] Number of Jobs Started","[34] Number of Jobs Started","[35] Number of Jobs Started","[45] Number of Jobs Started","[26] Number of Jobs Started","[54] Number of Jobs Started","[28] Number of Jobs Started","[38] Number of Jobs Started","[56] Number of Jobs Started","[46] Number of Jobs Started","[33] Number of Jobs Started","[27] Number of Jobs Started","[19] Number of Jobs Started","[31] Number of Jobs Started","[65] Number of Jobs Started","[23] Number of Jobs Started","[41] Number of Jobs Started","[63] Number of Jobs Started","[44] Number of Jobs Started","[52] Number of Jobs Started","[53] Number of Jobs Started","[49] Number of Jobs Started","[55] Number of Jobs Started","[37] Number of Jobs Started","[39] Number of Jobs Started","[61] Number of Jobs Started","[29] Number of Jobs Started","[47] Number of Jobs Started","[67] Number of Jobs Started","[68] Number of Jobs Started","[66] Number of Jobs Started","[57] Number of Jobs Started","[58] Number of Jobs Started","[59] Number of Jobs Started"
2016-02-01,1373,369,7,111,118,18,21,28,26,2,0,0,4,15,0,3,0,8,0,0,1,10,0,2,10,0,0,0,0,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-02,2542,262,21,43,41,18,20,26,16,4,1,1,4,4,1,3,0,20,0,0,0,3,0,0,3,0,0,1,0,0,0,0,2,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
2016-02-03,1897,1008,61,71,23,19,16,2,15,6,4,0,4,4,0,23,0,6,6,14,2,6,1,0,3,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-04,8201,673,69,72,51,8,8,73,15,31,0,2,3,5,0,35,0,0,7,0,0,2,0,1,9,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-05,1312,1304,73,38,32,9,10,22,12,10,7,0,1,5,1,8,0,0,30,6,2,12,0,1,9,0,0,3,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-06,465,109,23,31,25,16,21,13,3,5,11,0,0,3,0,10,0,0,7,16,0,6,0,0,0,0,0,1,17,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-07,413,86,12,60,4,6,20,4,3,0,0,0,1,24,0,1,0,0,10,3,0,7,0,1,0,2,0,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-08,127,127,11,37,13,2,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-09,511,90,3,45,3,7,9,15,0,1,2,0,0,2,0,0,0,0,0,2,0,2,0,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-10,1731,305,19,52,48,29,7,10,3,29,8,0,3,6,3,2,0,26,6,2,4,13,4,11,15,1,2,3,10,2,3,1,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-11,1086,823,12,32,21,6,11,97,3,16,2,0,5,4,0,2,0,0,4,0,6,2,0,0,2,0,0,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-12,1587,885,18,41,14,48,0,13,6,6,0,1,2,8,0,6,0,1,7,0,4,3,1,0,3,0,0,1,0,1,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-13,1246,540,9,29,12,14,5,16,3,1,0,1,1,4,4,0,1,0,1,0,6,1,1,0,12,1,0,0,1,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-14,1079,1111,10,13,0,31,10,8,2,3,0,1,0,2,1,0,1,0,2,0,1,5,0,0,2,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-15,1995,370,18,55,19,24,8,15,5,4,3,1,31,5,5,0,8,0,8,0,9,21,0,0,10,3,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-16,1657,353,21,47,33,17,5,14,5,2,1,0,37,3,2,1,0,8,4,0,2,15,0,0,2,2,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-17,1635,339,33,40,7,22,5,7,5,25,1,2,0,5,2,0,0,6,4,0,3,10,1,0,4,39,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-18,2223,463,22,73,19,12,13,90,9,21,0,0,1,6,0,1,0,0,2,0,5,2,0,0,4,33,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-19,1787,300,16,1027,15,21,3,96,9,2,4,1,0,22,0,2,0,19,6,2,8,2,1,0,1,49,0,0,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-20,1062,192,15,76,18,37,2,16,6,1,2,1,1,10,1,0,0,0,2,0,1,3,0,0,1,13,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-21,1340,156,33,1797,6,6,3,9,48,11,4,1,4,4,0,0,0,0,2,0,0,2,0,3,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-22,1609,382,32,995,27,50,6,5,14,10,1,1,2,7,10,4,0,0,3,0,0,5,5,3,1,4,0,1,1,4,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-23,5079,438,38,186,7,17,14,7,9,13,4,1,2,10,2,2,0,5,4,0,0,0,5,2,2,3,1,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-24,6540,506,30,103,62,29,7,25,21,20,7,1,30,3,25,1,10,23,3,2,0,0,2,1,0,13,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-25,3271,376,11,38,6,18,2,76,15,17,7,1,0,0,0,2,0,3,2,1,0,11,1,1,6,26,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-26,1951,391,25,88,36,39,17,15,26,11,2,1,2,3,14,1,0,3,3,1,0,3,0,0,2,21,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-27,891,315,5,43,34,39,20,16,8,35,4,0,2,6,1,0,0,5,1,2,0,9,2,2,0,42,4,2,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-28,1418,333,9,61,21,34,1,15,13,19,3,4,31,0,0,0,0,0,0,2,0,18,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-29,2566,562,22,36,35,55,10,52,26,16,2,1,66,3,4,0,2,6,0,3,0,10,0,4,4,2,0,1,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-01,1510,438,20,83,77,45,5,27,33,15,6,1,56,9,33,11,0,1,15,0,0,28,0,3,1,0,0,4,1,0,0,2,0,6,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-02,1956,325,13,90,32,99,13,20,15,10,1,0,39,11,8,0,1,2,10,1,0,10,0,5,3,0,0,3,2,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-03,3569,296,13,126,43,34,7,14,29,19,4,2,3,15,2,5,0,4,0,0,0,11,2,16,5,2,0,6,1,0,0,1,0,0,0,0,3,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-04,2331,370,6,76,39,31,14,9,32,20,1,0,1,5,37,3,1,1,0,0,0,16,0,3,3,5,0,18,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-05,1177,315,5,102,23,56,32,15,31,11,2,1,2,2,0,3,4,0,0,0,0,0,0,2,7,8,19,4,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-06,1134,258,6,65,47,151,4,13,20,13,11,0,3,10,0,4,4,1,0,0,0,0,0,1,1,6,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-07,2017,379,51,177,92,202,27,23,39,17,9,0,4,36,38,3,5,2,0,0,0,0,0,1,9,6,6,7,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
