Day,[1] Number of Jobs Started,[2] Number of Jobs Started,[4] Number of Jobs Started,[8] Number of Jobs Started,[16] Number of Jobs Started,[32] Number of Jobs Started,[3] Number of Jobs Started,[6] Number of Jobs Started,[9] Number of Jobs Started,[12] Number of Jobs Started,[5] Number of Jobs Started,[7] Number of Jobs Started,[10] Number of Jobs Started,[15] Number of Jobs Started,[20] Number of Jobs Started,[14] Number of Jobs Started,[24] Number of Jobs Started,[30] Number of Jobs Started,[21] Number of Jobs Started,[18] Number of Jobs Started,[26] Number of Jobs Started,[11] Number of Jobs Started,[13] Number of Jobs Started,[27] Number of Jobs Started,[23] Number of Jobs Started
2013-02-01,556,153,30,4,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-02,2384,95,22,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-02-03,343,48,17,3,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-04,1734,158,28,6,3,3,5,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2013-02-05,875,91,16,8,11,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-06,838,150,11,9,4,7,7,2,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0
2013-02-07,1101,93,26,8,2,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-08,644,111,6,6,13,10,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-02-09,1447,31,9,1,1,27,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2013-02-10,69,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-11,1331,111,13,7,3,1,10,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0
2013-02-12,1642,118,10,0,0,7,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-13,1017,70,13,3,4,12,4,10,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,1,0
2013-02-14,1308,139,16,2,2,1,1,18,5,14,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0
2013-02-15,1042,97,8,2,0,1,5,37,2,4,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0
2013-02-16,540,31,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2013-02-17,737,31,16,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-18,955,114,27,2,0,2,1,1,4,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
2013-02-19,496,127,5,1,0,2,8,26,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-02-20,892,120,7,1,0,2,33,9,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2013-02-21,1150,181,2,2,0,2,13,3,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-22,785,112,7,3,0,0,5,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-23,1031,38,7,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-24,529,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-25,273,98,15,2,0,4,5,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-26,834,94,12,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-27,837,121,35,8,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-28,1200,95,15,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01,997,72,13,10,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-02,815,65,14,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-03,297,96,16,1,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-04,545,161,40,27,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-05,422,134,37,17,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-06,304,166,8,8,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-07,596,105,8,6,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-08,549,126,8,14,2,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-09,370,60,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-10,65,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-11,875,114,5,5,3,4,3,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0
2013-03-12,440,151,16,9,0,0,1,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0
2013-03-13,1176,111,34,10,0,0,1,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0
2013-03-14,1514,197,23,17,2,0,3,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-15,1326,139,29,23,2,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-16,735,60,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-17,2585,62,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-18,3119,104,18,12,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2013-03-19,1142,120,29,21,3,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-20,1475,163,7,10,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2013-03-21,1082,120,6,6,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-22,3127,135,2,6,1,0,8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-23,2172,92,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-24,2287,91,0,10,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-03-25,1436,142,15,7,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
2013-03-26,1092,112,15,8,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
2013-03-27,869,103,31,19,6,1,3,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
2013-03-28,392,149,17,8,0,1,9,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-29,374,79,19,21,8,2,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-30,613,259,218,221,72,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-31,283,57,21,22,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-01,775,127,60,15,5,1,1,0,1,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0
