Day,[1] Number of Jobs Started,[2] Number of Jobs Started,[4] Number of Jobs Started,[8] Number of Jobs Started,[3] Number of Jobs Started,[16] Number of Jobs Started,[6] Number of Jobs Started,[10] Number of Jobs Started,[32] Number of Jobs Started,[64] Number of Jobs Started,[5] Number of Jobs Started,[12] Number of Jobs Started,[9] Number of Jobs Started,[17] Number of Jobs Started,[15] Number of Jobs Started,[20] Number of Jobs Started,[18] Number of Jobs Started,[21] Number of Jobs Started,[100] Number of Jobs Started,[128] Number of Jobs Started,[19] Number of Jobs Started,[33] Number of Jobs Started,[24] Number of Jobs Started,[40] Number of Jobs Started,[48] Number of Jobs Started,[60] Number of Jobs Started,[96] Number of Jobs Started,[28] Number of Jobs Started,[56] Number of Jobs Started,[7] Number of Jobs Started,[30] Number of Jobs Started,[59] Number of Jobs Started,[11] Number of Jobs Started,[26] Number of Jobs Started,[43] Number of Jobs Started,[22] Number of Jobs Started,[36] Number of Jobs Started,[25] Number of Jobs Started,[50] Number of Jobs Started,[52] Number of Jobs Started,[29] Number of Jobs Started,[38] Number of Jobs Started,[45] Number of Jobs Started,[57] Number of Jobs Started,[34] Number of Jobs Started,[13] Number of Jobs Started,[47] Number of Jobs Started,[14] Number of Jobs Started,[27] Number of Jobs Started,[126] Number of Jobs Started,[23] Number of Jobs Started,[35] Number of Jobs Started,[55] Number of Jobs Started,[62] Number of Jobs Started,[63] Number of Jobs Started,[65] Number of Jobs Started,[99] Number of Jobs Started,[114] Number of Jobs Started,[120] Number of Jobs Started
2015-08-01,410,7,17,0,2,0,1,0,7,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,372,26,12,0,10,9,0,1,9,5,4,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-03,581,28,28,22,19,12,3,0,0,7,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-04,656,53,49,18,6,5,0,0,3,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-05,671,23,39,8,6,1,5,0,5,4,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-06,480,7,33,9,12,2,0,0,19,6,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-07,354,7,24,0,13,3,1,0,7,5,1,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015-08-08,271,42,61,17,38,10,0,2,7,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-09,369,68,102,11,64,6,0,0,0,5,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-10,660,38,77,12,82,4,0,0,7,1,1,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
