title
"Number of Jobs Started: by Node Count"
parameters
"Resource =  TACC-STAMPEDE"
start,end
2012-08-01,2013-01-31
---------
Day,"[1] Number of Jobs Started","[2] Number of Jobs Started","[4] Number of Jobs Started","[8] Number of Jobs Started","[16] Number of Jobs Started","[10] Number of Jobs Started","[256] Number of Jobs Started","[3] Number of Jobs Started","[32] Number of Jobs Started","[12] Number of Jobs Started","[6] Number of Jobs Started","[64] Number of Jobs Started","[20] Number of Jobs Started","[5] Number of Jobs Started","[128] Number of Jobs Started","[15] Number of Jobs Started","[200] Number of Jobs Started","[7] Number of Jobs Started","[30] Number of Jobs Started","[9] Number of Jobs Started","[14] Number of Jobs Started","[45] Number of Jobs Started","[1024] Number of Jobs Started","[11] Number of Jobs Started","[36] Number of Jobs Started","[106] Number of Jobs Started","[13] Number of Jobs Started","[100] Number of Jobs Started","[50] Number of Jobs Started","[22] Number of Jobs Started","[35] Number of Jobs Started","[48] Number of Jobs Started","[136] Number of Jobs Started","[23] Number of Jobs Started","[24] Number of Jobs Started","[160] Number of Jobs Started","[25] Number of Jobs Started","[68] Number of Jobs Started","[80] Number of Jobs Started","[192] Number of Jobs Started","[208] Number of Jobs Started","[28] Number of Jobs Started","[75] Number of Jobs Started","[230] Number of Jobs Started","[17] Number of Jobs Started","[181] Number of Jobs Started","[40] Number of Jobs Started","[132] Number of Jobs Started","[46] Number of Jobs Started","[150] Number of Jobs Started","[39] Number of Jobs Started","[250] Number of Jobs Started","[18] Number of Jobs Started","[34] Number of Jobs Started","[512] Number of Jobs Started","[21] Number of Jobs Started","[51] Number of Jobs Started","[54] Number of Jobs Started","[70] Number of Jobs Started","[232] Number of Jobs Started","[19] Number of Jobs Started","[66] Number of Jobs Started","[71] Number of Jobs Started","[152] Number of Jobs Started","[168] Number of Jobs Started","[216] Number of Jobs Started","[85] Number of Jobs Started","[120] Number of Jobs Started","[129] Number of Jobs Started","[86] Number of Jobs Started","[175] Number of Jobs Started","[213] Number of Jobs Started","[224] Number of Jobs Started","[31] Number of Jobs Started","[110] Number of Jobs Started","[49] Number of Jobs Started","[60] Number of Jobs Started","[63] Number of Jobs Started","[65] Number of Jobs Started","[67] Number of Jobs Started","[90] Number of Jobs Started","[113] Number of Jobs Started","[165] Number of Jobs Started","[210] Number of Jobs Started","[27] Number of Jobs Started","[72] Number of Jobs Started","[84] Number of Jobs Started","[96] Number of Jobs Started","[140] Number of Jobs Started","[183] Number of Jobs Started","[194] Number of Jobs Started","[225] Number of Jobs Started"
2013-01-07,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-08,598,32,26,6,1,0,4,5,13,5,2,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,5,0,0,6,0,0,0,4,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
2013-01-09,145,92,84,50,48,17,75,15,12,27,26,6,6,17,2,24,0,16,0,16,16,0,13,16,5,0,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-10,177,405,79,6,36,4,58,17,7,3,6,1,17,2,3,6,0,2,2,7,0,0,3,0,6,0,0,0,0,0,0,4,0,0,1,4,1,0,0,0,0,2,4,0,1,0,3,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013-01-11,1003,297,113,26,24,40,12,6,28,2,37,6,21,3,3,1,0,2,0,2,1,15,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
2013-01-12,136,41,149,19,6,15,36,11,3,2,4,2,7,0,3,0,0,4,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-01-13,1016,72,121,12,33,6,13,21,14,4,5,11,0,8,12,2,1,12,0,12,2,4,14,2,0,0,2,0,0,0,0,0,0,16,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-14,3213,147,66,16,9,3,3,2,2,0,4,2,2,0,3,0,0,2,0,0,0,0,4,0,4,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-15,1628,29,41,10,21,30,32,9,1,11,0,10,11,1,0,0,0,0,0,2,0,3,0,0,5,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-16,3296,225,184,81,86,58,17,8,66,17,10,3,12,0,1,0,0,11,0,3,1,3,0,0,9,0,0,0,2,0,12,0,1,0,0,1,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-17,3176,64,63,21,13,7,14,10,3,12,4,2,12,54,0,4,0,4,0,5,5,1,1,4,3,0,4,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-18,2860,122,80,27,32,8,14,17,1,20,9,4,21,5,1,4,0,5,0,4,10,1,3,4,2,0,4,1,0,4,2,0,0,4,4,0,0,0,0,0,0,0,1,0,4,0,0,4,0,0,0,0,4,1,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-19,1649,58,165,81,78,3,21,0,28,4,3,2,6,5,3,1,0,0,1,0,4,4,2,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-20,2096,53,93,71,41,10,3,9,0,15,4,0,0,1,1,0,0,6,2,4,5,2,5,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-21,1555,29,63,63,61,8,2,16,0,7,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-23,1120,22,55,11,8,4,3,6,5,6,5,1,6,3,0,3,0,9,3,7,7,2,0,2,1,0,2,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-24,3750,171,200,188,91,12,20,59,41,17,11,25,11,9,0,4,0,5,27,5,4,4,0,3,1,9,5,0,0,3,2,1,2,4,4,1,2,0,3,4,0,0,2,2,3,1,0,0,0,0,0,2,2,0,0,5,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0
