Day,[1] Number of Jobs Started,[4] Number of Jobs Started,[2] Number of Jobs Started,[16] Number of Jobs Started,[8] Number of Jobs Started,[32] Number of Jobs Started,[20] Number of Jobs Started,[3] Number of Jobs Started,[64] Number of Jobs Started,[10] Number of Jobs Started,[6] Number of Jobs Started,[24] Number of Jobs Started,[5] Number of Jobs Started,[12] Number of Jobs Started,[40] Number of Jobs Started,[30] Number of Jobs Started,[50] Number of Jobs Started,[15] Number of Jobs Started,[51] Number of Jobs Started,[35] Number of Jobs Started,[9] Number of Jobs Started,[25] Number of Jobs Started,[7] Number of Jobs Started,[36] Number of Jobs Started,[11] Number of Jobs Started,[13] Number of Jobs Started,[14] Number of Jobs Started,[31] Number of Jobs Started,[18] Number of Jobs Started,[17] Number of Jobs Started,[26] Number of Jobs Started,[33] Number of Jobs Started,[60] Number of Jobs Started,[21] Number of Jobs Started,[38] Number of Jobs Started,[63] Number of Jobs Started,[48] Number of Jobs Started,[28] Number of Jobs Started,[29] Number of Jobs Started,[57] Number of Jobs Started
2012-03-05,26,6,22,2,4,1,0,5,4,2,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0
2012-03-06,27,5,79,4,2,1,0,3,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2012-03-07,25,2,31,1,0,0,0,0,7,1,0,7,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2012-03-08,26,1,39,14,9,8,0,0,9,0,0,3,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
2012-03-09,21,0,5,4,4,6,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-10,30,0,20,0,7,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-11,2,0,0,4,3,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-12,26,0,4,4,15,5,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-13,436,0,8,2,4,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-14,22,10,6,2,4,13,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
