Day,[1] Number of Jobs Started,[2] Number of Jobs Started,[4] Number of Jobs Started,[10] Number of Jobs Started,[8] Number of Jobs Started,[12] Number of Jobs Started,[3] Number of Jobs Started,[6] Number of Jobs Started,[16] Number of Jobs Started,[20] Number of Jobs Started,[5] Number of Jobs Started,[32] Number of Jobs Started,[72] Number of Jobs Started,[13] Number of Jobs Started,[30] Number of Jobs Started,[40] Number of Jobs Started,[24] Number of Jobs Started,[64] Number of Jobs Started,[60] Number of Jobs Started,[7] Number of Jobs Started,[25] Number of Jobs Started,[9] Number of Jobs Started,[43] Number of Jobs Started,[50] Number of Jobs Started,[70] Number of Jobs Started,[45] Number of Jobs Started,[22] Number of Jobs Started,[28] Number of Jobs Started,[15] Number of Jobs Started,[33] Number of Jobs Started,[48] Number of Jobs Started,[62] Number of Jobs Started,[36] Number of Jobs Started,[14] Number of Jobs Started,[58] Number of Jobs Started,[11] Number of Jobs Started,[34] Number of Jobs Started,[53] Number of Jobs Started,[21] Number of Jobs Started,[29] Number of Jobs Started,[23] Number of Jobs Started,[41] Number of Jobs Started,[57] Number of Jobs Started,[61] Number of Jobs Started,[65] Number of Jobs Started,[49] Number of Jobs Started,[69] Number of Jobs Started,[37] Number of Jobs Started,[31] Number of Jobs Started,[17] Number of Jobs Started,[54] Number of Jobs Started,[59] Number of Jobs Started,[27] Number of Jobs Started,[56] Number of Jobs Started,[18] Number of Jobs Started,[52] Number of Jobs Started,[55] Number of Jobs Started,[68] Number of Jobs Started,[67] Number of Jobs Started,[19] Number of Jobs Started,[42] Number of Jobs Started,[44] Number of Jobs Started,[39] Number of Jobs Started,[35] Number of Jobs Started,[63] Number of Jobs Started,[47] Number of Jobs Started,[66] Number of Jobs Started,[26] Number of Jobs Started,[46] Number of Jobs Started,[51] Number of Jobs Started,[71] Number of Jobs Started,[38] Number of Jobs Started
2015-05-11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-13,97,9,20,4,3,0,1,0,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-14,558,319,49,11,2,0,12,9,44,9,4,1,1,0,2,0,1,1,3,0,1,0,1,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-15,944,329,133,19,26,3,19,4,52,13,10,11,1,0,6,2,4,0,5,0,3,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-16,433,100,78,12,31,2,49,42,13,4,13,2,8,0,3,0,0,0,1,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-17,584,188,95,23,28,2,22,9,10,16,0,0,0,0,1,0,0,0,4,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-18,738,324,141,42,49,1,45,23,9,36,11,1,10,0,0,0,1,0,6,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-19,1170,398,51,23,5,3,41,7,12,14,24,0,1,0,0,0,2,0,5,0,0,0,8,9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-20,1572,349,109,19,19,2,37,7,9,12,0,0,8,0,2,0,4,1,1,0,0,0,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
