Day,[16] Number of Jobs Started,[32] Number of Jobs Started,[64] Number of Jobs Started,[128] Number of Jobs Started,[96] Number of Jobs Started,[48] Number of Jobs Started,[256] Number of Jobs Started,[512] Number of Jobs Started,[976] Number of Jobs Started,[80] Number of Jobs Started,[112] Number of Jobs Started,[160] Number of Jobs Started,[192] Number of Jobs Started,[144] Number of Jobs Started,[768] Number of Jobs Started,[576] Number of Jobs Started,[320] Number of Jobs Started,[176] Number of Jobs Started,[384] Number of Jobs Started,[400] Number of Jobs Started,[480] Number of Jobs Started,[304] Number of Jobs Started,[416] Number of Jobs Started,[240] Number of Jobs Started,[640] Number of Jobs Started,[224] Number of Jobs Started,[1840] Number of Jobs Started,[208] Number of Jobs Started,[800] Number of Jobs Started,[1024] Number of Jobs Started,[448] Number of Jobs Started,[496] Number of Jobs Started,[960] Number of Jobs Started,[1600] Number of Jobs Started,[1872] Number of Jobs Started,[272] Number of Jobs Started,[336] Number of Jobs Started,[368] Number of Jobs Started,[848] Number of Jobs Started,[1856] Number of Jobs Started,[1904] Number of Jobs Started,[288] Number of Jobs Started,[352] Number of Jobs Started,[672] Number of Jobs Started,[688] Number of Jobs Started,[880] Number of Jobs Started,[912] Number of Jobs Started,[1312] Number of Jobs Started,[1360] Number of Jobs Started,[1520] Number of Jobs Started,[1680] Number of Jobs Started,[1760] Number of Jobs Started,[1776] Number of Jobs Started
2014-02-01,33,31,5,7,14,0,3,1,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-02,46,29,6,7,0,0,1,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-03,75,58,4,7,1,5,13,3,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-04,109,30,17,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-05,136,33,15,1,0,25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-06,183,30,1,2,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-07,138,8,14,8,4,6,18,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-08,141,28,4,5,4,12,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-09,75,38,0,5,2,13,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-10,164,28,13,1,3,3,7,0,0,4,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
