Day,[1] Number of Jobs Started,[2] Number of Jobs Started,[4] Number of Jobs Started,[3] Number of Jobs Started,[16] Number of Jobs Started,[32] Number of Jobs Started,[64] Number of Jobs Started,[8] Number of Jobs Started,[10] Number of Jobs Started,[6] Number of Jobs Started,[12] Number of Jobs Started,[25] Number of Jobs Started,[9] Number of Jobs Started,[20] Number of Jobs Started,[38] Number of Jobs Started,[5] Number of Jobs Started,[35] Number of Jobs Started,[36] Number of Jobs Started,[24] Number of Jobs Started,[28] Number of Jobs Started,[15] Number of Jobs Started,[128] Number of Jobs Started,[18] Number of Jobs Started,[34] Number of Jobs Started,[50] Number of Jobs Started,[7] Number of Jobs Started,[13] Number of Jobs Started,[45] Number of Jobs Started,[40] Number of Jobs Started,[14] Number of Jobs Started,[42] Number of Jobs Started,[52] Number of Jobs Started,[11] Number of Jobs Started,[30] Number of Jobs Started,[29] Number of Jobs Started,[55] Number of Jobs Started,[17] Number of Jobs Started,[48] Number of Jobs Started,[21] Number of Jobs Started,[100] Number of Jobs Started,[27] Number of Jobs Started,[54] Number of Jobs Started,[60] Number of Jobs Started,[63] Number of Jobs Started,[80] Number of Jobs Started,[22] Number of Jobs Started,[39] Number of Jobs Started,[43] Number of Jobs Started,[68] Number of Jobs Started,[19] Number of Jobs Started,[23] Number of Jobs Started,[26] Number of Jobs Started,[31] Number of Jobs Started,[33] Number of Jobs Started,[37] Number of Jobs Started,[41] Number of Jobs Started,[44] Number of Jobs Started,[46] Number of Jobs Started,[47] Number of Jobs Started,[49] Number of Jobs Started,[51] Number of Jobs Started,[53] Number of Jobs Started,[56] Number of Jobs Started,[57] Number of Jobs Started,[58] Number of Jobs Started,[59] Number of Jobs Started,[61] Number of Jobs Started,[62] Number of Jobs Started
2012-08-01,1122,19,7,93,7,2,1,5,1,0,1,1,0,1,1,0,1,1,2,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2012-08-02,453,33,8,407,7,3,0,6,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-03,369,31,12,4,14,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-04,179,16,5,0,12,0,0,4,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-05,403,9,2,4,2,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-06,202,6,2,15,7,12,0,5,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-07,390,49,12,29,4,1,0,2,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-08,1798,58,12,26,10,3,1,13,0,0,1,0,3,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-09,1638,44,33,40,8,0,3,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-10,1210,43,6,20,6,0,3,1,3,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
