Day,[1] Number of Jobs Started,[2] Number of Jobs Started,[4] Number of Jobs Started,[8] Number of Jobs Started,[6] Number of Jobs Started,[16] Number of Jobs Started,[3] Number of Jobs Started,[10] Number of Jobs Started,[5] Number of Jobs Started,[12] Number of Jobs Started,[21] Number of Jobs Started,[32] Number of Jobs Started,[18] Number of Jobs Started,[20] Number of Jobs Started,[64] Number of Jobs Started,[19] Number of Jobs Started,[17] Number of Jobs Started,[25] Number of Jobs Started,[9] Number of Jobs Started,[7] Number of Jobs Started,[24] Number of Jobs Started,[23] Number of Jobs Started,[40] Number of Jobs Started,[30] Number of Jobs Started,[13] Number of Jobs Started,[28] Number of Jobs Started,[26] Number of Jobs Started,[22] Number of Jobs Started,[128] Number of Jobs Started,[14] Number of Jobs Started,[15] Number of Jobs Started,[44] Number of Jobs Started,[11] Number of Jobs Started,[31] Number of Jobs Started,[60] Number of Jobs Started,[48] Number of Jobs Started,[34] Number of Jobs Started,[56] Number of Jobs Started,[72] Number of Jobs Started,[100] Number of Jobs Started,[36] Number of Jobs Started,[63] Number of Jobs Started,[33] Number of Jobs Started,[35] Number of Jobs Started,[52] Number of Jobs Started,[42] Number of Jobs Started,[46] Number of Jobs Started,[90] Number of Jobs Started,[27] Number of Jobs Started,[29] Number of Jobs Started,[38] Number of Jobs Started,[50] Number of Jobs Started,[55] Number of Jobs Started,[43] Number of Jobs Started,[86] Number of Jobs Started,[108] Number of Jobs Started
2016-02-01,449,104,44,15,15,19,7,8,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-02,488,43,32,19,2,10,1,4,0,0,0,0,0,0,7,0,1,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-03,648,39,61,13,16,17,16,2,0,2,0,6,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-04,701,51,40,29,11,32,24,0,1,1,0,0,0,0,1,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-05,675,34,34,20,20,10,22,2,1,1,0,1,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-06,158,18,14,13,5,30,0,2,1,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-07,115,14,9,13,0,38,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-08,122,8,7,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-09,125,21,21,15,16,10,22,4,0,2,0,0,0,2,1,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-10,516,30,13,5,2,9,15,4,1,0,0,0,0,5,2,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-11,300,31,14,8,10,7,2,2,1,1,1,0,0,1,1,0,0,0,1,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-12,296,73,34,13,6,4,2,17,106,0,0,0,1,0,7,0,0,0,0,0,1,3,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-13,302,23,24,5,16,5,2,20,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-14,272,21,2,5,0,5,0,13,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-15,355,48,13,2,8,3,0,9,0,0,0,0,0,1,4,0,0,0,0,0,0,5,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-16,620,69,32,7,5,2,2,1,0,0,0,0,0,3,8,0,0,0,1,0,5,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-17,651,98,23,7,6,3,0,4,1,0,0,3,0,0,6,0,0,0,1,0,0,6,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-18,964,71,30,14,7,4,0,5,0,0,0,1,0,0,5,0,0,0,0,0,1,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-19,887,50,41,20,15,4,2,6,2,4,0,2,0,0,3,0,0,0,1,0,1,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-20,593,9,10,14,1,5,7,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-21,871,112,23,15,8,7,1,2,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
