title
"Wall Hours: Per Job: by Node Count"
parameters
"Resource =  SDSC-GORDON"
start,end
2016-02-01,2016-07-31
---------
Day,"[43] Wall Hours: Per Job","[7] Wall Hours: Per Job","[25] Wall Hours: Per Job","[26] Wall Hours: Per Job","[38] Wall Hours: Per Job","[40] Wall Hours: Per Job","[44] Wall Hours: Per Job","[72] Wall Hours: Per Job","[24] Wall Hours: Per Job","[20] Wall Hours: Per Job","[52] Wall Hours: Per Job","[6] Wall Hours: Per Job","[15] Wall Hours: Per Job","[10] Wall Hours: Per Job","[64] Wall Hours: Per Job","[34] Wall Hours: Per Job","[12] Wall Hours: Per Job","[48] Wall Hours: Per Job","[86] Wall Hours: Per Job","[1] Wall Hours: Per Job","[30] Wall Hours: Per Job","[23] Wall Hours: Per Job","[9] Wall Hours: Per Job","[2] Wall Hours: Per Job","[13] Wall Hours: Per Job","[3] Wall Hours: Per Job","[4] Wall Hours: Per Job","[16] Wall Hours: Per Job","[32] Wall Hours: Per Job","[11] Wall Hours: Per Job","[60] Wall Hours: Per Job","[8] Wall Hours: Per Job","[33] Wall Hours: Per Job","[31] Wall Hours: Per Job","[36] Wall Hours: Per Job","[14] Wall Hours: Per Job","[5] Wall Hours: Per Job","[22] Wall Hours: Per Job","[56] Wall Hours: Per Job","[28] Wall Hours: Per Job","[35] Wall Hours: Per Job","[29] Wall Hours: Per Job","[18] Wall Hours: Per Job","[108] Wall Hours: Per Job","[19] Wall Hours: Per Job","[63] Wall Hours: Per Job","[21] Wall Hours: Per Job","[17] Wall Hours: Per Job","[90] Wall Hours: Per Job","[55] Wall Hours: Per Job","[128] Wall Hours: Per Job","[100] Wall Hours: Per Job","[42] Wall Hours: Per Job","[46] Wall Hours: Per Job","[50] Wall Hours: Per Job","[27] Wall Hours: Per Job"
2016-02-01,0,0,0,0,0,0,0,0,0,0,0,11.46133125,0,12.44252000,8.56203333,0,1.12440000,0,0,7.40062567,0,0,0,9.08119254,0,2.82400000,9.62916224,1.83660000,0,0,0,8.63353333,0,0,0,0,0,0,0.04170000,0,0,0,0,0,0,0,0,10.99420000,0,0,0,0,0,0,0,0
2016-02-02,0,4.18640000,0,0,0,0,0,0,0,0,0,21.59011429,0,14.60728000,4.91523750,0,0,0,0,7.09543570,0,0.14055000,0,10.08609912,0,20.23510000,16.27773385,1.71313636,0,0,0,6.63538929,0,0,0,0,0,0,0,0.00440000,0,0,0,0,0,0,0,6.54970000,0,0,0,0,0,0,0,0
2016-02-03,0,0,0,0,0,0,0,0,0,0,0,10.74967241,0,18.05722000,7.34754000,0,2.89305000,0,0,6.25191186,0,0,2.76316000,9.88426349,0,4.62027895,6.12961009,4.16718947,0.03523333,0,0,10.62204545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-04,0,0,0,0,0,0,0,0,0,0,0,13.42725600,0,15.17406000,18.35140000,0,2.22690000,0,0,6.23102285,0,0.03035714,24.00000000,6.71897662,0,8.42796250,7.16123279,2.16092973,0,0,0,7.70847179,0,0,0,0,7.16920000,0,0,0,0,0,0,0,0,0,0,4.85920000,0,0,0,0,0,0,0,0
2016-02-05,0,0,0,0,0,0,0,0,0,5.26065000,0,11.49096923,0,4.92585000,10.41566667,0,12.00335000,0,0,7.15313240,0,0,15.87390000,9.76391923,0,3.57255000,7.31691600,5.62829167,0.52690000,0,0,8.31577879,0,0,0,0,10.95070000,0,0,0,0,0,0,0,0,0,0,4.01750000,0,0,0,0,0,0,0,0
2016-02-06,0,0,0,0,0,0,0,0,0,14.65810000,0,19.14145926,0,8.01936667,0.46970000,0,12.64140000,0,0,12.98347832,0,0,0,10.76762000,0,18.68005000,10.70023636,3.02113529,0.61527500,0,0,9.45592500,0,0,0,0,14.28835000,0,0,0.81945000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-07,0,0,0,0,0,0,0,0,21.62690000,0.10280000,0,13.07942632,0,5.50890000,1.39340000,0,0,0,0,11.14763716,0,0,0,6.17656364,0,12.82360000,7.73737059,2.07143333,0,0,0,4.70143158,0,0,0,0,2.80040000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-08,0,0,0,0,0,0,0,0,0.11610000,0,0,0,0,0,0,0,0,0,0,9.57975962,0,0.11680000,0,0.10066250,0,0,0.10837143,1.23260000,0,0,0,1.92798000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-09,0,0,0,0,0,0,0,0,0.33750000,0.21500000,0,0.26333750,0,0.17492500,0.33830000,0,0.32475000,0,0,6.96290297,0,0.17074000,0,0.17497619,0,0.09078636,0.26400476,0.30028000,0,0,0,0.33449333,0,0,0,0,0,0,0,0.33750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-10,0,0,0,0,0,0,0,0,11.99790000,4.14435000,0,18.40536667,0,11.60385000,6.07426667,0,24.00000000,0,0,6.69240841,0,0.99306667,2.68555000,8.28266327,0,18.66522727,13.66977273,13.03283684,0,0,0,15.49651000,0,0,0,0,0.00330000,0,0,0.49440000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
