Day,[SDSC GORDON] Wall Hours: Per Job,[PSC BLACKLIGHT] Wall Hours: Per Job,[NICS DARTER] Wall Hours: Per Job,[SDSC COMET] Wall Hours: Per Job,[CCT LSU SUPERMIC] Wall Hours: Per Job,[TACC MAVERICK2] Wall Hours: Per Job,[TACC STAMPEDE] Wall Hours: Per Job,[PSC GREENFIELD] Wall Hours: Per Job,[OSG] Wall Hours: Per Job,[TACC LONESTAR4] Wall Hours: Per Job
2015-08-01,9.27442445,13.19715000,6.20805570,13.95682062,5.12687209,3.04302113,5.94373879,0,4.57495216,0
2015-08-02,9.58989454,4.53461486,6.86709608,12.98177513,3.50500000,2.75817955,5.01889686,0,2.30834446,0
2015-08-03,5.94072028,5.10116290,4.22269979,5.63049572,2.60340514,2.53168995,4.18842125,0,2.99223319,0
2015-08-04,5.34690976,6.86824576,6.99717905,6.06410191,2.95434581,2.34507010,4.80852825,0,3.50407322,0
2015-08-05,5.77072490,3.99576853,3.91369483,4.93263889,4.96224019,3.20750000,4.12424786,0,2.86025868,0
2015-08-06,6.50637918,6.57215313,5.24597983,5.98148630,2.69105729,3.01799701,4.65262658,0,0.80851777,0
2015-08-07,7.79798401,3.89505455,3.35791002,6.04548107,2.63342735,2.77170038,4.51592611,0,3.89819279,0
2015-08-08,7.16673606,9.84148824,6.42357956,7.49180531,2.09683471,2.88536250,4.69906994,0,3.71604082,0
2015-08-09,7.40280705,14.56181538,7.24023484,5.32274543,8.10179279,2.27839558,4.77042457,0,4.38281170,0
2015-08-10,5.50430035,3.52356224,5.07203692,3.35893211,2.65466092,2.09651982,3.82807339,0,4.99433184,0
2015-08-11,3.87499380,4.20428788,5.38159747,3.45432768,2.63245953,2.40142105,4.70770842,0,0.92734599,0
2015-08-12,8.23536654,4.26464300,6.70534461,0.56569709,2.25036618,1.92672642,4.78248187,0,0.55927702,0
2015-08-13,8.91497452,3.37598462,6.88770887,1.11032016,6.04559163,2.06461007,4.46735412,0,1.10992894,0
2015-08-14,7.22523718,2.54628077,4.16875298,3.80362819,4.97713597,2.92139766,4.46894202,0,2.97561178,0
2015-08-15,14.13070281,6.70164545,7.60279275,6.66625733,6.39992695,2.64802078,4.17700567,0,5.69222092,0
2015-08-16,11.02460031,0,6.18534589,7.32146485,2.84336881,0.67220435,11.21282992,0,4.47646148,0
2015-08-17,6.31718729,0,5.48413209,4.63038480,4.89870803,3.16442075,3.26816409,0,4.81534340,0
2015-08-18,6.77735803,0,7.86646294,4.46133578,3.68768243,4.02938644,1.49181871,0,4.17172290,0
2015-08-19,5.18370531,0,5.39169663,2.40695129,5.90143775,3.00692500,4.22965178,0,4.97684488,0
2015-08-20,5.88908806,0,6.17184777,7.95949841,6.45646883,3.26876604,4.49274293,0,4.18219198,0
