title
"CPU Hours: Total: by Resource"
parameters

start,end
2010-02-01,2010-07-31
---------
Day,"[NICS KRAKEN] CPU Hours: Total","[TACC RANGER] CPU Hours: Total","[NICS ATHENA] CPU Hours: Total","[NCSA ABE] CPU Hours: Total","[LONI QUEENBEE] CPU Hours: Total","[TACC LONESTAR] CPU Hours: Total","[PURDUE STEELE] CPU Hours: Total","[NCAR FROST] CPU Hours: Total","[PURDUE CONDOR] CPU Hours: Total","[PSC BIGBEN] CPU Hours: Total","[PSC POPLE] CPU Hours: Total","[NCSA DTF] CPU Hours: Total","[NCSA LINCOLN] CPU Hours: Total","[TACC LONGHORN] CPU Hours: Total","[IU BIGRED*] CPU Hours: Total","[NCSA COBALT] CPU Hours: Total","[SDSC DASH] CPU Hours: Total","[ORNL NSTG] CPU Hours: Total","[TACC SPUR] CPU Hours: Total"
2010-02-01,2289543.7102,1208842.4407,0,132497.5237,0,22773.4158,71685.9888,93212.7823,27203.0098,26577.9170,14343.5800,36040.0711,8906.1577,41.9111,1302.3177,1190.2405,0,58.3800,163.2888
2010-02-02,2240890.3131,1200186.1740,0,156563.6265,10113.8266,38241.3069,59463.2080,81218.9864,61471.3444,32579.0622,14667.3442,36946.6195,11984.8201,59.1222,769.3032,1173.6189,0,92.5988,199.5822
2010-02-03,1526402.4301,1119349.1330,0,130262.0400,76852.0528,46467.5102,56725.5521,78106.8443,36870.5110,93025.6892,15197.6758,34714.6679,8975.0356,0,1964.8865,1035.6453,0,74.6849,667.6043
2010-02-04,2292243.8865,1188537.0264,0,137229.4759,74426.0683,32673.6809,61049.1513,83389.6178,49191.0989,89222.3841,16788.9444,35219.7540,11325.5889,2.9377,1868.9388,1061.2005,0,51.3727,225.7911
2010-02-05,2299760.5867,1229546.6894,0,144238.4551,66441.7602,47146.7766,62111.6417,41973.4045,38937.0829,71920.4281,16810.0766,34831.0449,9129.9378,89.7200,2303.9689,1261.2027,0,45.0011,207.1644
2010-02-06,2026518.8070,1219461.7427,0,141142.5204,60025.3554,54404.9470,33627.3569,63277.8666,30173.6758,17824.5489,15975.3956,37283.3644,14840.0357,0,1985.2244,1408.8590,0,0.1450,23.7422
2010-02-07,2152847.6036,1070081.4935,0,142286.4667,55910.2645,30798.9922,25878.1449,34302.2222,26421.3137,77266.0976,15662.0623,38673.7416,13318.1977,0,1842.1178,1431.3835,0,0.1105,0
2010-02-08,2114848.1597,1165105.7339,0,130175.8225,59306.1419,13702.6528,31303.7739,46696.6932,21526.4288,86298.5334,16086.1955,37853.6219,9898.6088,97.6645,2747.3499,1739.3514,0,68.1233,11.9422
2010-02-09,1622764.6364,1081556.1275,0,121005.5395,62930.4374,22454.6281,37854.6856,41687.7869,17700.9185,84384.4389,17027.0368,37367.4724,10477.8955,27.3044,2416.4145,1471.5095,0,47.9038,152.4133
2010-02-10,1753771.4869,1146522.7322,0,134790.7132,74477.6998,55402.3328,61587.9248,57989.4046,16801.8991,92906.1090,15110.2064,36133.2621,10977.7356,24.2777,1380.6467,1459.3286,0,43.6950,151.2267
2010-02-11,2047031.9996,1158830.3728,0,147198.1602,79329.5910,43240.1288,72011.3159,63733.6356,16275.8723,60840.0307,16197.0066,35472.6519,16580.8512,188.2867,1426.0043,1469.7650,0,73.1473,64.7067
2010-02-12,2172053.1595,1280038.6927,0,136204.4847,74842.2086,36584.5119,84748.4378,50153.4224,15180.2325,97626.8160,16234.5998,36639.4578,11976.6955,172.5001,1660.4388,1354.8237,0,47.5383,45.1778
2010-02-13,1817747.4894,1196932.0226,0,173998.8551,59918.7646,51907.3202,90346.5878,23666.4712,11489.2970,85110.9676,16857.5867,36515.6795,12382.4400,0,1397.9333,1937.7172,0,0.2389,165.2089
2010-02-14,2045625.6934,1190224.4799,0,139818.7777,46504.6713,44386.4566,81967.5536,3067.4844,11024.4272,41610.4607,16832.3413,38525.8104,14913.0911,0,2111.8700,1952.4749,0,0.2467,175.7422
2010-02-15,1981210.6397,988758.3243,0,147990.3313,72780.6821,34034.6506,71648.9440,47533.1377,11457.7648,29358.1689,16844.0211,37306.1022,15164.7667,14.1333,2908.8299,1404.4962,0,45.6133,72.5600
2010-02-16,734014.3406,962036.9102,0,148965.9286,61261.2355,37017.0401,76972.4713,40035.5377,10943.9683,46110.1196,18231.7937,37922.5055,22474.0998,7686.3133,2345.1112,1713.9732,0,46.4823,141.0489
