Day,[NICS KRAKEN] CPU Hours: Total,[TACC RANGER] CPU Hours: Total,[SDSC GORDON] CPU Hours: Total,[SDSC TRESTLES] CPU Hours: Total,[TACC LONESTAR4] CPU Hours: Total,[PURDUE STEELE] CPU Hours: Total,[TACC STAMPEDE] CPU Hours: Total,[PSC BLACKLIGHT] CPU Hours: Total,[GATECH KEENELAND] CPU Hours: Total,[TACC LONGHORN] CPU Hours: Total,[NICS NAUTILUS] CPU Hours: Total,[PURDUE CONDOR] CPU Hours: Total,[NCSA FORGE] CPU Hours: Total,[TACC SPUR] CPU Hours: Total
2012-08-01,2553275.0832,1252576.1585,160672.2491,181228.8841,170473.7100,94089.5699,0,44545.6997,5443.9066,5150.6420,3318.8999,26549.8224,6163.0944,296.4889
2012-08-02,2291392.2632,1265925.8977,218638.9327,218394.7599,208556.6599,76482.6310,0,28983.5224,8562.1555,9834.7180,3875.9421,16109.0880,7480.4225,256.0090
2012-08-03,2633537.0835,1296895.3521,186441.6712,166239.2511,207174.0064,72231.5236,0,71227.3221,5102.2889,11145.0089,6656.4403,18048.9005,7857.9977,132.3244
2012-08-04,2650780.3296,1271124.6618,129091.0357,119144.3005,176528.4100,85004.5844,0,79362.7379,6764.3600,14675.0332,6549.9999,7758.1647,5001.0735,15.9778
2012-08-05,2540432.8061,1315912.8081,130192.0357,94626.7558,197410.3137,82790.8002,0,77750.5513,9979.3911,20535.5688,9187.8758,18269.1591,4721.2937,10.6844
2012-08-06,2448624.2401,1402034.5733,138086.6309,174085.3712,133362.0032,43416.4773,0,76155.7204,2247.8222,17897.2444,15981.7645,8517.7288,5501.9596,31.9199
2012-08-07,2473172.2072,1355891.0709,147808.8579,214625.1258,234130.1468,65431.8113,0,82816.0782,0,16449.3534,13882.9445,1785.9908,5402.5780,2.4356
2012-08-08,2663785.2258,1335357.6353,159839.6583,216966.9641,255225.7399,41644.3671,0,79061.4936,1314.7690,17306.3978,18173.1002,2659.1405,3296.9999,23.0888
2012-08-09,2649234.2867,1315595.4309,192648.7468,223317.5677,237408.1462,40935.1752,0,78354.7290,6167.7867,12858.3866,7992.7312,8015.4470,4390.2999,116.6667
2012-08-10,2667128.4668,1295445.8094,159010.0939,218415.1324,285200.3662,62958.7653,0,68444.7580,4500.8356,15986.7024,6159.4223,1400.5600,8940.9019,99.7822
2012-08-11,2676210.2633,1226199.9552,125134.1558,124543.4926,167406.0135,69489.6337,0,73556.5400,9697.7910,14919.7954,9054.2155,360.6130,6620.3366,33.1378
2012-08-12,2629419.7869,1170795.6669,192861.2489,106172.7907,163581.3934,74714.6734,0,85601.2756,8884.4711,12486.8156,6599.3310,460.2150,9371.7070,37.1022
2012-08-13,2569740.3468,1227421.3902,265850.3288,176425.1161,210631.5037,73199.1440,0,84845.1731,8868.6755,14795.1334,7630.1088,1648.2169,5115.8322,8.7911
2012-08-14,2553734.2936,1151930.7953,228205.0615,206810.8848,212791.1763,85231.9105,0,78561.7355,0,15898.8001,4504.1757,2668.4060,6121.9099,5.9023
2012-08-15,2330552.5705,1094067.3779,183590.1020,219509.8027,245394.5327,68607.7500,0,67768.5864,0,16434.6289,6390.1244,30333.7124,6155.9841,3.1378
2012-08-16,2076414.3262,1105744.6669,142379.6441,218476.4367,211190.2502,69249.5936,0,77505.8489,564.9600,16245.3090,4927.0022,1393.0472,9627.1519,4.7911
2012-08-17,2568059.3534,1128429.8705,158476.7872,229793.9302,205134.6272,71102.9518,0,77789.7731,5553.2668,17054.9556,17778.0465,1720.9512,10681.2499,2.2134
2012-08-18,2628565.1933,1262173.6938,160109.2444,226589.8982,237540.5765,59970.8130,0,77282.0735,6074.7555,14302.9555,7085.2111,1581.9340,9620.2862,0
2012-08-19,2651782.1730,935248.1384,153736.9556,193979.2365,190423.0267,61974.5016,0,59548.0334,4283.4402,22891.2267,7758.1822,1509.0578,9514.3449,56.2133
2012-08-20,2617632.1339,1086311.2051,144408.1910,197368.5348,208796.2130,58826.2387,0,50262.3180,10134.2621,24407.6199,4704.1712,37491.4486,6554.1467,438.2933
2012-08-21,2591626.1503,1136168.0895,216446.1731,211626.7181,201996.7562,36642.5178,0,64284.8068,3206.1867,16112.6110,5834.8732,32536.7189,12139.5124,210.7600
2012-08-22,2579544.3866,1199325.0360,240408.6001,150466.3788,130937.4865,67361.7531,0,68954.3358,1832.2934,10821.6132,11079.2399,17911.7390,12321.2140,401.7867
2012-08-23,2636470.6768,1232566.7418,258148.3508,206016.2406,163781.1169,63886.0087,0,75496.8511,2275.5067,5769.4490,9757.1888,27918.6200,6446.5523,365.4266
2012-08-24,1941560.4431,1292054.9729,260682.7117,164275.0433,149332.9333,62171.2141,0,72724.4938,4037.8267,8681.3132,5895.2332,30322.3452,6109.6722,216.9689
2012-08-25,1605571.0533,1273970.8127,243253.9509,107589.9606,164993.2866,56788.3533,0,72569.1156,1706.1422,23677.3778,7311.4955,670.1294,9624.0780,84.7423
2012-08-26,2598882.6730,1104591.5693,260878.3554,117586.4907,102724.1904,55269.4440,0,72769.3156,859.5021,35507.4978,2533.7533,403.7254,4775.3909,19.6444
2012-08-27,2617029.8601,1232534.9694,179369.5023,150322.8352,76657.3938,55955.3897,0,76104.6310,123.0265,31104.9424,7387.3689,23738.5842,4328.3197,36.9379
2012-08-28,2618016.0528,1221368.3902,162236.2087,114443.6421,66602.3263,69419.9009,0,77396.3333,0,23044.6801,7772.9666,28578.3853,4955.6174,274.5956
2012-08-29,2657235.7299,1244910.3161,154793.0618,128343.7538,186519.5576,77379.9780,0,75584.1668,7245.5468,21829.6354,10237.1267,16986.6600,4275.8599,187.4578
2012-08-30,2533278.8469,1220406.6665,203645.6489,131447.9742,250059.0836,86526.8373,0,71813.1558,3937.8178,20735.8023,7424.5909,10164.9857,5107.4657,0
2012-08-31,1760088.8843,1217262.6185,211858.8709,125374.1309,216318.6666,83520.9841,0,65285.3333,6426.2888,24323.7109,10599.9222,38472.1330,9984.2965,128.2355
2012-09-01,1988243.9796,1287255.4264,173953.4175,98719.6719,184230.7101,93288.2171,0,63405.3576,4466.2134,15801.3423,6923.7489,27248.6855,10542.7173,1.3956
2012-09-02,1846144.1157,1192464.2050,169314.3908,78676.8334,119833.2965,98026.7543,0,52756.7556,937.6133,13839.2023,5292.5998,21478.2131,11282.5645,1.4311
2012-09-03,2206696.3808,665714.0886,213263.0177,119305.0139,243748.0304,94045.7974,0,58875.7156,2204.7867,14536.7645,6967.3423,451.2211,3641.3608,16.6444
2012-09-04,2489070.9368,1370303.3018,239105.7733,119870.2390,179883.2266,90514.5084,0,47088.1644,1427.4667,17576.9600,7725.9223,813.5573,16088.1965,34.6312
2012-09-05,2529917.9301,1332403.5103,256622.1111,205652.9321,252617.1702,93647.8419,0,30518.3738,2163.5777,13567.9288,8919.7400,1846.5212,14968.8843,24.4756
2012-09-06,2563047.1741,1294270.2493,247596.0756,222538.5516,242941.8302,83855.4793,0,52974.4580,5020.5511,13496.9709,7934.6221,13724.7475,14336.3840,6.3288
2012-09-07,2598483.2171,1237909.9467,231207.7732,183755.7841,197867.5099,81693.4016,0,42053.8664,6102.6577,16793.4801,9493.7044,12702.7568,12245.0991,0
2012-09-08,2624203.7539,1220007.7163,244398.5917,142856.6310,82181.1932,86278.8292,0,48356.7331,4240.9954,15534.4534,10038.7045,31831.5956,10984.5464,0
2012-09-09,2634932.4429,1130453.3503,232667.4221,207163.2625,75100.3433,78968.3625,0,56499.2044,5289.4667,17121.0623,11416.1688,17520.4243,9844.9018,0
2012-09-10,2620492.2260,1141140.5685,247068.6711,149771.5632,138680.1233,91437.3966,0,54891.6227,5180.3110,16886.8443,10993.2998,38051.6306,7533.6454,0
2012-09-11,2442760.9222,1350177.4986,255787.2583,233997.1697,189596.6001,92772.2019,0,49480.9601,0,16627.0511,7977.6979,34464.2800,9708.3359,404.2533
2012-09-12,2421013.1404,1266317.0937,240483.9512,233661.7084,198340.2340,78963.4194,0,76948.3824,2253.2621,16783.1088,13272.8066,46218.0718,7980.6245,400.8223
2012-09-13,2504062.1401,553653.8360,257104.4845,226035.5734,119619.4834,86954.5846,0,70554.9672,0,11442.0268,7071.0176,11581.3691,5062.0019,0
2012-09-14,2605826.0133,358.6667,241953.8805,228557.2897,0,84007.0021,0,72341.0910,2467.6178,0,2905.7891,35553.9628,5218.5275,0
2012-09-15,2472657.3170,1142.6311,246880.8351,203687.4127,59755.1533,86157.0153,0,79114.1911,6583.5334,11782.8089,256.1645,29396.1492,6379.8507,0
2012-09-16,2546969.8503,527083.1427,222315.2976,135946.8919,122473.5098,87941.5526,0,74371.2091,3796.7332,17932.8400,86.5955,91062.6196,5801.1732,0
2012-09-17,2584903.5336,1107714.7914,236170.1913,160340.0197,179925.3269,86744.4624,0,82206.6666,2945.9112,19014.9333,1789.4112,3016.3090,4952.8909,222.9289
2012-09-18,2602155.2233,1082436.2216,259462.1023,197014.6028,176934.4596,83199.9852,0,83942.9596,29.3645,20719.6398,0.1111,2042.2017,3972.6374,306.3734
2012-09-19,2138263.1128,1210406.0218,236491.3689,176789.2151,185833.5336,85412.7549,0,80226.1197,1777.5823,20833.7532,1363.5645,44362.7923,3518.6887,98.7467
2012-09-20,1513904.2762,1271900.8226,207824.8489,175791.9637,139986.5732,81919.6820,0,80456.4756,8265.8088,18302.2600,7914.0709,64462.2062,5270.9002,25.6533
2012-09-21,1890528.9772,1240882.1679,229707.7509,205323.5886,145459.9702,90240.8535,0,81005.7781,10372.3156,16918.8267,11820.4178,2070.1546,9758.4295,41.0978
2012-09-22,1603420.5000,1119196.4974,213446.4220,215344.9467,113226.0434,92348.5872,0,82395.4668,3248.3289,8402.9066,6244.2910,759.8938,7457.8788,0
2012-09-23,2437589.6730,922319.2929,195404.0265,228756.3416,140535.0734,101061.3280,0,80980.7467,1721.6400,7432.8600,8337.5755,313.3352,4115.7690,0
2012-09-24,1915352.3469,986703.6040,216264.8673,184878.8192,156297.0331,97409.5934,0,83810.0394,4413.2045,9709.2844,11111.8932,354.7756,5246.7872,75.8934
2012-09-25,2424763.3368,1278246.2043,265285.3728,195470.1930,159898.3475,96963.7504,0,79288.7379,1782.9378,7102.4310,15483.5424,318.7011,7212.3895,31.4845
2012-09-26,2600379.3327,1299267.6300,249855.0934,217610.9174,111821.0403,94638.9174,0,81119.9915,9682.8267,7810.2556,9352.5132,104.3534,5908.7042,60.4178
2012-09-27,2499392.0298,1189912.7681,222620.1020,140640.7488,108656.6401,98442.7151,0,84771.2978,4608.4668,8848.0575,8493.6511,0.6056,3994.9444,128.2533
2012-09-28,2458245.8628,1183259.4399,197733.5957,151659.5250,145280.1201,99904.0093,0,76735.4086,4394.7956,8335.8556,8445.6176,772.1694,5436.0168,0
2012-09-29,2608160.9061,1143677.7364,187102.4799,109780.2203,158097.7537,99556.7448,0,51264.3599,2628.9200,9074.5910,90.3333,585.3461,808.5210,24.5156
2012-09-30,2514962.4500,1090597.0879,187220.3421,104767.6460,156372.6697,100528.3247,0,45931.5199,2803.2666,6611.4733,24.0888,1230.5045,29.4044,0.8756
