Day,[OSG] Number of Jobs Running,[SDSC COMET] Number of Jobs Running,[TACC STAMPEDE] Number of Jobs Running,[SDSC GORDON] Number of Jobs Running,[NICS DARTER] Number of Jobs Running,[PSC BRIDGES] Number of Jobs Running,[CCT LSU SUPERMIC] Number of Jobs Running,[TACC MAVERICK2] Number of Jobs Running,[PSC GREENFIELD] Number of Jobs Running,[PSC BRIDGES LARGE] Number of Jobs Running,[TACC LONESTAR4] Number of Jobs Running,[Stanford XSTREAM] Number of Jobs Running
2016-02-01,57191,2549,4627,960,217,0,338,199,66,0,2,0
2016-02-02,55557,3680,4191,954,176,0,306,184,62,0,62,0
2016-02-03,54982,4225,4157,1132,176,0,97,168,57,0,0,0
2016-02-04,47517,10076,5074,1258,0,0,94,136,48,0,6,0
2016-02-05,64336,5164,3015,1211,0,0,192,176,30,0,0,0
2016-02-06,93281,2485,3603,605,0,0,133,80,19,0,0,0
2016-02-07,137348,995,3436,426,0,0,82,72,18,0,0,0
2016-02-08,132199,465,6182,250,0,0,64,171,41,0,3,0
2016-02-09,91389,701,4686,323,76,0,46,202,17,0,3,0
2016-02-10,134336,2702,3734,825,120,0,65,143,33,0,5,0
2016-02-11,184483,3001,3473,659,192,0,71,17,23,0,0,0
2016-02-12,121511,3295,4131,762,432,0,116,93,38,0,0,0
2016-02-13,176469,2137,3134,521,306,0,33,169,26,0,0,0
2016-02-14,120105,3169,4704,579,164,0,31,161,16,0,0,0
2016-02-15,125156,3476,4992,655,431,0,47,310,48,0,0,0
2016-02-16,123988,3053,3932,997,347,0,66,472,26,0,0,0
2016-02-17,64617,3129,3908,1160,114,0,45,192,15,0,0,0
2016-02-18,50730,3869,3547,1499,240,0,79,286,22,0,0,0
2016-02-19,84288,4499,4369,1492,253,0,121,152,17,0,0,0
2016-02-20,46581,2376,4581,1066,151,0,202,187,14,0,0,0
2016-02-21,96933,4154,4976,1322,112,0,59,115,17,0,0,0
2016-02-22,133245,3985,4415,1200,168,0,64,126,64,0,0,0
2016-02-23,64175,6661,3496,1252,197,0,100,209,68,0,0,0
2016-02-24,43478,8266,4897,1065,141,0,114,177,34,0,0,0
2016-02-25,33635,4616,4631,1029,244,0,248,94,41,0,0,0
2016-02-26,26593,3332,5056,2085,333,0,142,119,26,0,0,0
2016-02-27,31843,2333,5310,1247,81,0,104,77,9,0,0,0
2016-02-28,137325,2781,6252,651,68,0,113,74,16,0,0,0
2016-02-29,156640,4368,5136,878,145,0,97,93,42,0,0,0
2016-03-01,62452,3446,5371,1136,179,0,97,118,17,0,0,0
