title
"Number of Jobs Running: by Resource"
parameters

start,end
2010-08-01,2011-01-31
---------
Day,"[PURDUE STEELE] Number of Jobs Running","[NCSA ABE] Number of Jobs Running","[PURDUE CONDOR] Number of Jobs Running","[NICS KRAKEN] Number of Jobs Running","[TACC RANGER] Number of Jobs Running","[NICS ATHENA] Number of Jobs Running","[LONI QUEENBEE] Number of Jobs Running","[TACC LONESTAR] Number of Jobs Running","[PSC POPLE] Number of Jobs Running","[NCSA COBALT] Number of Jobs Running","[IU BIGRED*] Number of Jobs Running","[NCSA EMBER*] Number of Jobs Running","[NCAR FROST] Number of Jobs Running","[NCSA LINCOLN] Number of Jobs Running","[TACC LONGHORN] Number of Jobs Running","[ORNL NSTG] Number of Jobs Running","[SDSC DASH] Number of Jobs Running","[SDSC TRESTLES] Number of Jobs Running","[NICS NAUTILUS] Number of Jobs Running","[PSC BLACKLIGHT] Number of Jobs Running","[TACC SPUR] Number of Jobs Running"
2010-08-01,4688,2424,145,1084,1359,185,235,187,134,221,92,0,9,12,33,51,0,0,0,0,10
2010-08-02,8098,4157,145,1339,1233,181,18946,177,102,294,83,0,57,43,13,30,0,0,0,0,8
2010-08-03,6841,2856,565,1247,1383,208,618,202,167,255,70,0,45,27,18,17,0,0,0,0,10
2010-08-04,4906,2051,732,411,1066,233,10352,296,131,254,123,0,16,116,17,15,0,0,0,0,1
2010-08-05,3384,1809,1315,793,1248,167,642,247,198,253,118,0,39,77,10,13,15,0,0,0,6
2010-08-06,3852,2399,1440,1135,1699,103,208,261,107,280,95,0,24,68,7,15,45,0,0,0,3
2010-08-07,1918,1568,1860,696,2204,84,112,319,113,374,79,0,20,53,0,17,55,0,0,0,1
2010-08-08,1229,1061,1202,832,3480,87,164,271,88,269,207,0,7,20,3,13,29,0,0,0,1
2010-08-09,2177,1808,240,1117,1351,102,245,234,131,406,162,0,39,70,11,13,0,0,0,0,8
2010-08-10,1848,1767,1274,1018,1500,116,250,225,168,226,114,0,29,116,21,15,0,0,0,0,0
2010-08-11,2203,2194,1102,223,1850,173,266,332,169,251,214,0,38,72,24,23,0,0,0,0,12
2010-08-12,3886,1618,1079,44,1998,115,258,413,159,307,110,0,61,95,0,48,0,0,0,0,7
2010-08-13,3926,1650,919,435,1628,116,322,260,166,254,97,0,22,66,44,50,6,0,0,0,5
2010-08-14,5281,867,1459,363,1272,156,233,359,115,147,109,0,10,64,1,48,7,0,0,0,4
2010-08-15,5294,1153,2001,896,2675,550,237,338,60,167,92,0,6,26,1,51,5,0,0,0,6
2010-08-16,4049,1606,1259,1146,1920,1212,368,414,176,310,118,0,54,27,26,50,11,0,0,0,5
2010-08-17,3825,1910,428,1104,1627,715,288,390,129,289,163,0,52,30,10,60,2,0,0,0,10
2010-08-18,2974,3293,1630,60,1626,490,312,558,128,281,288,0,27,37,17,59,31,0,0,0,3
2010-08-19,3098,1749,2035,78,1761,179,215,407,177,315,271,0,23,83,11,49,10,0,0,0,7
2010-08-20,2339,2691,1930,255,2329,158,225,374,113,255,252,0,14,84,24,50,6,0,0,0,2
2010-08-21,2013,3724,2519,863,2092,110,216,335,94,141,124,0,6,36,7,54,14,0,0,0,3
2010-08-22,1935,3251,2507,1350,1383,124,241,351,117,52,204,0,5,53,0,55,3,0,0,0,2
2010-08-23,1755,3641,1499,826,1778,132,482,359,126,122,366,0,25,33,16,50,0,0,0,0,5
2010-08-24,2076,3269,959,1789,1779,120,724,153,174,187,109,0,51,45,41,52,0,0,0,0,1
2010-08-25,879,3914,943,83,2346,163,578,222,210,295,157,0,86,95,11,54,11,0,0,0,5
2010-08-26,6634,1739,2940,4165,2804,164,479,209,133,266,160,0,52,43,16,48,22,0,0,0,7
2010-08-27,8118,2991,4122,1017,3078,124,421,1996,113,253,92,0,32,43,13,50,4,0,0,0,0
2010-08-28,3152,1782,2671,673,1911,166,248,1823,94,197,88,0,14,36,3,48,0,0,0,0,2
2010-08-29,3718,2854,2294,1005,2419,61,208,2336,149,169,75,0,6,40,2,47,0,0,0,0,0
