Day,[PURDUE STEELE] Number of Jobs Running,[NICS KRAKEN] Number of Jobs Running,[PURDUE CONDOR] Number of Jobs Running,[SDSC TRESTLES] Number of Jobs Running,[TACC RANGER] Number of Jobs Running,[SDSC GORDON] Number of Jobs Running,[TACC LONESTAR4] Number of Jobs Running,[TACC STAMPEDE] Number of Jobs Running,[PSC BLACKLIGHT] Number of Jobs Running,[TACC LONGHORN] Number of Jobs Running,[GATECH KEENELAND] Number of Jobs Running,[NICS NAUTILUS] Number of Jobs Running,[NCSA FORGE] Number of Jobs Running,[TACC SPUR] Number of Jobs Running
2012-08-01,5383,3667,2355,2088,1709,1522,700,0,318,54,24,29,202,24
2012-08-02,5092,2709,1355,836,1675,1193,560,0,178,75,21,62,220,14
2012-08-03,5163,2431,1383,929,2026,814,709,0,219,98,12,59,476,3
2012-08-04,5696,2159,591,578,1094,512,504,0,54,55,11,21,296,5
2012-08-05,3261,1762,17238,730,1050,603,485,0,50,51,16,17,119,1
2012-08-06,1818,2114,5787,742,1307,548,481,0,157,94,12,39,192,9
2012-08-07,2762,2651,1243,518,1879,729,630,0,125,88,0,44,83,2
2012-08-08,2020,2742,412,507,1423,2053,960,0,138,101,10,61,106,16
2012-08-09,5870,2462,467,905,948,2007,746,0,178,81,20,56,104,21
2012-08-10,6177,2552,242,875,1145,1559,750,0,296,78,24,26,98,9
2012-08-11,4612,1923,98,389,1034,1032,333,0,118,71,52,8,66,30
2012-08-12,2981,1393,28,352,1304,571,251,0,249,41,70,17,63,19
2012-08-13,4628,2771,140,819,1860,595,325,0,187,59,56,42,79,5
2012-08-14,3379,3284,482,792,1507,1735,457,0,150,86,0,26,143,5
2012-08-15,5339,5141,2183,814,1804,3113,457,0,74,86,0,74,131,3
2012-08-16,6726,3513,196,1240,1858,5970,412,0,92,110,3,60,117,6
2012-08-17,3230,2591,209,1393,1528,5900,397,0,75,99,69,85,167,8
2012-08-18,5376,1943,117,1179,1396,4284,391,0,85,69,27,14,155,0
2012-08-19,3102,2614,124,831,1373,6945,316,0,129,75,17,210,102,30
2012-08-20,1715,3051,9694,873,1868,6597,356,0,211,92,59,184,180,61
