title
"Number of Jobs Running: by Resource"
parameters

start,end
2015-08-01,2016-01-31
---------
Day,"[OSG] Number of Jobs Running","[SDSC COMET] Number of Jobs Running","[TACC STAMPEDE] Number of Jobs Running","[SDSC GORDON] Number of Jobs Running","[NICS DARTER] Number of Jobs Running","[CCT LSU SUPERMIC] Number of Jobs Running","[TACC MAVERICK2] Number of Jobs Running","[PSC GREENFIELD] Number of Jobs Running","[PSC BLACKLIGHT] Number of Jobs Running","[TACC LONESTAR4] Number of Jobs Running"
2015-08-01,3267,3623,2583,769,316,43,194,0,26,0
2015-08-02,5086,3064,3022,733,332,95,176,0,74,0
2015-08-03,5957,2474,3370,1001,473,253,209,0,62,0
2015-08-04,4585,1777,2910,1025,463,203,204,0,59,0
2015-08-05,6537,1864,3596,1008,406,107,219,0,143,0
2015-08-06,19704,1723,3171,831,575,192,167,0,96,0
2015-08-07,3442,1886,3164,638,619,117,261,0,132,0
2015-08-08,4510,1639,2635,660,225,170,176,0,51,0
2015-08-09,1991,2329,2991,851,155,111,181,0,26,0
2015-08-10,402,3167,4265,1144,325,261,217,0,98,0
2015-08-11,5682,2164,3858,1937,356,215,190,0,99,0
2015-08-12,111049,22059,3773,1874,399,476,193,0,100,0
2015-08-13,15861,8006,3339,1503,248,251,149,0,65,0
2015-08-14,2768,2753,3510,1708,319,253,171,0,52,0
2015-08-15,913,1671,2680,676,207,167,154,0,11,0
2015-08-16,636,1374,732,962,401,218,23,0,0,0
2015-08-17,576,2631,3233,2156,374,274,106,0,0,0
2015-08-18,690,4114,2047,2104,313,222,59,0,0,0
2015-08-19,3440,11121,4104,2917,445,151,100,0,0,0
2015-08-20,1932,4214,3990,2371,561,154,53,0,0,0
2015-08-21,1679,3232,3640,2119,361,140,31,0,0,0
2015-08-22,1649,2510,2874,1957,238,157,40,0,0,0
2015-08-23,2032,2513,2539,1098,146,136,3,0,0,0
2015-08-24,1933,3662,3820,1720,193,158,142,0,0,0
2015-08-25,2804,3777,4153,1967,325,109,37,0,0,0
2015-08-26,2717,5427,4294,1694,512,142,71,0,0,0
2015-08-27,1669,21820,3815,1078,488,102,46,0,0,0
2015-08-28,788,6239,4030,964,428,87,41,0,0,1
2015-08-29,531,34456,3220,1077,522,45,29,0,0,0
2015-08-30,386,8663,4235,1325,556,75,33,0,0,0
2015-08-31,1475,7778,5768,1645,311,35,69,0,0,0
2015-09-01,1736,7351,4219,2060,334,71,53,0,0,0
2015-09-02,2142,10626,3763,1864,245,45,87,0,0,0
2015-09-03,1869,6848,759,1387,187,105,13,0,0,0
2015-09-04,1222,5996,3600,1046,142,82,70,0,0,0
2015-09-05,1529,8685,3401,775,68,58,23,0,0,0
2015-09-06,1685,7179,4302,1807,56,93,24,0,0,0
2015-09-07,1432,7502,3026,3068,54,139,44,0,0,0
2015-09-08,1649,3059,3927,3190,56,136,68,0,0,1
2015-09-09,1039,2541,3596,1935,238,123,74,0,0,0
2015-09-10,800,2268,4463,2728,540,115,65,1,0,0
2015-09-11,971,4784,5823,1665,307,98,76,1,0,0
2015-09-12,1550,3423,2914,1537,331,40,38,1,0,0
2015-09-13,1161,13531,4306,1190,357,122,67,1,0,0
2015-09-14,1226,7377,4465,2437,266,45,20,4,0,0
2015-09-15,1316,7199,3079,1703,321,99,77,17,0,0
2015-09-16,1888,8450,4817,1466,254,43,173,48,0,0
2015-09-17,1255,8525,5179,1200,243,84,81,35,0,0
2015-09-18,1320,5162,4069,1111,460,67,50,30,0,0
2015-09-19,938,2100,2147,1449,230,76,63,12,0,0
2015-09-20,298,1879,2191,838,185,48,18,1,0,0
2015-09-21,184,2757,4480,1320,316,136,108,12,0,0
2015-09-22,907,2284,4678,1646,336,122,147,16,0,0
2015-09-23,2726,1769,3643,2040,281,261,110,19,0,0
2015-09-24,3081,1768,4108,1697,292,128,163,31,0,0
2015-09-25,1569,2111,3396,1504,266,101,104,33,0,0
2015-09-26,1664,810,2474,1569,127,59,46,3,0,0
2015-09-27,2586,1055,2966,1706,220,14,14,9,0,0
2015-09-28,1646,1834,4823,3683,172,72,75,63,0,0
2015-09-29,47163,1702,2354,1238,392,71,60,27,0,0
2015-09-30,41950,1623,2812,967,346,75,86,57,0,0
2015-10-01,769,2902,3297,862,632,198,129,72,0,0
2015-10-02,166,9881,4471,931,548,214,73,41,0,0
2015-10-03,65,4873,4204,723,204,196,76,26,0,0
2015-10-04,337,9554,3124,696,204,47,79,10,0,0
2015-10-05,1144,3513,4363,852,654,88,91,56,0,0
2015-10-06,1276,3365,4147,1761,324,173,105,29,0,0
2015-10-07,60105,3440,4063,1843,435,182,146,53,0,0
2015-10-08,50716,8615,3549,1664,760,241,77,34,0,0
2015-10-09,19349,4854,3200,1306,438,115,141,13,0,0
2015-10-10,33983,3766,2513,768,643,62,105,20,0,0
2015-10-11,35921,5952,1684,596,481,62,30,30,0,0
2015-10-12,178878,3416,4364,750,378,143,96,34,0,0
2015-10-13,99733,4419,4102,2316,689,263,82,32,0,0
2015-10-14,146916,6420,4006,832,708,86,96,28,0,0
2015-10-15,84233,6584,3671,1347,730,299,74,27,0,0
2015-10-16,120194,3602,4194,1789,436,146,103,26,0,0
2015-10-17,65094,3609,3053,1990,321,179,37,9,0,0
2015-10-18,119396,2821,3045,2913,415,222,18,13,0,0
2015-10-19,60598,7758,3068,3031,242,168,48,36,0,0
2015-10-20,99035,9409,3517,2056,150,185,46,37,0,0
2015-10-21,132373,4606,4492,2932,393,263,110,20,0,0
2015-10-22,44561,4764,5592,3538,276,126,86,10,0,0
2015-10-23,196366,3737,4314,3169,667,209,67,31,0,0
2015-10-24,204870,4308,2823,3092,559,154,56,14,0,0
2015-10-25,146276,3946,3079,3028,391,184,27,2,0,0
2015-10-26,311289,2655,3830,2602,429,257,47,40,0,0
2015-10-27,178669,2962,3749,3057,444,242,78,7,0,0
2015-10-28,154806,3755,4543,2101,418,295,103,15,0,0
2015-10-29,160835,3008,3869,770,373,225,112,31,0,0
2015-10-30,205657,2801,3850,598,418,332,118,47,0,0
2015-10-31,206377,2818,2897,375,433,205,41,31,0,0
2015-11-01,214280,3566,3267,384,317,228,76,27,0,0
2015-11-02,177372,4438,4111,599,337,450,136,31,0,0
2015-11-03,79609,5627,1804,656,555,290,192,38,0,0
2015-11-04,81850,3387,4326,911,539,229,168,45,0,0
2015-11-05,32916,2838,4942,794,386,419,181,37,0,0
2015-11-06,41805,2324,4695,737,347,366,156,34,0,0
2015-11-07,83784,1599,3286,660,354,369,110,12,0,0
2015-11-08,63209,2106,3741,630,220,291,87,378,0,0
2015-11-09,56706,6683,4259,842,294,476,120,961,0,0
2015-11-10,34210,6385,4184,1499,276,360,77,856,0,0
2015-11-11,39586,2979,4181,1240,517,206,140,552,0,0
2015-11-12,65007,2811,3695,1073,545,317,150,948,0,0
2015-11-13,67682,3777,4037,1218,604,150,126,618,0,0
2015-11-14,61906,3509,3924,690,555,120,42,29,0,0
2015-11-15,39081,2512,3982,828,599,207,50,11,0,0
2015-11-16,39916,2536,4511,2602,563,258,76,199,0,0
2015-11-17,31577,6115,4678,1451,396,163,141,40,0,0
2015-11-18,67003,8881,4298,1728,826,157,177,39,0,0
2015-11-19,35166,3980,4561,2051,419,109,171,49,0,0
2015-11-20,39718,3611,4112,1877,246,213,86,90,0,0
2015-11-21,44666,2218,3720,1426,448,146,97,26,0,0
2015-11-22,54068,2312,4134,1253,397,208,36,18,0,0
2015-11-23,40111,3113,6342,1057,575,232,61,110,0,0
2015-11-24,24041,2456,4517,1015,591,226,58,114,0,0
2015-11-25,31518,3840,5168,886,522,164,37,36,0,0
2015-11-26,58295,2710,4850,736,312,248,32,26,0,0
2015-11-27,139876,2008,5405,591,189,131,40,16,0,0
2015-11-28,145806,1763,3373,467,431,241,45,24,0,0
2015-11-29,97425,1456,3869,465,374,222,44,26,0,0
2015-11-30,82070,2360,4710,917,559,311,82,22,0,0
2015-12-01,117021,3741,5699,817,763,277,126,5,0,0
2015-12-02,107644,8959,5420,879,708,173,131,18,0,0
2015-12-03,78127,5881,5223,992,413,136,167,28,0,0
2015-12-04,121579,1069,4840,1229,304,117,151,25,0,0
2015-12-05,50410,977,4568,765,185,80,75,10,0,0
2015-12-06,70780,2455,4743,730,175,210,30,49,0,0
2015-12-07,58734,2876,5416,1460,473,127,80,52,0,0
2015-12-08,76466,3446,2992,1000,263,331,178,98,0,0
2015-12-09,119360,4718,4973,1115,400,167,125,35,0,0
2015-12-10,109552,5448,5004,1228,483,316,187,92,0,0
2015-12-11,146464,3757,5758,1259,235,140,180,46,0,0
2015-12-12,96787,3241,3597,1315,238,66,76,55,0,0
2015-12-13,66042,2132,3709,666,223,22,81,118,0,0
2015-12-14,72599,2975,4135,768,312,188,273,249,0,0
2015-12-15,12817,3602,3583,1148,382,54,293,196,0,0
2015-12-16,17368,3205,3481,924,292,72,257,206,0,0
2015-12-17,19820,3492,3259,1159,246,150,271,921,0,0
2015-12-18,27401,2837,2571,1257,149,177,153,51,0,0
2015-12-19,26708,2636,3282,1071,113,116,245,48,0,0
2015-12-20,22542,2635,4743,987,97,145,118,33,0,0
2015-12-21,12799,3487,1234,728,170,82,152,45,0,0
2015-12-22,10417,3926,1739,1201,110,169,157,25,0,0
2015-12-23,12880,3911,2981,1198,134,143,199,44,0,0
2015-12-24,31795,3158,2610,1414,89,176,207,23,0,0
2015-12-25,57541,2004,2168,510,98,148,207,17,0,0
2015-12-26,94829,5254,2910,510,132,175,174,22,0,0
2015-12-27,100211,6063,2776,419,162,157,346,18,0,0
2015-12-28,198515,4553,2828,598,253,151,278,60,0,0
2015-12-29,239524,7313,2886,649,219,135,194,36,0,0
2015-12-30,70276,7344,2995,616,261,129,132,25,0,0
2015-12-31,60000,1397,3962,604,193,68,177,23,0,0
2016-01-01,71680,1168,8728,832,267,82,73,21,0,0
2016-01-02,191385,2069,3876,2119,176,24,36,14,0,0
2016-01-03,190861,3937,2748,1990,154,56,60,32,0,0
2016-01-04,161186,6077,3880,657,167,521,122,30,0,0
2016-01-05,68698,5425,3929,863,185,1698,166,32,0,0
2016-01-06,82034,4730,4364,1537,238,1513,210,34,0,0
2016-01-07,37076,5956,4636,1188,333,2088,184,24,0,0
2016-01-08,31381,5764,5117,1051,275,1823,127,22,0,1
2016-01-09,74324,3757,7488,779,297,1706,37,8,0,0
2016-01-10,207855,2535,2891,750,231,3376,87,18,0,0
2016-01-11,129939,4827,8784,1279,163,3266,105,42,0,13
2016-01-12,282905,7186,5821,1003,319,606,194,10,0,41
2016-01-13,140285,6798,8259,1108,165,151,191,16,0,6
2016-01-14,87275,8476,7847,1081,129,56,173,8,0,5
2016-01-15,37576,8253,4879,888,122,98,136,29,0,12
2016-01-16,47502,3755,3059,757,176,639,178,18,0,0
2016-01-17,119257,3889,4043,584,191,169,75,11,0,0
2016-01-18,180292,4821,4462,771,217,47,90,36,0,0
2016-01-19,125899,7213,6217,1092,238,95,140,45,0,4
2016-01-20,166340,4334,5444,1132,171,149,111,27,0,0
2016-01-21,90426,4335,5683,1094,223,137,62,30,0,7
2016-01-22,243179,2874,5323,1018,151,60,151,14,0,6
2016-01-23,148328,2795,4579,811,71,79,198,6,0,0
2016-01-24,134017,2965,8564,633,244,95,114,27,0,0
2016-01-25,43816,5672,9694,993,283,92,245,16,0,0
2016-01-26,197148,5540,5230,897,222,101,163,50,0,4
2016-01-27,126766,4989,5323,1212,311,176,79,42,0,12
2016-01-28,56545,3250,5453,1187,364,151,125,31,0,4
2016-01-29,18266,2183,5405,765,159,138,115,29,0,3
2016-01-30,31212,1726,11381,649,112,105,55,36,0,0
2016-01-31,81833,1691,14342,788,89,147,139,47,0,0
---------
