Day,[PURDUE STEELE] Number of Jobs Running,[NICS KRAKEN] Number of Jobs Running,[PURDUE CONDOR] Number of Jobs Running,[SDSC TRESTLES] Number of Jobs Running,[TACC RANGER] Number of Jobs Running,[SDSC GORDON] Number of Jobs Running,[TACC LONESTAR4] Number of Jobs Running,[PSC BLACKLIGHT] Number of Jobs Running,[NCSA FORGE] Number of Jobs Running,[TACC LONGHORN] Number of Jobs Running,[NICS NAUTILUS] Number of Jobs Running,[TACC SPUR] Number of Jobs Running,[LONI QUEENBEE] Number of Jobs Running,[GATECH KEENELAND] Number of Jobs Running,[SDSC DASH] Number of Jobs Running
2012-02-01,5016,2295,15008,1523,1804,0,486,187,122,46,88,1,5,0,2
2012-02-02,12597,656,10583,1982,2264,0,605,300,198,38,57,41,6,0,1
2012-02-03,9079,3179,6327,1163,2317,0,442,193,152,46,84,2,1,0,1
2012-02-04,3696,1405,10754,986,1651,0,175,150,66,23,59,0,1,0,0
2012-02-05,3343,1340,20330,704,1520,0,587,126,45,25,23,2,4,0,0
2012-02-06,4275,1907,2280,441,2142,0,551,193,197,42,56,14,19,0,0
2012-02-07,5995,1562,1073,1718,1891,0,414,167,120,76,64,8,13,0,2
2012-02-08,8384,1482,73,1627,2117,0,173,217,184,37,88,3,10,0,9
2012-02-09,6315,1603,83,1688,1774,0,760,272,170,111,68,2,25,0,3
2012-02-10,4334,2456,63,2081,2473,0,676,310,365,114,85,6,26,0,0
2012-02-11,3104,1042,28,1946,1566,0,666,140,498,51,58,21,67,0,0
2012-02-12,2033,956,20,1818,1442,0,680,226,289,26,38,18,13,0,4
2012-02-13,1701,1831,40,2292,2037,0,782,184,309,87,99,15,17,0,5
2012-02-14,3483,1557,40,2402,886,0,813,225,348,81,77,8,1,0,3
2012-02-15,4209,1574,40,2751,2282,0,462,219,71,164,78,6,4,0,8
2012-02-16,1732,1423,1679,2399,2694,0,239,215,95,119,78,2,3,0,0
2012-02-17,1436,1423,2266,2503,1675,0,670,230,69,87,59,4,5,0,0
2012-02-18,823,913,4251,4055,327,0,99,141,35,16,29,0,2,0,0
2012-02-19,2020,1160,44,2595,1850,0,388,211,38,43,30,9,3,0,2
2012-02-20,341,999,643,3908,4451,0,544,213,146,28,34,10,3,0,0
2012-02-21,353,1265,497,1956,2393,0,616,373,175,42,54,4,5,0,0
2012-02-22,554,1733,1095,2979,2850,0,760,244,109,31,104,5,3,0,0
2012-02-23,5947,192,58,3383,3085,0,559,231,84,74,93,9,4,0,0
2012-02-24,8307,114,67,2522,4015,0,594,225,157,56,53,9,3,0,0
2012-02-25,8325,169,60,2961,2045,0,580,176,114,56,0,0,3,0,0
2012-02-26,2451,1085,32,2948,2480,0,850,123,64,27,0,0,2,0,0
2012-02-27,959,2100,8,3826,3259,0,625,287,116,54,41,2,28,0,0
2012-02-28,2371,2463,133,3185,3393,0,543,400,72,51,124,5,4,0,0
2012-02-29,8747,2193,88,3033,2461,0,140,397,76,68,85,76,7,0,0
2012-03-01,13468,1983,90,1528,2226,0,927,245,231,36,85,55,3,0,0
2012-03-02,13737,1494,44,1682,2529,0,340,255,75,28,80,22,7,0,0
2012-03-03,4789,1602,36,1870,1729,0,14,551,54,25,60,7,17,0,0
2012-03-04,1904,1273,45,2304,2040,0,117,321,245,40,33,42,15,0,0
2012-03-05,3150,1424,88,2435,2493,85,418,434,182,41,54,17,6,0,0
2012-03-06,6122,1388,149,2292,2935,151,417,585,174,51,62,0,8,0,0
2012-03-07,3646,1416,320,4335,2650,93,359,537,164,53,75,2,16,0,0
2012-03-08,3344,315,111,4105,2837,134,3,289,220,48,56,2,19,0,0
2012-03-09,12665,946,105,3501,2278,63,104,314,154,41,27,0,25,0,0
2012-03-10,13394,786,62,2816,1327,77,431,230,106,35,404,37,12,0,0
2012-03-11,13699,676,198,1907,1250,37,422,311,98,35,131,30,21,0,0
2012-03-12,11047,1284,1768,3057,1491,87,216,436,109,31,232,12,56,0,0
2012-03-13,1830,1358,2823,4879,1418,489,487,574,168,47,298,3,17,0,0
2012-03-14,3083,2243,660,3992,1460,95,523,442,102,44,160,3,9,0,0
2012-03-15,4190,1936,1960,3689,1878,87,0,414,137,38,40,9,23,0,0
2012-03-16,3088,1153,360,3227,1785,105,5,360,143,32,149,18,55,0,0
