Day,[PURDUE STEELE] Number of Jobs Running,[PURDUE CONDOR] Number of Jobs Running,[NICS KRAKEN] Number of Jobs Running,[TACC RANGER] Number of Jobs Running,[SDSC TRESTLES] Number of Jobs Running,[TACC LONESTAR4] Number of Jobs Running,[PSC BLACKLIGHT] Number of Jobs Running,[NICS NAUTILUS] Number of Jobs Running,[LONI QUEENBEE] Number of Jobs Running,[NCSA FORGE] Number of Jobs Running,[TACC LONGHORN] Number of Jobs Running,[NCSA LINCOLN] Number of Jobs Running,[PSC POPLE] Number of Jobs Running,[TACC SPUR] Number of Jobs Running,[SDSC DASH] Number of Jobs Running,[NCSA EMBER*] Number of Jobs Running,[IU BIGRED*] Number of Jobs Running,[NCAR FROST] Number of Jobs Running
2011-08-01,3849,2622,2091,1064,420,355,277,136,262,0,317,101,58,5,52,7,40,2
2011-08-02,17845,21430,1675,979,589,178,217,224,265,0,166,147,81,13,22,0,69,3
2011-08-03,29019,4434,2198,1126,2790,716,21,13,255,0,111,169,104,1,29,0,39,2
2011-08-04,7583,3212,2044,1376,3762,469,171,257,250,0,117,123,84,4,9,0,25,1
2011-08-05,13388,15767,2430,1090,2983,702,224,247,241,0,63,48,112,0,5,0,16,1
2011-08-06,24728,10823,2399,871,2870,528,212,15,203,0,36,79,131,0,1,0,10,0
2011-08-07,61527,11564,1480,1112,1230,466,232,32,173,0,42,106,110,2,0,0,6,0
2011-08-08,9,259,1252,1348,538,521,404,257,166,0,56,58,127,7,0,0,4,0
2011-08-09,5266,1468,1751,1235,745,211,632,168,240,0,70,55,270,5,0,7,1,0
2011-08-10,36398,7112,1583,1319,1130,682,946,267,142,0,76,122,119,6,4,10,0,0
2011-08-11,6364,10930,535,1188,861,778,375,257,99,0,61,115,110,6,13,0,0,0
2011-08-12,30493,6310,1152,1056,670,496,1282,195,186,0,122,96,93,4,7,0,0,0
2011-08-13,35188,16030,685,1220,354,198,548,519,230,0,14,59,61,3,13,0,0,0
2011-08-14,3138,11812,1728,979,289,396,554,0,316,0,20,65,45,2,18,0,0,0
2011-08-15,8019,18015,1597,1321,590,0,295,372,193,0,30,117,58,6,10,1,0,0
2011-08-16,4001,17354,1545,1607,738,7,1394,336,222,0,52,89,74,3,16,2,0,0
2011-08-17,5172,18951,2843,1290,1353,268,1751,254,218,0,15,78,26,5,35,31,0,0
2011-08-18,2191,12502,2518,1507,829,937,820,351,337,4,25,75,83,7,15,27,0,0
2011-08-19,1580,14742,1491,1428,683,506,466,49,291,0,24,139,60,3,8,6,0,0
2011-08-20,1022,16861,2785,965,800,655,549,34,177,0,26,110,55,0,6,11,0,4
2011-08-21,1450,14887,2262,1107,522,630,500,48,146,0,45,56,57,2,18,6,0,4
2011-08-22,2143,15618,2004,900,845,695,943,62,64,0,89,112,96,6,20,8,0,3
2011-08-23,4509,15890,4931,604,859,975,1148,32,132,3,59,145,73,2,28,10,0,16
2011-08-24,3537,14260,8428,1488,773,915,869,118,40,16,38,49,94,3,22,5,0,9
2011-08-25,3360,13830,5621,1170,918,829,1078,15,21,0,35,98,83,6,28,10,0,17
2011-08-26,2624,15182,4409,992,943,673,881,131,51,0,52,84,53,1,22,5,0,11
2011-08-27,2023,14947,1934,1140,716,355,684,291,23,0,25,54,34,1,14,9,0,4
2011-08-28,3293,14526,1294,936,585,478,233,214,71,0,10,48,19,0,9,8,0,0
