Day,[PURDUE STEELE] Number of Jobs Running,[PURDUE CONDOR] Number of Jobs Running,[NICS KRAKEN] Number of Jobs Running,[TACC RANGER] Number of Jobs Running,[SDSC TRESTLES] Number of Jobs Running,[NICS ATHENA] Number of Jobs Running,[NCSA ABE] Number of Jobs Running,[NCSA EMBER*] Number of Jobs Running,[TACC LONESTAR4] Number of Jobs Running,[LONI QUEENBEE] Number of Jobs Running,[PSC BLACKLIGHT] Number of Jobs Running,[NCSA LINCOLN] Number of Jobs Running,[PSC POPLE] Number of Jobs Running,[IU BIGRED*] Number of Jobs Running,[NICS NAUTILUS] Number of Jobs Running,[TACC LONGHORN] Number of Jobs Running,[NCAR FROST] Number of Jobs Running,[ORNL NSTG] Number of Jobs Running,[SDSC DASH] Number of Jobs Running,[TACC SPUR] Number of Jobs Running
2011-02-01,35589,265,2769,1350,126,827,2126,467,0,190,442,153,415,179,12,114,12,0,3,11
2011-02-02,34411,4239,2070,1361,107,721,1629,558,29,246,857,63,740,142,31,67,75,0,4,4
2011-02-03,30845,9020,843,1444,85,543,2483,387,129,297,425,154,501,122,25,121,126,0,2,1
2011-02-04,14236,3754,3055,1477,87,694,2289,297,147,453,44,143,68,123,38,113,153,0,3,2
2011-02-05,13889,424,2069,1516,54,556,1874,115,68,400,150,168,292,126,68,113,924,0,1,2
2011-02-06,10054,459,2438,1500,30,229,769,90,74,444,163,132,156,135,70,170,482,0,1,6
2011-02-07,9216,7744,2168,1734,58,331,2133,168,126,302,55,117,228,136,38,118,180,0,2,4
2011-02-08,13173,3596,126,1558,87,246,3043,283,48,324,193,166,225,131,14,128,236,0,4,4
2011-02-09,16519,7551,0,1920,93,777,2004,323,174,629,92,115,231,233,132,127,708,0,16,6
2011-02-10,15198,1639,0,1521,172,342,2932,226,147,682,63,179,172,145,8,136,1191,0,21,7
2011-02-11,7163,5041,0,1347,186,275,1537,282,238,675,207,142,223,134,108,133,301,0,14,2
2011-02-12,5005,6937,3,1919,195,1129,2699,214,124,481,40,116,292,115,118,130,63,0,11,0
2011-02-13,4997,6272,1,1659,85,2840,1545,206,129,277,98,78,215,97,19,96,43,0,0,5
2011-02-14,4864,6964,3,1271,104,315,3139,219,127,298,120,96,263,95,354,113,144,0,25,3
2011-02-15,4542,6073,594,1219,118,303,2936,232,106,408,407,90,283,101,0,126,213,0,14,2
2011-02-16,9642,606,1371,1448,111,276,1860,222,450,257,638,139,531,99,2,119,517,0,15,5
2011-02-17,3506,1066,3111,1533,50,277,1709,1193,478,399,470,208,324,127,1,128,999,0,19,3
2011-02-18,9453,4385,2454,1439,62,227,2073,543,208,379,216,165,222,104,14,110,34,0,14,10
2011-02-19,8629,1853,2118,1642,38,313,4697,310,212,168,101,69,162,120,26,102,65,0,10,12
2011-02-20,8149,3743,2628,1945,23,223,1809,186,204,206,49,42,261,107,17,84,54,0,15,13
2011-02-21,8331,811,2444,1319,34,232,1378,711,266,242,67,97,235,118,50,82,54,0,17,7
2011-02-22,12666,559,3661,1616,27,430,2317,2672,132,299,114,186,288,136,9,78,57,0,6,13
2011-02-23,16667,1850,637,1421,88,945,3378,447,465,724,33,166,230,64,57,79,51,0,6,0
2011-02-24,5564,1263,1300,1659,150,3996,1948,481,1041,537,86,198,168,73,53,61,76,0,6,2
2011-02-25,2605,3897,2338,1431,131,2605,1946,605,618,172,57,52,192,58,17,70,41,0,4,0
2011-02-26,1835,1962,3064,1276,81,661,2090,352,410,245,70,34,214,44,17,58,40,0,4,0
2011-02-27,1325,1050,1856,1843,132,175,1471,293,372,158,116,44,177,31,13,38,39,0,4,3
2011-02-28,1942,1500,1104,1333,248,60,1722,829,567,393,166,105,276,93,36,41,57,0,4,2
2011-03-01,21871,2149,7904,1256,267,138,1988,295,387,409,228,73,223,176,53,39,47,0,10,4
2011-03-02,47197,2008,5387,1324,184,230,3595,687,890,487,39,114,182,143,23,50,120,0,19,11
2011-03-03,35899,1477,4706,899,362,210,907,824,1033,263,67,62,167,166,17,64,134,0,8,1
2011-03-04,36247,1843,2633,1067,369,236,2165,430,448,145,92,80,162,97,51,68,157,0,2,2
2011-03-05,20148,558,2594,916,102,157,3073,404,201,359,74,35,92,116,16,39,227,0,4,1
2011-03-06,65600,1348,5562,1693,86,180,3175,697,212,866,73,30,88,98,19,56,234,0,4,2
2011-03-07,67879,911,4084,1663,147,403,2068,699,316,733,106,50,80,115,23,107,151,0,5,5
2011-03-08,51553,14809,1799,1392,132,190,1275,690,270,382,55,54,214,102,11,89,327,0,2,10
2011-03-09,8777,10120,927,980,142,1241,1731,170,361,300,297,74,159,116,74,90,378,0,2,2
2011-03-10,48547,15880,648,777,127,229,1854,565,514,236,250,60,132,103,57,76,80,0,1,2
2011-03-11,60322,2672,981,479,118,1344,1112,425,287,664,81,77,199,82,40,34,89,0,0,3
2011-03-12,25377,1390,1164,83,84,674,1429,293,103,933,29,66,55,74,2,0,99,0,0,0
2011-03-13,26948,2558,2286,388,26,244,488,330,265,307,332,40,78,87,1,28,110,0,2,0
2011-03-14,22810,3684,2124,1742,95,396,1228,359,465,253,235,84,104,91,2,57,109,0,1,3
2011-03-15,56722,11582,1828,456,208,293,958,293,442,359,330,56,151,103,0,52,127,0,5,0
2011-03-16,55635,500,1572,925,214,252,891,302,425,167,84,137,271,77,12,83,386,0,8,2
2011-03-17,16554,750,2303,1056,166,588,562,391,354,252,293,264,296,91,13,97,43,0,3,2
2011-03-18,13143,1249,2174,947,175,559,1188,283,377,194,298,137,195,74,10,46,44,0,6,5
2011-03-19,11133,618,2804,880,127,231,946,228,184,141,114,158,201,64,17,34,57,0,22,5
2011-03-20,8753,517,5719,1080,162,197,1331,129,357,198,77,50,326,67,28,35,53,0,13,12
2011-03-21,13304,9215,5041,1238,285,135,2052,378,297,226,290,91,261,50,31,65,71,0,14,3
2011-03-22,11353,5109,4026,1062,199,112,3441,390,249,278,366,88,123,36,4,48,58,0,3,0
2011-03-23,11716,14658,520,1032,193,287,6829,319,269,488,63,74,109,25,0,53,70,0,5,2
2011-03-24,7476,10395,2818,1189,138,499,5910,381,401,359,117,86,198,24,5,68,68,0,13,9
2011-03-25,31661,3765,2740,947,177,358,682,375,269,240,160,75,255,19,47,47,96,0,26,8
2011-03-26,14563,848,2857,885,87,231,1747,431,274,293,369,56,159,10,18,40,98,0,13,2
2011-03-27,2924,367,3973,990,65,1425,1084,442,161,266,78,86,145,13,17,21,88,0,13,16
2011-03-28,13649,1374,4063,885,141,2070,1023,597,412,366,380,100,209,10,45,15,110,0,27,12
2011-03-29,2131,337,3039,744,203,476,922,758,495,242,380,310,259,13,44,28,100,0,24,13
2011-03-30,10343,4324,2765,902,218,285,414,325,672,228,170,337,103,14,42,28,97,0,50,4
2011-03-31,13667,348,3900,1066,214,1389,570,391,476,237,170,84,298,19,12,19,68,0,38,4
2011-04-01,16093,938,3239,874,160,3163,340,330,226,606,78,86,148,10,29,29,49,0,12,8
2011-04-02,26622,344,3252,801,70,193,379,202,0,198,49,86,172,213,2,35,95,0,14,16
2011-04-03,47045,344,2060,1047,45,146,295,262,149,175,51,83,187,33,17,31,83,0,14,4
2011-04-04,19078,1860,2317,1239,47,545,815,279,367,195,52,93,191,5,30,31,95,0,9,14
2011-04-05,22486,5324,2627,1249,61,453,408,497,300,200,50,327,158,78,36,24,110,0,16,9
2011-04-06,10521,10843,677,1228,123,340,651,299,163,204,82,155,262,49,51,60,104,8,9,5
2011-04-07,7382,7099,248,1046,150,313,581,425,508,203,70,76,276,196,45,51,74,45,2,3
2011-04-08,12222,7097,703,1116,134,307,394,418,355,253,100,55,178,92,29,65,27,52,3,3
2011-04-09,4730,348,1015,1395,141,697,282,191,21,190,26,344,82,90,21,90,57,49,3,0
2011-04-10,4077,368,2160,1053,166,672,454,196,0,220,32,124,132,75,10,62,92,52,10,0
2011-04-11,5832,7105,1712,1380,201,388,423,265,518,272,77,21,134,139,30,68,112,50,10,0
2011-04-12,21698,6778,1784,1488,286,433,458,370,946,216,238,34,141,110,13,82,167,46,5,1
2011-04-13,18997,360,1955,1469,310,971,531,283,1025,241,188,50,180,107,46,100,359,47,15,1
2011-04-14,7392,532,1530,1148,286,810,776,349,643,1660,162,152,108,103,17,92,41,44,10,7
2011-04-15,5276,493,1105,1072,272,466,22,609,786,216,214,817,122,199,17,78,193,40,10,1
2011-04-16,3798,220,6311,607,178,168,0,511,368,303,208,650,97,112,10,39,157,52,6,0
2011-04-17,3805,200,2877,605,150,227,0,375,99,288,144,715,121,115,4,20,129,51,5,0
2011-04-18,4700,200,1904,1188,206,462,0,93,310,283,180,208,179,89,34,88,115,31,10,9
2011-04-19,4744,241,2774,1052,168,798,0,580,168,234,255,238,177,121,24,124,91,28,6,13
2011-04-20,4398,340,203,986,238,1900,0,685,133,224,306,139,186,45,39,125,66,55,1,17
2011-04-21,9436,563,170,732,441,1211,0,568,493,273,463,64,251,61,51,121,57,49,3,2
2011-04-22,7653,399,297,669,241,1746,0,418,371,307,188,79,79,33,13,60,68,52,3,3
2011-04-23,10134,202,538,102,372,851,0,252,2,267,109,60,67,35,28,1,66,51,4,0
2011-04-24,13993,240,1162,361,311,718,0,302,115,294,109,57,48,42,29,35,79,48,1,1
2011-04-25,31256,180,1392,1257,382,492,0,317,502,336,153,77,159,29,26,110,105,48,19,1
2011-04-26,32609,228,1365,1446,385,1288,0,270,561,357,210,266,292,41,15,181,61,45,62,4
2011-04-27,22114,240,358,1454,774,3732,0,306,515,292,224,1225,293,48,29,190,57,44,22,3
2011-04-28,24348,244,59,1377,989,2509,0,698,513,681,221,194,165,34,8,113,31,46,2,3
2011-04-29,12824,3073,726,1198,1366,515,0,355,203,869,119,174,147,28,27,156,49,49,0,3
2011-04-30,4211,2061,8,1442,1068,64,0,248,630,321,87,147,81,24,10,162,56,906,1,3
2011-05-01,948,1115,788,1525,1144,1525,0,482,563,286,98,82,98,28,8,136,49,51,1,1
2011-05-02,2758,8622,1327,1062,906,2177,0,351,462,252,128,407,162,283,16,110,58,42,0,4
2011-05-03,2648,7646,1208,1067,1287,2491,0,403,165,313,179,486,185,188,27,110,44,39,0,3
2011-05-04,8040,7057,1748,1313,860,2337,0,438,272,350,140,957,77,565,47,113,28,11,9,16
2011-05-05,16737,6014,847,1485,705,2476,0,437,360,372,140,137,145,142,49,107,24,0,14,6
2011-05-06,36856,226,547,1027,893,4095,0,734,405,391,184,237,127,134,130,79,11,13,31,4
2011-05-07,18179,204,663,1298,1398,2608,0,980,461,279,92,86,90,111,12,118,9,40,1,3
2011-05-08,24308,204,1264,1714,739,2105,0,1436,573,247,52,219,114,92,25,116,9,46,0,1
2011-05-09,57635,204,2131,1356,385,2143,0,839,1103,317,98,487,83,297,16,114,24,46,6,24
2011-05-10,15156,204,1398,1203,735,2562,0,1267,778,364,441,553,97,623,32,83,95,51,16,15
2011-05-11,34735,204,2193,1250,700,3013,0,450,1150,429,138,631,131,507,38,116,111,48,6,10
2011-05-12,45747,461,721,1560,723,2499,0,405,1113,392,422,168,179,104,62,131,15,49,5,6
2011-05-13,23925,3405,226,1337,1009,547,0,432,960,305,304,176,262,352,24,122,31,50,1,6
2011-05-14,25281,6937,866,1201,1458,324,0,719,334,548,625,128,199,92,16,108,46,47,0,1
2011-05-15,24017,6925,2441,1215,522,2298,0,660,325,242,356,186,227,147,13,117,49,48,0,1
2011-05-16,20720,717,2504,1475,439,2375,0,401,730,232,161,147,166,100,49,124,25,49,16,9
2011-05-17,13232,3069,1970,1086,594,2659,0,715,1113,223,147,203,152,337,83,130,6,3983,29,22
2011-05-18,10363,196,2024,1368,566,2548,0,381,629,179,109,148,105,429,28,144,15,3028,17,20
2011-05-19,3082,1210,1740,1068,466,2834,0,385,886,415,121,128,73,93,63,129,33,35,9,10
2011-05-20,12608,1558,1482,915,647,673,0,661,430,336,144,116,169,126,237,140,47,45,8,15
2011-05-21,15023,397,1453,951,465,266,0,761,232,446,120,109,113,95,25,123,55,50,6,15
2011-05-22,13149,204,1296,1160,363,2263,0,429,526,291,110,111,83,73,13,99,33,50,1,0
2011-05-23,8723,204,1615,1253,55,2508,0,679,624,465,107,109,70,145,22,94,54,48,0,22
2011-05-24,5521,237,1511,1607,1310,2351,0,426,152,503,14,91,16,215,19,134,43,49,12,29
2011-05-25,5161,222,1582,1663,4461,2571,0,496,321,291,56,87,29,116,33,140,38,44,28,22
2011-05-26,7651,217,565,1588,3597,2368,0,388,217,296,129,98,118,79,64,124,41,54,13,5
2011-05-27,9012,208,1344,1289,5505,2798,0,463,598,525,198,93,81,91,51,119,25,48,19,1
2011-05-28,11818,204,2042,928,4509,542,0,355,390,279,92,147,91,5,54,92,23,46,21,0
2011-05-29,5739,219,4026,1020,2809,2444,0,411,478,252,85,120,100,7,64,36,6,42,0,3
2011-05-30,14159,414,4669,1035,3992,2611,0,989,660,78,98,136,164,35,96,55,0,50,0,2
2011-05-31,15163,543,2128,1018,1905,2720,0,481,551,456,129,159,145,74,110,106,18,49,7,6
2011-06-01,15233,1671,1462,1122,469,2729,0,475,661,457,128,140,125,35,99,105,28,49,3,2
2011-06-02,13701,3492,255,1219,556,2480,0,662,666,590,187,137,210,17,64,107,10,40,0,2
2011-06-03,14213,10238,42,836,2687,328,0,671,610,512,513,115,125,16,71,94,34,36,0,18
2011-06-04,12898,2687,707,711,443,974,0,580,462,802,178,136,119,17,36,49,3,36,0,2
2011-06-05,17560,9622,1896,887,983,2305,0,482,290,446,132,147,151,17,135,69,9,36,0,0
2011-06-06,12282,4094,1744,944,1569,2699,0,665,25,11,230,115,182,166,75,123,6,36,0,11
2011-06-07,7644,10507,1715,1338,6563,2557,0,1004,116,0,148,115,317,105,104,63,30,48,0,4
2011-06-08,11975,6105,1379,1243,1561,2390,0,614,193,98,422,173,184,55,65,160,32,56,0,5
2011-06-09,9769,1700,1619,1334,933,2308,0,423,914,241,427,142,202,121,160,114,27,55,0,6
2011-06-10,7342,9891,1806,1426,5769,404,0,436,519,359,352,115,223,96,166,101,25,60,1,4
2011-06-11,5702,226,1460,1452,10686,242,0,290,8,90,104,116,159,168,344,86,21,58,4,9
2011-06-12,6033,206,1685,1272,7942,215,0,750,255,132,157,109,140,100,64,105,6,58,3,7
2011-06-13,8964,414,1787,1231,5975,1251,0,698,775,560,480,115,136,115,144,72,24,58,7,8
2011-06-14,12019,246,3288,327,7369,679,0,518,217,356,298,119,127,133,141,19,23,53,11,1
2011-06-15,31837,518,2086,833,7298,197,0,596,411,622,195,88,154,117,126,101,55,39,10,8
2011-06-16,9669,771,121,1132,5891,414,0,321,13,683,264,141,126,40,95,91,15,52,4,30
2011-06-17,7200,2475,436,918,2527,784,0,354,157,542,193,117,132,121,150,83,11,33,8,17
2011-06-18,5082,239,410,1057,741,784,0,434,428,254,104,75,99,102,58,92,16,63,6,0
2011-06-19,3309,257,875,1171,629,1509,0,356,224,306,154,82,75,116,139,65,11,56,5,0
2011-06-20,5205,1421,1141,506,644,835,0,388,161,293,204,116,158,100,253,105,12,53,28,0
2011-06-21,5488,2411,1391,1292,714,981,0,675,1188,387,191,130,137,93,393,115,26,57,10,3
2011-06-22,6281,1048,1775,1010,1028,309,0,536,625,217,158,74,170,482,236,126,7,54,6,10
2011-06-23,14949,341,1278,1144,1198,856,0,1321,630,391,153,151,173,819,329,92,8,60,4,1
2011-06-24,33902,2118,1059,1355,1503,555,0,483,26,384,103,104,521,247,379,57,0,55,3,1
2011-06-25,19073,1279,818,1223,1133,192,0,192,291,329,81,37,123,61,283,36,2,55,4,0
2011-06-26,17935,336,902,1175,4255,137,0,195,398,183,102,0,80,219,231,34,11,55,2,1
2011-06-27,9321,1083,875,1045,882,277,0,512,12,240,240,19,118,59,376,82,1,52,3,1
2011-06-28,12344,2818,1594,655,1436,534,0,481,269,400,132,53,175,543,351,13,4,61,4,0
2011-06-29,10963,1727,471,1193,479,265,0,332,619,336,198,119,138,87,699,57,6,54,3,8
2011-06-30,11017,765,233,1275,507,412,0,844,494,286,149,85,81,83,292,76,8,55,2,4
2011-07-01,5365,1184,531,1479,510,636,0,648,0,228,146,111,76,45,226,122,3,48,2,2
2011-07-02,3696,625,855,1415,418,1886,0,320,29,234,103,64,74,42,21,86,2,36,1,11
2011-07-03,21800,221,1233,1522,549,1179,0,397,114,195,72,64,105,37,11,44,3,37,1,1
2011-07-04,6900,161,954,1311,394,236,0,518,552,213,72,32,64,42,133,68,2,36,1,6
2011-07-05,10833,2463,1458,1119,437,258,0,532,517,216,680,138,78,136,175,93,3,34,8,15
2011-07-06,8073,84,2301,766,529,198,0,958,108,214,254,87,89,137,161,67,23,38,10,2
2011-07-07,2569,1084,520,988,546,537,0,1036,622,339,203,98,105,156,427,56,2,36,1,2
2011-07-08,3595,1199,625,1129,524,804,0,568,458,221,166,26,85,132,590,85,4,38,3,3
