Day,[TACC STAMPEDE] Number of Jobs Running,[NICS KRAKEN] Number of Jobs Running,[SDSC TRESTLES] Number of Jobs Running,[SDSC GORDON] Number of Jobs Running,[NICS DARTER] Number of Jobs Running,[TACC LONESTAR4] Number of Jobs Running,[GATECH KEENELAND] Number of Jobs Running,[PSC BLACKLIGHT] Number of Jobs Running,[TACC MAVERICK2] Number of Jobs Running,[GATECH KIDS] Number of Jobs Running,[TACC LONGHORN] Number of Jobs Running,[NICS NAUTILUS] Number of Jobs Running
2014-02-01,10786,2442,855,683,0,264,821,146,0,24,22,0
2014-02-02,11140,3874,3166,789,0,308,768,139,0,36,19,0
2014-02-03,5704,4343,3438,1097,0,585,726,200,0,109,27,0
2014-02-04,4764,4302,1845,1425,0,383,320,206,0,40,61,0
2014-02-05,7190,3434,1523,2066,0,426,523,266,0,73,30,0
2014-02-06,7107,3399,1139,2374,0,617,1041,280,0,41,46,0
2014-02-07,5341,2225,1268,2917,0,597,554,262,0,79,48,0
2014-02-08,9958,1814,819,808,0,346,335,237,0,130,19,0
2014-02-09,13200,1908,846,979,0,450,341,209,0,83,19,0
2014-02-10,7126,2064,1211,908,0,625,40,262,0,207,71,0
2014-02-11,5167,2673,1206,1853,0,715,7,194,0,0,89,0
2014-02-12,5832,3221,2022,1147,0,555,630,218,0,279,60,5
2014-02-13,7308,3224,2170,1014,0,429,568,299,0,482,47,28
2014-02-14,4340,2600,1230,1035,0,480,339,120,0,455,31,6
2014-02-15,18316,2178,1123,1150,0,315,70,226,0,42,41,3
2014-02-16,8468,1807,1378,2791,0,303,160,234,0,41,38,7
2014-02-17,4141,2024,1469,1237,0,353,120,270,0,39,26,16
2014-02-18,5021,2355,1700,1090,0,241,216,287,0,27,91,14
2014-02-19,5335,2055,1972,985,0,570,304,308,0,26,114,9
2014-02-20,4405,3438,2256,956,0,877,336,339,0,19,36,8
2014-02-21,5496,2822,1628,959,0,893,386,47,0,12,42,32
2014-02-22,5568,3324,945,878,0,694,166,99,0,22,26,7
2014-02-23,5931,3426,2744,1296,0,405,178,229,0,11,23,11
2014-02-24,5601,3349,4648,1190,0,745,395,284,0,17,25,12
2014-02-25,1891,4590,1788,1180,0,804,264,551,0,32,11,4
2014-02-26,4647,6113,2068,994,0,860,691,767,0,37,14,0
2014-02-27,6463,7356,1803,613,0,709,470,476,0,47,25,0
2014-02-28,5829,4915,1617,613,0,702,535,359,0,60,36,0
2014-03-01,5361,4472,1452,615,0,352,281,1112,0,36,19,0
2014-03-02,6194,8173,2285,625,0,12,604,1114,0,18,32,0
2014-03-03,5138,5348,1771,1648,0,0,265,774,0,25,11,12
2014-03-04,5478,7196,1611,1313,0,70,383,1040,0,26,15,21
