Day,[32] Wait Hours: Per Job,[21] Wait Hours: Per Job,[1] Wait Hours: Per Job,[3] Wait Hours: Per Job,[10] Wait Hours: Per Job,[15] Wait Hours: Per Job,[8] Wait Hours: Per Job,[17] Wait Hours: Per Job,[20] Wait Hours: Per Job,[13] Wait Hours: Per Job,[4] Wait Hours: Per Job,[16] Wait Hours: Per Job,[11] Wait Hours: Per Job,[2] Wait Hours: Per Job,[9] Wait Hours: Per Job,[18] Wait Hours: Per Job,[12] Wait Hours: Per Job,[28] Wait Hours: Per Job,[19] Wait Hours: Per Job,[5] Wait Hours: Per Job,[6] Wait Hours: Per Job,[7] Wait Hours: Per Job,[24] Wait Hours: Per Job,[14] Wait Hours: Per Job,[22] Wait Hours: Per Job
2014-02-01,0,0,1.12772025,0.00000000,0,0,0.74687857,0,0,0,0.25012727,0.42285000,0,52.23827120,0,0,0,0,0,0.00140000,0,0,0,0,0
2014-02-02,0,0,7.71801611,0.11335000,0,0,0.05026000,0,0,0,0.06089167,0.01580000,0,0.04230408,0,0,0,0,0,0.00000000,0.27187500,0,0,0,0
2014-02-03,0,0,16.34872531,0.43680000,0,0,0.83968125,0,0,0,0.79809412,1.68360000,0.04250000,0.10706020,0,0,0,0,0,0.53860000,0.87841429,0.05440000,0,0,0
2014-02-04,0,0,2.00832356,1.97470000,0,0,3.51397500,0,0,0,0.62585313,7.73030000,0,0.29268421,0,0,0,0,0,0.00000000,2.27483333,0,0,0,0
2014-02-05,0,0,0.51921110,0.31336667,0,0,1.04239048,0,0,0,0.80148000,0.00000000,0.44540000,3.93247626,0,0,0,0,0,0.00000000,0,0,0,0,0
2014-02-06,0,0,0.83087236,1.06916667,0,0,1.37881250,0,2.61120000,0,4.95870909,7.40720000,3.84420000,2.37829810,0,0,0,0,0,0,0,1.23030000,0,0,0
2014-02-07,0,0,0.53847699,0.00000000,0,0,0.02580000,0,0,0,2.77832500,0.29180000,0.01250000,6.90125597,0,0,0,0,0,0,0.02192500,0,0,0,0
2014-02-08,0.00936667,0,0.15000698,0.00285000,0.00470000,0,0.00352500,0,0,0,3.30907895,0.00000000,0.00000000,0.00990759,0,0,0,0,0,0,0.00945000,0,0,0,0
2014-02-09,0.00500000,0,0.15345418,0.00460000,0.08882000,0,0.09712857,0,0,0,4.28629091,0.00000000,0.01860000,0.00751556,0,0,0,0,0,0,0.01120000,0.00335000,0,0,0
2014-02-10,0.00330000,0,0.19258396,0.00436667,0.01155000,0,0.00722500,0,0,0,0.01063077,0,0,0.01643607,0,0,0,0,0,0,0.01470000,0,0.01095000,0,0
2014-02-11,1.08060000,0,0.32873704,0.00500000,0.65353333,0,0.29102857,0,0,0,0.19130000,0,0,0.11810897,0,0,0,0,0,0,0,0,0,0,0
2014-02-12,0.00470000,0,0.19049811,0.00430000,0.00000000,0,0.03007143,0,0,0,0.79759048,0.00390000,0,0.00961532,0,0,0,0,0,0,0,0,0,0,0
2014-02-13,0.01235000,0,0.20805572,0.00440000,0,0,0.01027500,0,0,0,0.04068667,0.00000000,0,0.01500800,0,0,0,0,0,0,0,0,0,0,0
2014-02-14,0.00000000,0,0.17798947,0.00461429,0.13640000,0,0.01941667,0,0,0,0.01486250,0.00500000,0,0.01191972,0,0,0,0,0,0,0,0,0,0,0
2014-02-15,0,1.38170000,0.33566349,0.00530000,1.02265000,0,0.33651667,0,0,0,0.01183889,0.00560000,0,0.10576250,0.00500000,0,0.32527500,0,0,0.00640000,0,0,0,0,0
2014-02-16,0,0.00000000,2.35629088,1.09348571,0,0,0.78540000,0,0,0,1.17707368,0,0,0.23937679,0.00000000,0,4.00010000,0,0,0.00440000,0,0,0,0,0
2014-02-17,0.30100000,0.00310000,3.11996454,0.00445000,0,0,0.50159231,0,0.01360000,0,0.19174000,0.01060000,0.02420000,0.13057590,0.00560000,0,0.01180000,0,0.25146667,0.45665000,0,0,0,0.00690000,0
2014-02-18,0,0.00610000,0.10355020,0.03437500,0,0,0.00853750,0,0,0,0.03990000,0.00470000,0,0.01041064,0.00000000,0,0.31203333,0,0,0.34560000,0.00420000,0,0,0,0
2014-02-19,0,0.00000000,1.01225349,0.87735000,0,0,0.85391250,0,0,0,0.78673750,0,0,0.24803068,0.35860000,0,1.94260000,0,0,0.00000000,1.68955000,0,0,0,0
2014-02-20,0,1.35060000,3.33517479,0.80030000,0,0,1.05596667,0,0,0,1.30664615,2.29375000,0,0.43019337,0.00000000,0,0.00000000,0,0,0,2.49546667,0,0,0,0
2014-02-21,0,0.00000000,0.56232823,0.00000000,0.01270000,0,0.04271667,0,0,0,0.15247500,0.59835000,0,0.01618559,0.00500000,2.09440000,0.00847500,0,0,0,0.00000000,0,0,0,0
