title
"Wait Hours: Per Job: by Node Count"
parameters
"Resource =  SDSC-GORDON"
start,end
2015-08-01,2016-01-31
---------
Day,"[11] Wait Hours: Per Job","[99] Wait Hours: Per Job","[33] Wait Hours: Per Job","[2] Wait Hours: Per Job","[19] Wait Hours: Per Job","[100] Wait Hours: Per Job","[1] Wait Hours: Per Job","[14] Wait Hours: Per Job","[64] Wait Hours: Per Job","[16] Wait Hours: Per Job","[25] Wait Hours: Per Job","[8] Wait Hours: Per Job","[15] Wait Hours: Per Job","[65] Wait Hours: Per Job","[4] Wait Hours: Per Job","[10] Wait Hours: Per Job","[18] Wait Hours: Per Job","[20] Wait Hours: Per Job","[12] Wait Hours: Per Job","[32] Wait Hours: Per Job","[6] Wait Hours: Per Job","[62] Wait Hours: Per Job","[57] Wait Hours: Per Job","[9] Wait Hours: Per Job","[21] Wait Hours: Per Job","[45] Wait Hours: Per Job","[30] Wait Hours: Per Job","[17] Wait Hours: Per Job","[13] Wait Hours: Per Job","[36] Wait Hours: Per Job","[5] Wait Hours: Per Job","[114] Wait Hours: Per Job","[29] Wait Hours: Per Job","[7] Wait Hours: Per Job","[128] Wait Hours: Per Job","[59] Wait Hours: Per Job","[26] Wait Hours: Per Job","[48] Wait Hours: Per Job","[3] Wait Hours: Per Job","[43] Wait Hours: Per Job","[24] Wait Hours: Per Job","[126] Wait Hours: Per Job","[40] Wait Hours: Per Job","[63] Wait Hours: Per Job","[96] Wait Hours: Per Job","[60] Wait Hours: Per Job","[47] Wait Hours: Per Job","[28] Wait Hours: Per Job","[52] Wait Hours: Per Job","[56] Wait Hours: Per Job","[35] Wait Hours: Per Job","[50] Wait Hours: Per Job","[34] Wait Hours: Per Job","[22] Wait Hours: Per Job","[55] Wait Hours: Per Job","[23] Wait Hours: Per Job","[38] Wait Hours: Per Job","[27] Wait Hours: Per Job","[120] Wait Hours: Per Job"
2015-08-01,0,0,0,65.70298571,30.69000000,0,14.26429488,0,107.44022000,0.00000000,0,0.00000000,0,0,174.60954706,0,0,0,55.74920000,54.62151429,15.93360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.74945000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,0,0,0,200.06336538,57.78320000,0,36.55110376,0,136.34056000,100.68928889,0,0.00000000,35.09710000,0,161.21278333,57.15750000,0,0,0.00000000,22.54071111,0.00000000,0,0,0,0,0,0,0,0,0,58.76695000,0,0,0,0,0,0,0,18.67451000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-03,0,0,0,22.81211071,83.07444286,0,6.76003425,0,135.10682857,24.87601667,0,60.25054091,0.00000000,0,172.35969286,0,0,0,0.00000000,0.00000000,14.35266667,0,0,0,0,0,0,0,0,0,92.94333333,0,0,0,0,0,0,0,5.21194211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-04,0,0,0,64.29684717,11.14390000,0,24.45327439,0,126.85944286,91.76192000,0,18.10716111,0.00000000,0,60.32145102,0,0,0,0,81.12363333,0.00000000,0,0,0,0,0,0,0,0,0,4.08720000,0,0,0,0,0,0,0,47.27500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-05,0,0,0,80.41773043,9.52046667,0,22.24831207,0,103.58110000,41.87690000,0,4.60646250,0,0,51.95408205,0,0,0,0,47.12094000,47.90076000,0,0,0,0,6.91110000,0,0,0,0,3.36110000,0,0,0,0,0,0,0,73.59745000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-06,0,0,0,79.90218571,15.23595000,0,17.86774604,0,123.96958333,256.16860000,0,8.78090000,0,0,41.92213636,0,0,0,51.76280000,38.17867368,0.00000000,0,0,0,0,0,0,0,0,0,6.03610000,0,0,0,7.58000000,0,0,0,16.37375000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-07,0,0,10.76940000,192.36257143,44.06040000,0,23.97211017,0,99.75694000,48.68350000,0,0,0,11.82360000,88.24904167,0,0,0,0.00000000,11.27330000,96.70810000,0,0,0,0,5.47406667,0,0,0,0,15.74140000,0,0,0,9.64378000,0,0,0,0.81333077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-08,0,0,0,81.08805238,35.42235000,0,73.72561144,0,99.07518333,78.50134000,0,17.69244706,0,0,62.41027377,439.76955000,0,0,0.00000000,5.61885714,0.00000000,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,21.43640000,0,7.11852368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-09,0,0,0,138.96896176,8.07742500,0,77.93317561,0,119.46360000,11.29088333,0,3.60558182,0,0,143.16943922,0.00000000,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,5.01473333,0,0,0,0,0,0.00000000,0,13.11069844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-10,0,0,0.68080000,6.17976842,15.98000000,0,41.62487682,0,1.47530000,13.49425000,0,1.23028333,0,0,153.36978961,0,0,0,13.21330000,7.07515714,0,0,1.40805000,0,0,0,0,0,0,0,0.60970000,0,0,0,0,0,0,0,2.47331829,0,0,0,0,0,1.65060000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
