title
"Wait Hours: Per Job: by Node Count"
parameters
"Resource =  PSC-BLACKLIGHT"
start,end
2013-02-01,2013-07-31
---------
Day,"[896] Wait Hours: Per Job","[1968] Wait Hours: Per Job","[800] Wait Hours: Per Job","[1008] Wait Hours: Per Job","[416] Wait Hours: Per Job","[640] Wait Hours: Per Job","[368] Wait Hours: Per Job","[432] Wait Hours: Per Job","[208] Wait Hours: Per Job","[1024] Wait Hours: Per Job","[704] Wait Hours: Per Job","[192] Wait Hours: Per Job","[464] Wait Hours: Per Job","[1440] Wait Hours: Per Job","[576] Wait Hours: Per Job","[240] Wait Hours: Per Job","[256] Wait Hours: Per Job","[16] Wait Hours: Per Job","[48] Wait Hours: Per Job","[160] Wait Hours: Per Job","[32] Wait Hours: Per Job","[512] Wait Hours: Per Job","[176] Wait Hours: Per Job","[112] Wait Hours: Per Job","[144] Wait Hours: Per Job","[64] Wait Hours: Per Job","[128] Wait Hours: Per Job","[304] Wait Hours: Per Job","[96] Wait Hours: Per Job","[320] Wait Hours: Per Job","[80] Wait Hours: Per Job","[384] Wait Hours: Per Job","[224] Wait Hours: Per Job","[288] Wait Hours: Per Job","[8] Wait Hours: Per Job","[272] Wait Hours: Per Job","[768] Wait Hours: Per Job","[544] Wait Hours: Per Job","[480] Wait Hours: Per Job","[528] Wait Hours: Per Job"
2013-02-01,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,12.90589242,9.96651111,0,0.82630588,70.06830000,0,0,0.00000000,16.43636071,17.29760000,0,16.59500000,0,0,0,0.00000000,0,0.00000000,0,0,0,0,0
2013-02-02,0,0,0,0,0,0,0,0,0,80.26330000,0,0.00000000,0,0,26.34440000,0,3.36110000,8.64939250,0.11260000,0,0.18207273,41.95250000,0,0,0,11.87012500,39.64425714,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0
2013-02-03,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,20.39554000,3.95195000,0,3.55834000,64.43060000,0,15.24195000,0,6.22241667,48.65856000,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-04,0,0,0,0,0,0,0,0,0,0,0,0.00080000,0,0,0,0,23.96123333,2.84188022,24.22440000,0,2.80223333,1.79000000,0,0.00000000,0,30.08615455,48.58495294,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-05,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0.00080000,0.96045556,0.10120000,0,2.00083250,0.36140000,0,0.00140000,0,16.03595000,2.34780000,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-06,0,0,0,0,0,0,0,0,0,9.82670000,0,0.00060000,0,0,0,0,3.53360000,1.20957619,0.15084286,0,0.33396216,4.72110000,0,0.00000000,0,0.44198824,36.10308824,0,5.33190000,0,0.60757500,0,0,0,0,0,0,0,0,0
2013-02-07,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,1.03415000,2.45489545,0.00000000,0,5.17236000,0,0,12.25560000,0,2.24666000,5.17377500,0,0.00000000,0,8.95640000,0,0,0,0.44820000,0,0,0,0,0
2013-02-08,0,0,0,0,0,0,0,6.39310000,0,0,0,0.00000000,0,0,0,0,9.77975000,7.17215893,1.33730000,0,3.49074714,50.99860000,0,0.00000000,0,3.67847500,95.39895000,12.25110000,2.51776667,0,1.12145000,0,0,0,0.00000000,0,0,0,0,0
2013-02-09,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,12.51853333,0,0,7.27909250,4.71640000,0,0.06539697,0,0,0,0,0.00120000,11.62316000,0,9.53555000,0,0,0,0,0,0,0,0,0,0,0
2013-02-10,0,0,0,40.26420000,0,0,0,17.17470000,0,0,0,0.00000000,0,0,7.34105000,0,0.00470000,2.53218108,0.79420000,0,0.81589531,39.32360000,0,0,0,0.39687647,0.09373913,0,4.10332500,0,0,0,0,0,0,0,0,0,0,0
