title
"Wait Hours: Per Job: by Node Count"
parameters
"Resource =  SDSC-COMET"
start,end
2015-08-01,2016-01-31
---------
Day,"[43] Wait Hours: Per Job","[40] Wait Hours: Per Job","[55] Wait Hours: Per Job","[15] Wait Hours: Per Job","[20] Wait Hours: Per Job","[67] Wait Hours: Per Job","[7] Wait Hours: Per Job","[4] Wait Hours: Per Job","[5] Wait Hours: Per Job","[1] Wait Hours: Per Job","[18] Wait Hours: Per Job","[3] Wait Hours: Per Job","[22] Wait Hours: Per Job","[8] Wait Hours: Per Job","[30] Wait Hours: Per Job","[70] Wait Hours: Per Job","[14] Wait Hours: Per Job","[72] Wait Hours: Per Job","[9] Wait Hours: Per Job","[27] Wait Hours: Per Job","[17] Wait Hours: Per Job","[6] Wait Hours: Per Job","[28] Wait Hours: Per Job","[25] Wait Hours: Per Job","[65] Wait Hours: Per Job","[42] Wait Hours: Per Job","[12] Wait Hours: Per Job","[29] Wait Hours: Per Job","[13] Wait Hours: Per Job","[16] Wait Hours: Per Job","[48] Wait Hours: Per Job","[24] Wait Hours: Per Job","[10] Wait Hours: Per Job","[32] Wait Hours: Per Job","[64] Wait Hours: Per Job","[58] Wait Hours: Per Job","[21] Wait Hours: Per Job","[2] Wait Hours: Per Job","[19] Wait Hours: Per Job","[49] Wait Hours: Per Job","[33] Wait Hours: Per Job","[26] Wait Hours: Per Job","[36] Wait Hours: Per Job","[11] Wait Hours: Per Job","[57] Wait Hours: Per Job","[50] Wait Hours: Per Job","[34] Wait Hours: Per Job","[41] Wait Hours: Per Job","[46] Wait Hours: Per Job","[60] Wait Hours: Per Job","[71] Wait Hours: Per Job","[52] Wait Hours: Per Job","[56] Wait Hours: Per Job","[35] Wait Hours: Per Job","[54] Wait Hours: Per Job","[38] Wait Hours: Per Job","[44] Wait Hours: Per Job","[39] Wait Hours: Per Job","[66] Wait Hours: Per Job","[51] Wait Hours: Per Job","[31] Wait Hours: Per Job","[45] Wait Hours: Per Job","[68] Wait Hours: Per Job","[23] Wait Hours: Per Job","[37] Wait Hours: Per Job","[63] Wait Hours: Per Job"
2015-08-01,87.87330000,44.08930000,0,0,0.00055000,0,0,13.63739130,0,2.03717126,0,0.00030000,0,7.62585333,0.00205714,0,0,0.00220000,0.00000000,0,0,0.00201034,0.00000000,0,0,0,0.00281429,0,0,0.00073333,0.00286667,0,0.00086111,0.00015000,0,0,0,0.01764533,0,0,0,0,0,0.00000000,0,0.00145000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,111.87940000,0.00117778,0,0,0.00280000,0,0,2.18265000,0.00000000,6.60491383,0,0.00281111,0,0.00133077,0.00000000,0,0,0.00390000,0,0,0,0.00020000,0.00000000,0,0,0,0.00320000,0,0,0.00073333,0,0,0.00114118,0.00000000,0,0,0,3.59459919,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-03,135.88780000,0.01145000,0,0,0.00601250,0,0.00190000,7.29256818,0.00120000,7.36567688,0,0.00163231,0,1.50940889,0.00186667,0,0,0.00174286,0.00323333,0,0,0.00278333,0.00155000,0,0,0,0.00483000,0,0,0.00656667,0.00742500,0.01900000,0.00215686,0.00243333,0.00687500,0,0,2.59923815,0,0,0,0,0.01140000,0.00000000,0,0,0,0,0,0.00693333,0,0.00755000,0.00584000,0,0,0,0.01850000,0,0,0,0,0,0.00213333,0,0,0
2015-08-04,84.30560000,0.00420000,0,0.00500000,0.00122500,0,0.00070000,5.46082432,0.00097500,3.36586460,0,0.00148043,0.00110000,0.13155143,0.00000000,0,0,0.00098333,0.00085000,0,0,0.00360000,0,0,0,0,0.00106471,0,0,0.00166667,0.00015000,0,0.75640568,0.00000000,0,0,0,1.87404829,0,0,0,0,0,0.00780000,0,0,0,0,0,0,0,0,0.00347500,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-05,108.31250000,0.00174000,0,0.00375000,0.00070000,0,0.00000000,7.59081364,0.00173333,4.47209633,0.00220000,0.08326000,0.00000000,1.71977556,0.00170000,0,0,0.00000000,0,0,0,0.00217000,0,0,0,0,0.00257333,0,0,0.03411860,0,0,0.00196375,0.00000000,0,0,0,0.00195000,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0.00075455,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-06,47.05190000,0.00163333,0,0,0.00210000,0,0,12.73197241,0,12.12735995,0,0.00350000,0.00580000,1.43968621,0.00180000,0,0,0.00250000,0,0,0,0.00555556,0,0,0,0,0.00223636,0,0,0.15255455,0.00165000,0,0.00196098,0.00000000,0,0,0,0.01835372,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-07,71.05640000,0.00470000,0,0,0.00690000,0,0,3.04416829,0,2.26590233,0,0.00614286,0.00220000,0.97082963,0.00000000,0,0,0.00500000,0.00170000,0,0,4.86768667,0,0,0,0,0.00156667,0,0,0.00396000,0,0,0.10534583,0.00140000,0,0,0,0.22320636,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-08,0.00000000,0.13366667,0,0,3.71530000,0,0,18.18408103,0.00060000,13.22999085,0,0.00608000,0.00416667,2.18751053,0.00360000,0,0,0.00000000,0,0,0,0.01210000,0,0,0,0,0.00505000,0,0,0.00788000,0,0,0.01176667,0.54000000,0,0,0,0.03107303,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0.00030000,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-09,0,3.92270000,0,0,7.44770000,0,0,14.79140820,0.00330000,9.17430846,0,0.00337813,0.00280000,3.36116875,0.00390000,0,0,0.00420000,0,0,0,0.00350000,0.00390000,0,0,0,0.00370000,0,0,0.00288571,0,0.00420000,0.00428571,0.00142222,0,0,0,0.00284462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-10,0.00195000,0.00243333,0,0,11.16310000,0,0,10.13019906,0.00556667,2.30318137,0.00214286,0.00090889,0.00140000,0.76224412,0.00280000,0,0,0.03584000,0.00020000,0,0,0.00190833,0.00000000,0,0,0,0.00346364,0,0,0.00335556,0,0,0.00209167,0.00810000,0,0,0,0.00209339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-11,0.00000000,0.00158800,0,0,14.11306842,0,0,18.57110000,1.62626364,1.40458116,0,0.02035135,0.00105000,0.00105625,0.00045000,0,0.00085000,0.00030000,0.00030000,0,0.00280000,0.00081250,0,0,0,0,0.00157273,0,0,0.00267368,0,0.00000000,0.00071429,0.00580000,0,0,0,0.25204109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-12,0,0.00055000,0,0,2.23417143,0,0.00320000,0.00273333,5.73944000,0.47788772,0,0.00175714,0,0.00115000,0.00000000,0,0,0,0.00000000,0,0.00250000,0.00439000,0,0,0,0,6.77202500,0,0,0.31329259,0,0.00030000,0.00145000,0.00530000,0,0,0,0.38562157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-13,0,0,0,0,0.00436667,0,0.00000000,12.24271748,1.20760000,0.16693553,0.00298421,0.00127647,0,0.00235882,0.00255000,0,0,0.00405000,0.00000000,0,0,0.00170769,0,0,0,0,1.00157222,0,0,1.05848095,0,0.00176667,0.13011250,0.00192000,0,0,0,0.00192404,0,0,0,0,0,0.00110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-14,0,0,0,0.00140000,3.99791667,0,0.00560000,7.45560597,7.38578000,0.40183225,0.00030000,0.00092391,0.00720000,0.00179286,0.00030000,0,0,0.00280000,0,0,0,0.00233333,0,0.00060000,0,0,0.00298750,0,0,3.96228000,0,0.00000000,0.01233333,0.00240000,0,0,0,0.00171299,0,0,0,0,0.00330000,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-15,0,0,0,0.00000000,7.70996667,0,0.65892105,17.29387593,4.12435000,1.47275953,0,0.00024865,0,0.00129500,0.00530000,0,0,0.00250000,0,0,0,0.00192941,0,0,0,0,0.00170000,0,0.00030000,2.91922500,0.00090000,0.00155000,2.93702857,0.00020000,0,0,0,0.00092576,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
