Day,[12] Wait Hours: Per Job,[43] Wait Hours: Per Job,[5] Wait Hours: Per Job,[40] Wait Hours: Per Job,[96] Wait Hours: Per Job,[14] Wait Hours: Per Job,[15] Wait Hours: Per Job,[16] Wait Hours: Per Job,[18] Wait Hours: Per Job,[33] Wait Hours: Per Job,[11] Wait Hours: Per Job,[1] Wait Hours: Per Job,[9] Wait Hours: Per Job,[3] Wait Hours: Per Job,[10] Wait Hours: Per Job,[25] Wait Hours: Per Job,[8] Wait Hours: Per Job,[32] Wait Hours: Per Job,[128] Wait Hours: Per Job,[64] Wait Hours: Per Job,[41] Wait Hours: Per Job,[62] Wait Hours: Per Job,[20] Wait Hours: Per Job,[4] Wait Hours: Per Job,[2] Wait Hours: Per Job,[48] Wait Hours: Per Job,[38] Wait Hours: Per Job,[30] Wait Hours: Per Job,[6] Wait Hours: Per Job,[35] Wait Hours: Per Job,[91] Wait Hours: Per Job,[72] Wait Hours: Per Job,[7] Wait Hours: Per Job,[24] Wait Hours: Per Job,[31] Wait Hours: Per Job,[93] Wait Hours: Per Job,[106] Wait Hours: Per Job,[108] Wait Hours: Per Job,[60] Wait Hours: Per Job,[110] Wait Hours: Per Job,[98] Wait Hours: Per Job,[112] Wait Hours: Per Job,[100] Wait Hours: Per Job,[19] Wait Hours: Per Job,[21] Wait Hours: Per Job,[13] Wait Hours: Per Job,[36] Wait Hours: Per Job,[45] Wait Hours: Per Job,[23] Wait Hours: Per Job,[44] Wait Hours: Per Job,[22] Wait Hours: Per Job,[57] Wait Hours: Per Job,[28] Wait Hours: Per Job,[69] Wait Hours: Per Job,[104] Wait Hours: Per Job,[26] Wait Hours: Per Job
2013-02-01,27.63125000,0,0,0,0,0,0,4.66882500,0,0,0,0.49262007,4.81250000,0.00000000,0,0.05176000,1.07320000,1.43161000,0.06734286,4.19352857,0,0,0,0.01266667,0.09000000,0,0.00000000,0,0.01140000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-02,0.00000000,0,0,0,0,0,0,0.00000000,0,0,0,0.59034535,0,0.00170000,0,0,0.54470000,0.02030000,0.00000000,2.22635556,0,0,0,4.66000000,0.00190000,0,0.00000000,0,0.00123333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-03,22.23680000,0,0,0,0,0,0,8.41358000,0,0,0,2.41385699,2.14270000,0.42415000,0,0,0,1.96996842,0,8.64975455,0,0,0,3.52157500,0.26735000,0,0,0,1.60385000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-04,55.85250000,0,0.00278182,0,0,0,0,0.33610000,0,0,0,1.89155727,0.26665000,0.23505000,0,0,0.00140000,0.08187143,0,2.66225714,0,0,0,0.00500000,0.13180435,0,0,0,1.34823333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-05,62.90446667,0,0.00000000,0,0,0,0,4.16625000,0,0,0,0.85220289,2.32167500,0.52143750,0,0,3.52830000,8.14832500,0,1.37955556,0,0,0,0.18180000,0.47444038,0,0,0,0.00310000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-06,114.34060000,0,0.00000000,0,0,0,0,3.52110000,0,0,4.07027500,0.76326265,3.39841429,0.03615833,0,0.00580000,2.53345000,17.15776667,0,1.77528000,0,0,0,3.02056500,0.11782581,0,0,0,0.00000000,0,0,0,1.29140000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-07,84.29315000,0,0,0,0,0,0,10.26612500,0,0,0.00000000,1.64566551,5.53444000,0.64485000,0.93583333,0,0.06970000,1.54736667,0,1.78438571,0,3.49235000,0,5.79556456,0.16484118,0,0,0,0.13290000,0,0,0,0.43890000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-08,162.83390000,0,0,0,0,0,0,9.90985000,0,0,6.75612000,0.65874719,0.28940000,0.00875000,0.00000000,0,3.16000000,0.36472222,2.75280000,0.97008636,0,0.00000000,0.14360000,1.49798750,0.46740732,0,0,0,0.01060000,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-09,0.00000000,0,0.01120000,0,0,0,0,14.64255000,0,0,0.00000000,0.71293068,1.23681250,1.07420000,0.00000000,0,0.80610000,0.01470000,0,12.80564444,0,0,0.00000000,0.17967917,0.02070000,0.01055000,0,0.01235000,0.01443333,0,0,0,1.50420000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-10,0,0,0,0,0,0,0,0.01492500,0,0,0,0.10278209,0.03202500,0,0,0,0,0.02756000,0,0.19953913,0,0,0.00000000,0.02060000,0.01170000,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
