title
"Wait Hours: Per Job: by Node Count"
parameters
"Resource =  PSC-BLACKLIGHT"
start,end
2015-08-01,2016-01-31
---------
Day,"[256] Wait Hours: Per Job","[768] Wait Hours: Per Job","[96] Wait Hours: Per Job","[112] Wait Hours: Per Job","[64] Wait Hours: Per Job","[48] Wait Hours: Per Job","[192] Wait Hours: Per Job","[128] Wait Hours: Per Job","[512] Wait Hours: Per Job","[32] Wait Hours: Per Job","[384] Wait Hours: Per Job","[16] Wait Hours: Per Job","[1024] Wait Hours: Per Job"
2015-08-01,0,0,0,0,15.59946000,0,0,0.00000000,0,0.00000000,0,2.87486667,0.00000000
2015-08-02,0,7.07000000,0,12.12580000,9.71053824,10.49750000,0,0.00000000,0,1.00100000,0,3.79995294,0.00000000
2015-08-03,0,6.31983333,0,0,9.94300000,0,0,2.49690000,0,3.22450000,0,4.23800476,0
2015-08-04,0,0.00000000,0,0,20.60691111,0,0,0.00000000,0,1.57970000,22.29470000,6.24780270,0
2015-08-05,0,0.00000000,18.62360000,0,5.75294000,0,12.49060000,0.00000000,5.36595000,1.00190000,0,1.60083846,0
2015-08-06,0,3.83580000,0.00000000,0,3.37520000,0,3.39220000,0.00000000,0.00000000,1.74015000,0,3.53695965,0
2015-08-07,0,0.00000000,0.00000000,0,3.55812500,0,0.00000000,13.96710000,0,1.58052500,0,1.99482989,0
2015-08-08,0,22.48235000,0,0,1.00085000,0,0.00000000,0,0,0.00000000,1.00920667,10.36582222,0
2015-08-09,0,0.00000000,0,0,1.00073333,0,0.00000000,0,0,0.00000000,0.00000000,25.04772000,0
2015-08-10,0,47.08150000,23.17085000,0,1.75970000,0,0.00000000,1.00030000,0,12.52935714,7.91460000,7.96197879,0
2015-08-11,39.39625000,0.00000000,1.00030000,0,1.00095000,0,0,0,0,7.50473333,17.77660000,3.50403382,0
2015-08-12,0,43.86250000,0.00000000,0,0.00000000,0,0,0,0,12.78080000,0.00000000,2.46960390,0
2015-08-13,0,0,9.83835000,0,2.59445000,7.11536667,0,0,0,14.15555000,1.00073333,5.09336042,0
2015-08-14,0,0,0,0,0.00000000,0,0,0,0,0,1.00063333,1.00053571,0
2015-08-15,0,0,0,0,0,0,0,0,0,0,0,1.00055000,0
---------
