Day,[1536] Wait Hours: Per Job,[448] Wait Hours: Per Job,[368] Wait Hours: Per Job,[144] Wait Hours: Per Job,[1024] Wait Hours: Per Job,[800] Wait Hours: Per Job,[112] Wait Hours: Per Job,[496] Wait Hours: Per Job,[336] Wait Hours: Per Job,[256] Wait Hours: Per Job,[288] Wait Hours: Per Job,[1440] Wait Hours: Per Job,[128] Wait Hours: Per Job,[96] Wait Hours: Per Job,[240] Wait Hours: Per Job,[480] Wait Hours: Per Job,[32] Wait Hours: Per Job,[80] Wait Hours: Per Job,[208] Wait Hours: Per Job,[192] Wait Hours: Per Job,[16] Wait Hours: Per Job,[48] Wait Hours: Per Job,[320] Wait Hours: Per Job,[64] Wait Hours: Per Job,[960] Wait Hours: Per Job,[512] Wait Hours: Per Job,[160] Wait Hours: Per Job,[768] Wait Hours: Per Job,[1920] Wait Hours: Per Job,[352] Wait Hours: Per Job,[384] Wait Hours: Per Job,[304] Wait Hours: Per Job,[272] Wait Hours: Per Job,[176] Wait Hours: Per Job,[224] Wait Hours: Per Job,[1968] Wait Hours: Per Job
2013-08-01,0,0,0,0,0,0,0.00000000,0,0,8.09926667,0,0,20.64550000,0.00000000,0,0,5.54617727,9.52875000,0,0,10.13451461,0.00000000,0,10.89100455,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-02,0,0,0,1.55610000,0,0,0,0,0,1.00500000,0,0,0.02280000,0,0,0,0.91957037,2.31210000,0,0,3.20890939,5.11405000,0,7.01669259,0,0,0,0,0,0,0.00710000,0,0,0,0,0
2013-08-03,0,0,0,0.00070000,0,0,0,0,0,0.00103333,0,17.35110000,0.00080000,0,0,0,0.00077273,0,0,0,8.14250209,0,0,0.60713043,0,0,0,0,0,0,0.00000000,0,0,0,0,0
2013-08-04,0,0,0,0.00061471,0,0,0,0,0,0.00084000,0,0,0.00060000,0,0,0,5.71603636,1.69080000,0,0,13.05494375,0.00140000,0,8.03275000,0,0,0,0,0,0,0.00000000,0,0,0,0,0
2013-08-05,0,0,0,0.00632857,0,0,0,0,0,0.96403750,0,0,0.03500000,0,0,0,0.81833194,0.51753571,0,0,2.41053289,0.00659545,0.00170000,7.19804659,0,0,0,0,0,0,0.00000000,0,0,0,0,0
2013-08-06,0,0,0,0.00000000,0,0,0,0,0,0.00030000,0,0,0.00140000,0,0,0,2.38578200,17.58580000,0,0,1.11545978,0.00030000,0,1.32500000,0,0,0,0,0,0,0.00000000,0,0,0,0,0
2013-08-07,0,0,0,25.96580000,0,0,0,0,0,22.53506667,0,0,0,0,0,0,11.43870230,0,0,0,0.03801613,2.60484286,0,7.66117500,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-08,0,0,0,0.00000000,0,0,0,0,0,14.73240000,0,0,13.71085000,3.90180000,0,0,22.42487455,0.02250000,0,0.40360000,5.23685577,0.10544000,0,16.08337453,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-09,0,0,0,0,0,0,0,0,0,0.58665000,0,0,0.06870000,0.38330000,0,0,17.19652209,0,0,0,14.86532362,0.33184000,0.23640000,12.63719394,0,0,0.56750000,0,0,0,0,0,0,0,0,0
2013-08-10,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0.00060000,0.00000000,0,0,15.16314247,0.94900000,0,0,38.27876795,0.00000000,0,3.91011875,0,0,0.00000000,0,0,0,0,0,0,0,0,0
2013-08-11,0,0,0,0,0,0,0,0,0,0.55060000,0,0,0.34920000,0,0,0,12.54451438,0.00000000,0,0,10.98080909,6.40945000,0,0.64908750,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-12,0,0,0,0,0,0,0,0,0,0.00000000,0,0,18.82920000,0,0,0,16.01424091,1.23180000,0,0,4.34963333,10.78060000,0,9.17500000,0,0,8.46750000,0,0,0,0,0,0,0,0,0.18170000
2013-08-13,0,0,0,0,0.30805000,0,0,0,0,6.64266667,0,0,5.90206000,0,0,0,35.02982708,0,0,0,2.33207263,7.12271250,0,5.55953333,0,0.30780000,0.00000000,0,0,0,0,0,0,0,0,0.00095000
2013-08-14,0,0,0,0,0,0,0,0,0,37.38530000,0,0,4.77530000,31.53260000,0,0,15.72600000,43.74140000,0,0,15.25005143,1.99160000,0,11.83338000,0,0,0.00000000,0,0,0,0,0,0,0,0,0.00000000
2013-08-15,0,0,0,0,0,0,0,0,0,51.36221000,0,0,23.30610000,21.46110000,0,0,43.41199403,0.00000000,0,26.99515000,62.62145354,38.94512500,0,32.36341667,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-16,0,0,0,0,0,0,0,0,0,53.24270000,0,0,39.28640000,0,0,0,46.41616092,43.21162000,0,36.61220000,17.37600465,22.21860000,0,2.07375000,0,24.38580000,0,0,0,0,0,0,0,0,0,0
2013-08-17,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0,0.00000000,0.00000000,0,0.00000000,10.08960000,0.00000000,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-18,0,0,0,0,0,0,0,0,0,52.05470000,0,0,50.95357500,87.97943333,0,0,66.95714624,87.16750000,0,0,42.13783000,54.46417500,0,56.76620833,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19,0,0,0,0,0,0,0,0,0,17.19172222,0,0,8.69325000,0,0,0,7.70358419,0,0,0,10.43600833,13.13122857,0,10.61416923,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-20,0,0,0,0,0,0,0,0,0,3.05457000,0,0,3.66450000,14.76670000,0,0,7.21927110,0,0,6.96330000,14.36684324,10.83298750,0,8.10533030,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-21,0,0,0,107.17030000,0,0,0,0,0,8.65922000,0,0,4.72837500,11.14738571,0,0,8.20147679,0,0,0,6.63484267,11.58359091,0,8.14833548,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-22,0,0,0,0,0,0,0,0,0,4.18670000,0,0,1.82060000,3.65760000,0,0,7.28461563,8.17220000,0,0,4.40975845,5.72712000,0,9.09381739,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-23,0,0,0,0,0,0,0,0,0,11.42960000,0,0,19.65580000,1.07780000,0,0,12.46478788,10.99690000,0,0,0.05316190,6.18800000,0,6.97400000,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-24,0,0,0,0,0,0,0,0,0,12.43460000,0,0,0.00140000,40.71640000,0,0,11.50148727,0.00000000,0,0,3.92523387,0.00000000,0,16.92053000,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-25,0,0,0,0,0,0,0,0,0,3.21471667,0,0,37.79400000,0.00110000,0,0,8.99306596,0,0,0,38.95201496,3.63520000,0,5.15264167,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-26,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0.00000000,0,0,0.00000000,0,0,0,0.00000000,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-27,0,0,0,116.30310000,0,0,0,0,0,4.32870000,0,0,17.79080000,0.01233333,1.29190000,0,18.13380571,0,0,0,51.06555972,98.92250000,0,5.37892593,0,24.19140000,0.49026667,0,0,0,18.16690000,0,0,0,0,0
2013-08-28,0,0,0,0.00000000,0,0,0,0,0,0.00000000,0,0,0.09452500,0.00140000,0,0,1.26763846,0,0,0,2.66361556,0.00130000,0,0.11708958,0,0,0.37757500,0,0,0,0,0,0,0,0,0
2013-08-29,0,0,0,0.00000000,0,0,0,0,0,0.00190000,0,0,35.52390000,0.00000000,0,0,25.42873750,0,0,1.40880000,4.95182787,3.01560000,1.31640000,1.00825000,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-30,0,0,0,0,0,0,0,0,0,2.70780000,0,0,48.53805000,3.15830000,0,0,15.16966000,0,0,5.99916000,6.84846618,0.57263750,0,0.42523611,0,0,0,0,0,0,0,0,0,0,0,0
