Day,[96] Wait Hours: Per Job,[64] Wait Hours: Per Job,[144] Wait Hours: Per Job,[128] Wait Hours: Per Job,[256] Wait Hours: Per Job,[16] Wait Hours: Per Job,[32] Wait Hours: Per Job,[160] Wait Hours: Per Job,[80] Wait Hours: Per Job,[48] Wait Hours: Per Job,[112] Wait Hours: Per Job
2011-01-21,0.00080000,0.00047000,0,0,0,0.00055000,0,0,0,0,0
2011-01-22,0.00030000,0.00053636,0,0.00060000,0,0,0,0,0,0,0
2011-01-23,0.00000000,0.00048889,0,0.00030000,0,0,0,0,0,0,0
2011-01-24,0.00000000,0.75056000,0,0.00060000,0,0.00040417,0.00052000,0,0,0,0
2011-01-25,0.00335000,0.00000000,0,0.00000000,0,0.00044286,0.20380000,0.21085000,0,0,0
2011-01-26,27.92776667,19.68878000,0,3.99005455,4.05112500,2.94622286,1.57588889,0,0,0,0
2011-01-27,0.00040000,0.13460000,0.00060000,0.00226818,5.62110000,0.16904783,0.01600909,0,0,0.00035000,0.00060000
2011-01-28,0,0.24944074,3.98360000,0.66104091,0.29140250,0.22508566,0.20084138,0,0.95440000,0.00030000,0
2011-01-29,0,0.00162000,0.00000000,0.00030000,0,0.00071892,0,0,0,0,0
2011-01-30,0,0.00030000,0,0.00045000,0,0.00397895,2.65810000,0,0.00060000,0.12640000,0
2011-01-31,0,0.00040000,0.00080000,0.00065000,0,0.00045897,0.32938649,0,0.00056000,0.00040000,0
