title
"Wait Hours: Per Job: by Node Count"
parameters
"Resource =  SDSC-GORDON"
start,end
2012-08-01,2013-01-31
---------
Day,"[16] Wait Hours: Per Job","[100] Wait Hours: Per Job","[12] Wait Hours: Per Job","[2] Wait Hours: Per Job","[32] Wait Hours: Per Job","[38] Wait Hours: Per Job","[64] Wait Hours: Per Job","[20] Wait Hours: Per Job","[1] Wait Hours: Per Job","[11] Wait Hours: Per Job","[60] Wait Hours: Per Job","[30] Wait Hours: Per Job","[9] Wait Hours: Per Job","[35] Wait Hours: Per Job","[10] Wait Hours: Per Job","[17] Wait Hours: Per Job","[4] Wait Hours: Per Job","[39] Wait Hours: Per Job","[18] Wait Hours: Per Job","[22] Wait Hours: Per Job","[80] Wait Hours: Per Job","[3] Wait Hours: Per Job","[24] Wait Hours: Per Job","[15] Wait Hours: Per Job","[27] Wait Hours: Per Job","[8] Wait Hours: Per Job","[128] Wait Hours: Per Job","[6] Wait Hours: Per Job","[5] Wait Hours: Per Job","[36] Wait Hours: Per Job","[21] Wait Hours: Per Job","[19] Wait Hours: Per Job","[40] Wait Hours: Per Job","[23] Wait Hours: Per Job","[26] Wait Hours: Per Job","[28] Wait Hours: Per Job","[14] Wait Hours: Per Job","[34] Wait Hours: Per Job","[31] Wait Hours: Per Job","[33] Wait Hours: Per Job","[37] Wait Hours: Per Job","[41] Wait Hours: Per Job","[44] Wait Hours: Per Job","[48] Wait Hours: Per Job","[46] Wait Hours: Per Job","[47] Wait Hours: Per Job","[45] Wait Hours: Per Job","[49] Wait Hours: Per Job","[51] Wait Hours: Per Job","[53] Wait Hours: Per Job","[25] Wait Hours: Per Job","[56] Wait Hours: Per Job","[50] Wait Hours: Per Job","[42] Wait Hours: Per Job","[43] Wait Hours: Per Job","[57] Wait Hours: Per Job","[63] Wait Hours: Per Job","[58] Wait Hours: Per Job","[59] Wait Hours: Per Job","[52] Wait Hours: Per Job","[54] Wait Hours: Per Job","[61] Wait Hours: Per Job","[13] Wait Hours: Per Job","[55] Wait Hours: Per Job","[29] Wait Hours: Per Job","[62] Wait Hours: Per Job","[7] Wait Hours: Per Job","[68] Wait Hours: Per Job"
2012-08-01,24.09088571,0,0.50970000,0.00717895,0.20830000,0.36280000,0.00330000,0.48720000,0.77248093,0.51310000,0.07750000,0.41060000,0.00000000,0.37000000,0.51310000,0.50670000,52.38261429,0.35610000,0.50280000,0.46440000,0,0.08361290,0.22930000,0.00170000,0.45110000,0.06412000,0,0,0,0.36610000,0.46440000,0.50280000,0.33140000,0.46110000,0.45110000,0.43830000,0.50670000,0.39420000,0.41060000,0.40690000,0.36610000,0.32780000,0.31670000,0.28000000,0.28390000,0.27860000,0.29140000,0.25110000,0.23830000,0.21420000,0.45440000,0.20360000,0.24780000,0.32750000,0.32440000,0.14420000,0.17690000,0.10860000,0.10860000,0.23810000,0.21080000,0.07080000,0.50970000,0.17720000,0.41440000,0.03970000,0,0
2012-08-02,34.67567143,0,0,12.34210303,0.21963333,0,0,0,1.10608344,0,0,0,0.00000000,0,0.00000000,0,0.03617500,0,0,0,0,0.78556634,0.40940000,0,0,0.06495000,0,0,0.00290000,0,0,0,0,0,0,0,0,0.11610000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-03,30.69359286,0,0,0.89604194,0.00573333,0,0,0,1.25014797,0,0,0,0,0,0,0,0.01870000,0,0,0,0,0.00757500,0.00000000,0,0,0.10362500,0,0,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-04,10.97393333,0,0.00367500,28.16193750,0,0,0,0,2.95212346,0,0,0,0,0,0,0,0.00422000,0,0,0,0,0.00000000,0.00360000,0,0,0.00460000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-05,71.08015000,0,0.00000000,8.41106667,0,0,0,0,0.40021365,0,0,0,0,0,0.00445000,0,0.00555000,0,0,0,0,0.00617500,0.00000000,0,0,0.00530000,0,0,0.00536667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-06,26.52055714,0,0,84.25393333,0.03810000,0,0,0,0.69430743,0,0,0,0,0,0.00000000,0,0.00545000,0,0,0,0,0.01089333,0.00470000,0,0,0.00422000,0,0.00593333,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-07,48.10117500,0,0,11.00359592,0.00560000,0,0,0,0.16526000,0,0,0,0,0,0.04292500,0,0.00873333,0,0,0,0,0.01629310,0.00000000,0,0,0.00915000,0,0.00000000,0.01095000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-08,9.62692000,0,0.00080000,12.17132931,0.02426667,0,0.05720000,0,3.02839544,0,0,0,0.00136667,0,0.00000000,0,0.00406667,0,0,0,0,0.00255000,0.00430000,0.00190000,0,0.00313077,0,0,0.00250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00190000,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-09,0.00112500,0,0.00000000,0.00691364,0.00000000,0,0.01983333,0,0.14490556,0,0,0,0,0,0.00000000,0,0.01663030,0,0,0,0,0.00461000,0.00000000,0,0,0.01457500,0,0,0.00380000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-10,7.36408333,0,0.00000000,0.00299070,0,0,0.02150000,0,0.08502587,0,0,0,0,0,0.00156667,0,0.00110000,0,0,0,0,0.00142000,0.00170000,0,0,0.00360000,0,0.00110000,0.00055000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
