title,,,,,,,,,,,,,,,,
Number of Jobs Ended: by Job Wall Time,,,,,,,,,,,,,,,,
parameters,,,,,,,,,,,,,,,,
Resource =  TACC-STAMPEDE,Job Size =  65 - 256,,,,,,,,,[1 - 30s] Avg Percent of Jobs Ended,[30s - 30min] Avg Percent of Jobs Ended,[30 - 60min] Avg Percent of Jobs Ended,[1 – 5hr] Avg Percent of Jobs Ended,[5 – 10hr] Avg Percent of Jobs Ended,[10 - 18hr] Avg Percent of Jobs Ended,[18+hr] Avg Percent of Jobs Ended
start,end,,,,,,,,,10.3843740915,48.9463178051,4.8413707169,13.1299036986,6.6003079164,3.6506240041,8.0295976654
2015-08-01,2016-01-31,,,,,,,,,,,,,,,
---------,,,,,,,,,,,,,,,,
Day,[1 - 30s] Number of Jobs Ended,[30s - 30min] Number of Jobs Ended,[30 - 60min] Number of Jobs Ended,[1 - 5hr] Number of Jobs Ended,[5 - 10hr] Number of Jobs Ended,[10 - 18hr] Number of Jobs Ended,[18+hr] Number of Jobs Ended,,SUM,[1 - 30s] Percent of Jobs Ended,[30s - 30min] Percent of Jobs Ended,[30 - 60min] Percent of Jobs Ended,[1 - 5hr] Percent of Jobs Ended,[5 – 10hr] Percent of Jobs Ended,[10 - 18hr] Percent of Jobs Ended,[18+hr] Percent of Jobs Ended
2015-08-01,30,135,21,88,63,29,59,,425,7.0588235294,31.7647058824,4.9411764706,20.7058823529,14.8235294118,6.8235294118,13.8823529412
2015-08-02,23,127,27,91,35,34,82,,419,5.4892601432,30.3102625298,6.4439140811,21.7183770883,8.353221957,8.1145584726,19.5704057279
2015-08-03,104,209,39,70,24,27,118,,591,17.5972927242,35.3637901861,6.5989847716,11.8443316413,4.0609137056,4.5685279188,19.9661590525
2015-08-04,180,154,34,91,28,36,55,,578,31.1418685121,26.6435986159,5.8823529412,15.7439446367,4.8442906574,6.2283737024,9.5155709343
2015-08-05,49,186,54,147,41,36,64,,577,8.4922010399,32.2357019064,9.3587521664,25.4766031196,7.1057192374,6.2391681109,11.0918544194
2015-08-06,52,182,45,132,30,71,67,,579,8.9810017271,31.4335060449,7.7720207254,22.7979274611,5.1813471503,12.2625215889,11.5716753022
2015-08-07,56,118,93,173,43,48,55,,586,9.5563139932,20.1365187713,15.8703071672,29.5221843003,7.337883959,8.1911262799,9.385665529
2015-08-08,52,226,72,146,41,32,35,,604,8.6092715232,37.417218543,11.9205298013,24.1721854305,6.7880794702,5.298013245,5.7947019868
2015-08-09,32,364,28,124,78,46,30,,702,4.5584045584,51.8518518519,3.9886039886,17.6638176638,11.1111111111,6.5527065527,4.2735042735
2015-08-10,37,329,42,134,121,44,72,,779,4.7496790757,42.2336328626,5.3915275995,17.2015404365,15.5327342747,5.648267009,9.242618742
2015-08-11,71,229,44,93,48,58,54,,597,11.8927973199,38.3584589615,7.3701842546,15.5778894472,8.040201005,9.7152428811,9.0452261307
2015-08-12,62,279,27,92,54,41,76,,631,9.8256735341,44.2155309033,4.2789223455,14.5800316957,8.557844691,6.4976228209,12.0443740095
2015-08-13,45,238,65,107,30,62,91,,638,7.0532915361,37.3040752351,10.1880877743,16.7711598746,4.7021943574,9.7178683386,14.263322884
2015-08-14,32,177,83,103,68,31,67,,561,5.7040998217,31.550802139,14.7950089127,18.3600713012,12.1212121212,5.5258467023,11.9429590018
2015-08-15,25,330,52,121,22,25,87,,662,3.7764350453,49.8489425982,7.8549848943,18.2779456193,3.3232628399,3.7764350453,13.1419939577
2015-08-16,0,38,4,5,0,2,13,,62,0,61.2903225806,6.4516129032,8.064516129,0,3.2258064516,20.9677419355
2015-08-17,54,270,33,105,31,16,58,,567,9.5238095238,47.619047619,5.8201058201,18.5185185185,5.467372134,2.8218694885,10.2292768959
2015-08-18,23,264,31,30,4,11,16,,379,6.0686015831,69.6569920844,8.1794195251,7.9155672823,1.055408971,2.9023746702,4.2216358839
2015-08-19,73,500,76,123,73,27,34,,906,8.0573951435,55.1876379691,8.3885209713,13.5761589404,8.0573951435,2.9801324503,3.7527593819
2015-08-20,60,309,50,138,45,46,72,,720,8.3333333333,42.9166666667,6.9444444444,19.1666666667,6.25,6.3888888889,10
2015-08-21,61,271,38,163,60,29,59,,681,8.9574155653,39.7944199706,5.5800293686,23.9353891336,8.8105726872,4.2584434655,8.6637298091
2015-08-22,61,160,37,149,46,39,87,,579,10.5354058722,27.633851468,6.390328152,25.7340241796,7.9447322971,6.7357512953,15.0259067358
2015-08-23,22,141,11,132,32,16,56,,410,5.3658536585,34.3902439024,2.6829268293,32.1951219512,7.8048780488,3.9024390244,13.6585365854
2015-08-24,48,349,21,117,19,21,59,,634,7.570977918,55.047318612,3.3123028391,18.4542586751,2.9968454259,3.3123028391,9.3059936909
2015-08-25,110,331,37,188,34,37,59,,796,13.8190954774,41.5829145729,4.648241206,23.6180904523,4.2713567839,4.648241206,7.4120603015
2015-08-26,108,420,29,152,25,24,72,,830,13.0120481928,50.6024096386,3.4939759036,18.313253012,3.0120481928,2.8915662651,8.6746987952
2015-08-27,56,411,61,134,16,26,59,,763,7.3394495413,53.8663171691,7.994757536,17.5622542595,2.0969855832,3.4076015727,7.7326343381
2015-08-28,87,459,25,198,44,20,51,,884,9.8416289593,51.9230769231,2.8280542986,22.3981900452,4.9773755656,2.2624434389,5.7692307692
2015-08-29,40,466,15,162,81,23,62,,849,4.7114252061,54.8881036514,1.7667844523,19.0812720848,9.5406360424,2.7090694935,7.3027090695
2015-08-30,68,1152,59,170,33,32,38,,1552,4.381443299,74.2268041237,3.8015463918,10.9536082474,2.1262886598,2.0618556701,2.4484536082
2015-08-31,60,1671,35,179,53,42,47,,2087,2.8749401054,80.0670819358,1.6770483948,8.5769046478,2.5395304264,2.0124580738,2.2520364159
2015-09-01,57,725,52,173,85,28,67,,1187,4.802021904,61.0783487784,4.3807919124,14.5745577085,7.1609098568,2.3588879528,5.6444818871
2015-09-02,49,711,38,152,40,31,46,,1067,4.5923149016,66.6354264292,3.5613870665,14.2455482662,3.7488284911,2.9053420806,4.3111527648
2015-09-03,0,50,0,9,7,1,3,,70,0,71.4285714286,0,12.8571428571,10,1.4285714286,4.2857142857
2015-09-04,122,583,55,126,38,17,56,,997,12.2367101304,58.4754262788,5.5165496489,12.6379137412,3.8114343029,1.705115346,5.6168505517
2015-09-05,21,617,26,68,23,49,37,,841,2.4970273484,73.3650416171,3.0915576694,8.0856123662,2.7348394768,5.8263971463,4.3995243757
2015-09-06,61,899,39,51,43,13,47,,1153,5.2905464007,77.9705117086,3.3824804857,4.4232437121,3.7294015611,1.1274934952,4.0763226366
2015-09-07,68,276,28,137,30,24,56,,619,10.98546042,44.5880452342,4.5234248788,22.1324717286,4.8465266559,3.8772213247,9.0468497577
2015-09-08,82,425,30,101,64,21,56,,779,10.5263157895,54.5571245186,3.8510911425,12.9653401797,8.215661104,2.6957637997,7.188703466
2015-09-09,64,465,20,162,26,13,44,,794,8.0604534005,58.564231738,2.5188916877,20.40302267,3.274559194,1.637279597,5.5415617128
2015-09-10,48,619,30,89,26,30,54,,896,5.3571428571,69.0848214286,3.3482142857,9.9330357143,2.9017857143,3.3482142857,6.0267857143
2015-09-11,46,877,33,87,43,29,42,,1157,3.9757994814,75.7994814175,2.8522039758,7.5194468453,3.7165082109,2.5064822818,3.6300777874
2015-09-12,37,487,8,56,42,14,37,,681,5.4331864905,71.5124816446,1.174743025,8.2232011747,6.1674008811,2.0558002937,5.4331864905
2015-09-13,46,1063,15,27,26,18,51,,1246,3.6918138042,85.3130016051,1.2038523274,2.1669341894,2.0866773676,1.4446227929,4.0930979133
2015-09-14,40,788,21,76,28,27,28,,1008,3.9682539683,78.1746031746,2.0833333333,7.5396825397,2.7777777778,2.6785714286,2.7777777778
