title,,,,,,,,,,,,,,,,,
CPU Hours: Total: by Job Wall Time,,,,,,,,,,,,,,,,,
parameters,,,,,,,,,,,,,,,,,
Job Size =  2 - 4,,,,,,,,,,,,,,,,,
start,end,,,,,,,,,,,,,,,,
7/1/2015,12/31/2015,,,,,,,,,,,,,,,,
---------,,,,,,,,,,,,,,,,,
Day,[1 - 30s] CPU Hours: Total,[30s - 30min] CPU Hours: Total,[30 - 60min] CPU Hours: Total,[1 - 5hr] CPU Hours: Total,[5 - 10hr] CPU Hours: Total,[10 - 18hr] CPU Hours: Total,[18+hr] CPU Hours: Total,,,[0 - 1s] CPU Hours: Total,[1 - 30s] CPU Hours: Total,[30s - 30min] CPU Hours: Total,[30 - 60min] CPU Hours: Total,[1 - 5hr] CPU Hours: Total,[5 - 10hr] CPU Hours: Total,[10 - 18hr] CPU Hours: Total,[18+hr] CPU Hours: Total
7/1/2015,0.0156,0.925,0,0,0,0,26.4333,,,0,0.042108287,14.3796884,16.15926961,152.083505,218.5479409,286.571732,3703.245344
7/2/2015,0,0,1.0011,0,0,0,3.8978,,,,,,,,,,
7/3/2015,0,1.1178,3.2644,0,16.6122,0,48,,,,,,,,,,
7/4/2015,0,0,0,3.2383,15.4022,0,48,,,[0 - 1s] CPU Hours: Total,[1 - 30s] CPU Hours: Total,[30s - 30min] CPU Hours: Total,[30 - 60min] CPU Hours: Total,[1 - 5hr] CPU Hours: Total,[5 - 10hr] CPU Hours: Total,[10 - 18hr] CPU Hours: Total,[18+hr] CPU Hours: Total
7/5/2015,0,5.1456,0,0,2.2472,0,48,,,0,0.000958962,0.327478741,0.368006393,3.463504445,4.977145713,6.526299272,84.33660647
7/6/2015,0,13.975,7.0633,116.8562,56.7044,60.3256,48,,,,,,,,,,
7/7/2015,0,16.0045,4.6811,76.1256,89.2356,0,71.1872,,,,,,,,,,
7/8/2015,0,17.92,8.7411,105.1289,22.6311,0,144,,,,,,,,,,
7/9/2015,0.0772,15.015,6.28,71.4667,0,45.5144,119.21,,,,,,,,,,
7/10/2015,0.1078,8.4867,3.4689,116.7122,36,48.7878,144,,,,,,,,,,
7/11/2015,0,1.86,0,10.9089,0,0,129.4844,,,,,,,,,,
7/12/2015,0,7.6878,0,14.84,20.0633,0,98.4389,,,,,,,,,,
7/13/2015,0.1611,8.9033,27.39,86.6822,159.9078,80.0356,144,,,,,,,,,,
7/14/2015,0,32.8344,59.0756,41.1267,19.9389,0,62.1477,,,,,,,,,,
7/15/2015,0,16.7994,32.0045,96.8234,28.7789,0,25.0706,,,,,,,,,,
7/16/2015,0,5.1689,16.1344,87.8006,0,0,24.7528,,,,,,,,,,
7/17/2015,0,2.7872,7.0278,32.5133,52.3867,0,21.1878,,,,,,,,,,
7/18/2015,0,1.8,3.9322,17.2433,0,0,94.5022,,,,,,,,,,
7/19/2015,0.045,10.4906,26.6844,10.4633,0,0,96,,,,,,,,,,
7/20/2015,0,11.4184,6.4389,38.8167,24.0011,0,139.5678,,,,,,,,,,
7/21/2015,0.0083,11.8762,20.845,23.2667,16.0244,32.0567,92.1078,,,,,,,,,,
7/22/2015,0.0083,19.8506,31.64,18.4178,4.6767,63.9867,0,,,,,,,,,,
7/23/2015,0,0.13,2.6722,73.1856,0,101.7955,145.4211,,,,,,,,,,
7/24/2015,0,9.3172,24.2578,31.1,0,269.6045,980.1744,,,,,,,,,,
7/25/2015,0,0,0,0,0,0,691.4189,,,,,,,,,,
7/26/2015,0,0.9089,8.0388,0,0,23.3944,6.5739,,,,,,,,,,
7/27/2015,0,3.3161,15.2494,0,19.3233,94.2322,0,,,,,,,,,,
7/28/2015,0,13.6466,6.1111,84.6789,0,33.3539,0,,,,,,,,,,
7/29/2015,0,12.2778,9.0795,49.5256,13.3622,18.8056,5.9256,,,,,,,,,,
7/30/2015,0,7.8162,10.6778,12.4711,12.5878,9.7783,48,,,,,,,,,,
7/31/2015,0,2.0111,9.0133,24.2261,20.5689,0,7.8156,,,,,,,,,,
8/1/2015,0.0122,1.1244,3.5933,13.3028,5.2828,0,88.8067,,,,,,,,,,
8/2/2015,0,9.7022,28.3589,59.8778,41.6417,18.1356,120.7831,,,,,,,,,,
8/3/2015,0,6.9778,13.3544,44.0411,33.4356,29.8667,171.7044,,,,,,,,,,
8/4/2015,0,4.5455,9.0289,30.4944,0,0,267.3058,,,,,,,,,,
8/5/2015,0.0267,1.3833,9.4767,11.17,24.0133,0,254.0817,,,,,,,,,,
8/6/2015,0.1522,6.8689,16.6378,43.3289,63.3756,0,66.6267,,,,,,,,,,
8/7/2015,0,8.787,17.1422,38.1578,7.8244,48.3683,44.1184,,,,,,,,,,
8/8/2015,0,4.9039,2.4544,4.8978,0,104.2589,162.1267,,,,,,,,,,
8/9/2015,0,10.0044,20.7689,17.68,0,0,184.965,,,,,,,,,,
8/10/2015,0,6.0344,20.9211,19.0028,0,48.0278,188.5203,,,,,,,,,,
8/11/2015,0,11.2497,15.1345,37.9544,40.6072,0,57.3592,,,,,,,,,,
8/12/2015,0.0061,14.5356,12.7756,35.23,11.5122,0,0,,,,,,,,,,
8/13/2015,0,12.0089,12.1867,16.0278,22.9578,0,0,,,,,,,,,,
8/14/2015,0,8.7867,31.0167,53.1256,81.9144,0,0,,,,,,,,,,
8/15/2015,0,0,0,0,0,21.3356,0,,,,,,,,,,
8/16/2015,0,5.8778,5.52,0,0,2.6722,0,,,,,,,,,,
8/17/2015,0,0,1.0117,0,0,0,14.41,,,,,,,,,,
8/18/2015,0,0.5956,0,0,0,0,42.5594,,,,,,,,,,
8/19/2015,0.1267,4.2934,0,0,0,0,26.6133,,,,,,,,,,
8/20/2015,0,9.0578,1.04,8.0278,0,0,15.3928,,,,,,,,,,
8/21/2015,0.0656,4.1378,0,9.325,0,0,122.7456,,,,,,,,,,
8/22/2015,0,2.2422,0,3.3061,0,0,78.7361,,,,,,,,,,
8/23/2015,0,0.2205,0,0,0,0.7544,0,,,,,,,,,,
8/24/2015,0,0.045,1.9,0,0,55.4322,66.2578,,,,,,,,,,
8/25/2015,0,1.6022,0,0,0,0,64.8867,,,,,,,,,,
8/26/2015,0.08,0.09,0,0,0,0,42.2639,,,,,,,,,,
8/27/2015,0.2417,25.6011,4.5972,7.0144,0,0,96,,,,,,,,,,
8/28/2015,0.1517,14.7078,3.6017,4.1744,11.57,0,22.3189,,,,,,,,,,
8/29/2015,0,0.0861,0,0,5.0489,0,0,,,,,,,,,,
8/30/2015,0.075,1.5883,0,0,16.8994,63.6972,98.9333,,,,,,,,,,
8/31/2015,0.0667,0.5006,3.2183,0,14.8728,23.3511,22.3422,,,,,,,,,,
9/1/2015,0,0.75,1.0072,50.9772,0,18.44,113.47,,,,,,,,,,
9/2/2015,0,0,0,28.555,10.0994,36.0661,223.6394,,,,,,,,,,
9/3/2015,0,0.3533,0,0,0,28.1083,39.9033,,,,,,,,,,
9/4/2015,0,1.8645,0,0,0,9.5317,22.2328,,,,,,,,,,
9/5/2015,0,0.3878,0,20.5539,0,0,34.3617,,,,,,,,,,
9/8/2015,0,0.0322,0,0,0,0,2.9128,,,,,,,,,,
9/9/2015,0.0783,0.7344,0,0,0,0,35.3367,,,,,,,,,,
9/10/2015,0.055,0.395,2.1933,14.4705,0,0,6.3617,,,,,,,,,,
9/11/2015,0,0,0,0,0,0,45.0444,,,,,,,,,,
9/13/2015,0.0267,0,1.0117,0,0,0,14.2656,,,,,,,,,,
9/14/2015,0.1211,3.8333,7.1733,0,0,0,47.7794,,,,,,,,,,
9/15/2015,0,0,0,0,0,0,48,,,,,,,,,,
9/16/2015,0,0.3167,0,0,0,0,48,,,,,,,,,,
9/17/2015,0,0.2542,0,12.4383,0,0,1.9672,,,,,,,,,,
9/18/2015,0.0467,54.7594,7.6933,2.1272,0,0,35.2072,,,,,,,,,,
9/19/2015,0.0222,11.9277,8.4444,19.2933,0,0,48,,,,,,,,,,
9/20/2015,0.0961,3.2814,0,0,0,0,48,,,,,,,,,,
9/21/2015,0,7.4033,4.3206,4.3256,0,0,37.7678,,,,,,,,,,
9/22/2015,0.0144,0.8778,0,2.9872,0,0,48,,,,,,,,,,
9/23/2015,0,1.8906,0,0,0,15.8378,48,,,,,,,,,,
9/24/2015,0,1.0737,0,0,0,30.7811,48,,,,,,,,,,
9/25/2015,0,3.3383,1.0061,8.0111,0,72.3667,48,,,,,,,,,,
9/26/2015,0,1.4989,0,0,23.4189,12.44,15.0344,,,,,,,,,,
9/27/2015,0,0,1.0133,12.9956,7.8978,19.4222,16.1739,,,,,,,,,,
9/28/2015,1.5422,0.3861,0,11.905,0,95.7978,48,,,,,,,,,,
9/29/2015,0,5.2942,1.0133,0,51.2689,12.2967,48,,,,,,,,,,
9/30/2015,0,2.2117,4.4356,1.9939,29.1689,0,48,,,,,,,,,,
10/1/2015,0.0117,1.7797,3.6445,65.6078,130.12,70.1525,309.5681,,,,,,,,,,
10/2/2015,0.0122,8.8689,2.525,74.0373,193.9786,165.9084,1174.2228,,,,,,,,,,
10/3/2015,0,1.1928,0,41.3472,190.5952,20.3978,1564.6192,,,,,,,,,,
10/4/2015,0,0.7544,3.3044,146.0297,298.8875,377.1081,2805.5592,,,,,,,,,,
10/5/2015,0.0556,8.0539,10.1211,110.8978,126.6541,529.6226,4081.1112,,,,,,,,,,
10/6/2015,0,18.8828,12.8524,116.0597,172.7437,407.4808,4997.3837,,,,,,,,,,
10/7/2015,0,18.4161,7.098,365.3961,445.492,497.8922,6506.3787,,,,,,,,,,
10/8/2015,0.0225,21.9244,16.9845,110.5467,262.5681,452.575,6799.2681,,,,,,,,,,
10/9/2015,0.0578,11.173,33.9058,209.9016,201.905,431.6797,6416.6275,,,,,,,,,,
10/10/2015,0.015,10.1367,11.0895,164.7856,245.8211,323.7717,6608.8836,,,,,,,,,,
10/11/2015,0.0111,21.8263,58.9266,193.4864,196.3139,112.3291,5570.2247,,,,,,,,,,
10/12/2015,0,14.1044,13.3842,245.7316,340.9413,569.5369,5068.1261,,,,,,,,,,
10/13/2015,0.0353,26.2377,12.4945,193.0748,1035.9858,788.1867,8082.1078,,,,,,,,,,
10/14/2015,0.2198,69.4598,30.4975,145.6211,721.9463,566.0381,8408.7411,,,,,,,,,,
10/15/2015,0.0083,12.6184,57.6402,177.0243,410.2161,708.4345,6987.2399,,,,,,,,,,
10/16/2015,0,51.94,47.0415,143.3761,108.3836,428.6869,7071.1205,,,,,,,,,,
10/17/2015,0,13.48,12.4828,40.9636,250.4691,2862.6255,6209.9597,,,,,,,,,,
10/18/2015,0,18.242,23.8238,200.6283,1022.5756,1094.5747,7598.73,,,,,,,,,,
10/19/2015,0.0381,68.8232,44.3406,267.0827,194.05,162.9586,12636.1622,,,,,,,,,,
10/20/2015,0.04,69.1637,72.8813,155.7433,155.2033,445.9192,11302.3295,,,,,,,,,,
10/21/2015,0.0094,12.2211,15.9156,131.3664,403.4483,2590.227,11930.7188,,,,,,,,,,
10/22/2015,0.0305,10.0873,11.6195,276.9919,264.3945,838.2317,13982.5103,,,,,,,,,,
10/23/2015,0.0067,37.6889,36.1872,346.4389,446.5033,719.2334,13922.7906,,,,,,,,,,
10/24/2015,0.0233,29.2945,28.0694,201.9611,140.3883,115.4922,13200.7853,,,,,,,,,,
10/25/2015,0.04,37.5178,13.4469,85.2962,157.6561,396.8844,11535.6634,,,,,,,,,,
10/26/2015,0,18.6203,13.2395,266.308,600.9784,273.5328,9950.1942,,,,,,,,,,
10/27/2015,0.1272,47.4639,53.3744,240.1289,365.6656,424.8908,9282.1164,,,,,,,,,,
10/28/2015,0,17.3422,16.0644,477.0408,576.1526,755.8769,9215.3397,,,,,,,,,,
10/29/2015,0.0111,9.3783,3.2128,3304.4023,2640.7141,452.5428,8347.7008,,,,,,,,,,
10/30/2015,0.0767,3.465,3.0039,2019.0678,2990.4117,638.0389,8792.9058,,,,,,,,,,
10/31/2015,0.0128,2.1803,8.5067,533.8205,928.8011,925.3977,8495.7719,,,,,,,,,,
11/1/2015,0,0.0783,4.0144,13.12,296.2989,893.4072,7202.4917,,,,,,,,,,
11/2/2015,0,41.4536,6.1208,299.6116,286.3362,358.6081,6129.4039,,,,,,,,,,
11/3/2015,0.0539,41.2753,22.9861,484.7301,320.1817,641.1216,6032.241,,,,,,,,,,
11/4/2015,0.015,55.4827,20.1294,249.0369,329.4878,655.0636,5239.0301,,,,,,,,,,
11/5/2015,0.0567,27.61,22.7534,500.307,98.7606,842.4639,4396.6878,,,,,,,,,,
11/6/2015,0.0244,8.0131,8.4628,157.2875,294.2333,649.9614,4118.6025,,,,,,,,,,
11/7/2015,0.0167,38.7903,32.0689,113.6834,77.5994,159.7222,4265.2075,,,,,,,,,,
11/8/2015,0.0683,69.8829,129.3122,297.8812,140.4578,41.61,3746.1711,,,,,,,,,,
11/9/2015,0,21.4239,29.8548,362.002,656.8661,1611.1122,5679.2256,,,,,,,,,,
11/10/2015,0,11.3633,44.3351,182.9889,648.2167,874.4945,4844.0862,,,,,,,,,,
11/11/2015,0.07,103.3487,110.4578,290.4746,534.4672,864.3052,7151.8559,,,,,,,,,,
11/12/2015,0,81.4447,73.3467,360.4644,745.5825,181.0702,6542.5984,,,,,,,,,,
11/13/2015,0.035,61.0875,46.7231,451.9881,299.7411,928.6372,6808.8109,,,,,,,,,,
11/14/2015,0,36.5344,18.8863,290.1006,371.2128,613.4381,6772.2038,,,,,,,,,,
11/15/2015,0.02,41.1009,12.0078,311.3096,735.5711,661.0562,4978.2339,,,,,,,,,,
11/16/2015,0.0117,31.4731,21.7472,271.5017,231.2453,621.0016,6353.8247,,,,,,,,,,
11/17/2015,0.0089,27.4766,6.7694,527.7891,474.8834,229.6311,5983.851,,,,,,,,,,
11/18/2015,0.05,14.1597,12.6486,232.1953,588.6745,573.3675,6098.5122,,,,,,,,,,
11/19/2015,0.0414,19.0939,37.8484,271.0802,487.3206,540.0749,6841.3322,,,,,,,,,,
11/20/2015,0,24.4328,22.9372,364.4857,446.7845,127.7417,6053.1556,,,,,,,,,,
11/21/2015,0,10.9177,6.3711,102.9622,258.8369,169.6756,4770.0577,,,,,,,,,,
11/22/2015,0,17.9816,24.0628,175.5748,595.4456,1052.6272,4609.0328,,,,,,,,,,
11/23/2015,1.4702,19.1072,38.1437,149.3683,294.4311,474.195,5065.1776,,,,,,,,,,
11/24/2015,0.0444,12.0997,32.9849,414.1509,355.3453,531.6708,4799.3603,,,,,,,,,,
11/25/2015,0.0211,48.6455,37.2703,209.9164,275.2216,489.4903,4964.1547,,,,,,,,,,
11/26/2015,0,16.1881,18.4978,85.5138,344.7146,276.1608,7045.5839,,,,,,,,,,
11/27/2015,0.03,5.4521,11.1145,104.4683,135.387,238.895,8460.1874,,,,,,,,,,
11/28/2015,0.045,23.4262,9.8716,179.3378,85.3281,130.1289,5866.5353,,,,,,,,,,
11/29/2015,0.0211,26.385,30.2408,322.7955,138.7906,314.7428,5287.0128,,,,,,,,,,
11/30/2015,0.0336,13.9422,48.0056,258.4142,69.5213,34.9325,5239.8544,,,,,,,,,,
12/1/2015,0.0389,27.1807,20.0094,322.7328,63.4778,1.5683,5465.1494,,,,,,,,,,
12/2/2015,0.0689,18.0013,35.4783,164.5033,339.778,256.5869,4689.6895,,,,,,,,,,
12/3/2015,0.0311,14.8017,76.4505,308.4886,653.8456,672.9883,5706.9083,,,,,,,,,,
12/4/2015,0,9.5519,19.9505,125.8245,239.6472,282.0514,6653.9281,,,,,,,,,,
12/5/2015,0,4.4909,11.4894,78.6678,106.6859,303.5175,10156.5748,,,,,,,,,,
12/6/2015,0,11.3262,11.8656,421.2649,451.3006,508.0356,14874.6007,,,,,,,,,,
12/7/2015,0.1481,13.4206,23.6766,358.8509,209.0975,366.6575,17549.8531,,,,,,,,,,
12/8/2015,0.02,15.4125,43.3262,345.9222,409.6868,448.9831,18921.1575,,,,,,,,,,
12/9/2015,0,9.775,14.7311,238.2233,277.7583,1010.2703,14882.7666,,,,,,,,,,
12/10/2015,0.0567,25.0914,16.8571,249.906,419.7041,544.0422,15815.4765,,,,,,,,,,
12/11/2015,0,12.5909,27.371,234.0088,564.6075,709.5289,13865.6606,,,,,,,,,,
12/12/2015,0.0133,6.9572,7.13,45.1345,115.9341,252.4505,12585.7164,,,,,,,,,,
12/13/2015,0.0189,1.2333,4.2106,223.8792,46.9472,155.3028,7071.6112,,,,,,,,,,
12/14/2015,0.0367,7.89,0,228.3022,625.7275,856.3692,8325.818,,,,,,,,,,
12/15/2015,0.0522,6.8811,72.2684,186.738,304.8047,860.8314,11395.2871,,,,,,,,,,
12/16/2015,0.0764,9.225,32.7752,275.7069,136.9414,536.4139,12409.9623,,,,,,,,,,
12/17/2015,0.1489,26.8255,12.9066,394.8692,3590.3206,900.3453,10319.1811,,,,,,,,,,
12/18/2015,0,6.009,2.0167,386.1392,119.0497,786.4933,7251.8039,,,,,,,,,,
12/19/2015,0,1.0944,4.805,17.3272,47.2928,173.8867,6159.6785,,,,,,,,,,
12/20/2015,0.0289,5.0817,8.4656,35.0723,200.3544,160.5699,5747.8786,,,,,,,,,,
12/21/2015,0.0139,3.9561,15.9212,123.7332,115.5678,542.5255,6353.9828,,,,,,,,,,
12/22/2015,0.0178,2.4417,66.7701,118.4669,365.7759,1575.772,7265.5722,,,,,,,,,,
12/23/2015,0.1255,1.9202,2.5767,291.1006,269.438,654.7132,8105.6983,,,,,,,,,,
12/24/2015,0,0.8083,5.4186,163.9047,324.0336,529.2594,4381.1483,,,,,,,,,,
12/25/2015,0,13.0485,20.22,32.7356,60.0644,24.625,1954.3541,,,,,,,,,,
12/26/2015,0,48.9714,27.7194,134.9959,107.1655,201.7,1786.6286,,,,,,,,,,
12/27/2015,0,44.9355,28.2531,186.8439,175.7717,474.7589,2059.7125,,,,,,,,,,
12/28/2015,0.1856,50.6344,37.9956,454.6136,601.5494,1063.4144,1314.5025,,,,,,,,,,
12/29/2015,0.0611,2.7047,14.8489,184.8705,354.8689,133.4316,3058.0794,,,,,,,,,,
12/30/2015,0.0364,15.0636,15.1203,143.4028,191.3589,108.7527,4295.283,,,,,,,,,,
12/31/2015,0.0092,3.4764,2.7244,75.7895,98.4509,198.3433,2611.7655,,,,,,,,,,
---------,,,,,,,,,,,,,,,,,
