title
"XSEDE Utilization (%): by Resource"
parameters

start,end
2011-08-01,2012-01-31
---------
Day,"[NICS KRAKEN] XSEDE Utilization (%)","[SDSC TRESTLES] XSEDE Utilization (%)","[TACC LONESTAR4] XSEDE Utilization (%)","[TACC RANGER] XSEDE Utilization (%)","[PSC BLACKLIGHT] XSEDE Utilization (%)","[NICS NAUTILUS] XSEDE Utilization (%)","[PURDUE STEELE] XSEDE Utilization (%)","[LONI QUEENBEE] XSEDE Utilization (%)","[NCSA FORGE] XSEDE Utilization (%)","[TACC LONGHORN] XSEDE Utilization (%)","[PSC POPLE] XSEDE Utilization (%)","[PURDUE CONDOR] XSEDE Utilization (%)","[NCSA LINCOLN] XSEDE Utilization (%)","[TACC SPUR] XSEDE Utilization (%)","[SDSC DASH] XSEDE Utilization (%)","[NCAR FROST] XSEDE Utilization (%)","[IU BIGRED*] XSEDE Utilization (%)","[NCSA EMBER*] XSEDE Utilization (%)"
2011-08-01,89.725930510,51.027064962,42.638582495,84.939414870,60.979099019,34.163593343,16.365748589,63.187460158,0,42.274757690,14.068997938,0.442022024,13.951968316,6.278789063,9.527849935,50.003472239,0.800782606,0.047495117
2011-08-02,56.224399624,77.753084066,55.707351989,83.137011395,35.003309224,41.156890869,20.387844986,66.935081088,0,37.532610067,30.635508355,4.820776012,36.287127550,17.542968750,5.235206706,49.994791667,1.603764242,0
2011-08-03,69.802828868,74.428859173,117.681206781,85.390597642,4.976991984,7.257270101,26.631850037,42.055080776,0,62.004737956,40.404641385,2.033851845,31.231493598,0.544993490,16.078215332,49.046296285,4.218091363,0
2011-08-04,80.996110871,80.750489717,99.315524815,86.586206286,14.149467875,29.203857015,19.020159341,48.748653864,0,49.394156494,44.095183919,1.330055208,19.219093967,10.330729167,1.115993652,45.655092570,2.635829671,0
2011-08-05,94.170941962,60.005844907,155.815409595,83.854545978,87.641859233,49.921693115,14.897134717,43.596995306,0,44.147157796,46.759484592,3.512343720,7.359085015,0,11.549768880,0.166666667,1.722021756,0
2011-08-06,89.335301697,15.841104842,146.734521714,79.403457038,81.863321940,15.025751953,11.324126306,31.149686642,0,31.998065186,51.036011285,6.073232440,13.195150011,0,0.000343424,0,0.975527208,0
2011-08-07,91.994865510,35.937815531,60.433698303,79.684166601,78.682928975,9.021990967,4.876065813,48.124398781,0,33.293886515,61.349519314,5.821311667,11.817859158,0.247832031,0,0,0.666886664,0
2011-08-08,95.265489422,37.760985496,30.629614672,80.387705899,79.194575907,45.107955322,0.176082785,53.661808258,0,40.865261841,71.700062391,0.582963423,12.301836209,6.677373047,0,0,0.190826145,0
2011-08-09,97.594878218,57.242950436,32.213671921,75.739671284,78.161494039,21.994936523,3.432216312,46.133561081,0,38.498123576,85.656129015,1.084193006,10.335316569,5.095048828,0,0,0.090729845,0.000972765
2011-08-10,72.659259758,55.204424672,100.107854202,77.520167021,48.455819397,32.704101563,15.506859486,39.644090179,0,27.496988932,64.404182400,3.525822679,26.841133898,14.013017578,1.208134766,0,0,0.003695204
