Day,[SDSC TRESTLES] XSEDE Utilization (%),[TACC LONESTAR4] XSEDE Utilization (%),[SDSC GORDON] XSEDE Utilization (%),[NICS KRAKEN] XSEDE Utilization (%),[GATECH KEENELAND] XSEDE Utilization (%),[TACC STAMPEDE] XSEDE Utilization (%),[PSC BLACKLIGHT] XSEDE Utilization (%),[NICS NAUTILUS] XSEDE Utilization (%),[TACC LONGHORN] XSEDE Utilization (%),[GATECH KIDS] XSEDE Utilization (%),[PURDUE STEELE] XSEDE Utilization (%),[PURDUE CONDOR] XSEDE Utilization (%)
2013-08-01,113.621684510,61.655498773,102.492802573,97.830378649,71.922615905,56.152101409,43.698884277,66.990306803,1.940470378,0,40.322318554,0.070123690
2013-08-02,114.311926348,69.877223013,104.742883296,94.863173721,89.385894393,68.145010267,54.063883565,33.780020345,2.891981405,0,25.289578201,0.138427560
2013-08-03,75.820569185,67.897604525,97.753639526,92.629639853,84.841290641,61.755122337,31.766285299,3.528573405,4.932156169,0,8.307051372,0.018959256
2013-08-04,61.714170662,75.793149028,93.791246043,91.631714402,82.370870522,52.822540247,28.137234192,8.424180501,4.112055868,0,4.932149123,0.018445774
2013-08-05,82.639769230,70.712591633,91.239260253,92.986611306,79.656894630,35.415793792,58.365158081,11.952039795,2.155707397,0,4.807576463,0.148038155
2013-08-06,116.538602522,97.945054704,93.843392115,92.750257615,75.462423453,5.865498205,56.904265544,6.372423096,5.254955037,0,3.264705755,0.139148065
2013-08-07,116.030046549,89.026701904,102.541106410,61.039910884,91.597989564,61.936244923,55.948174540,9.338396810,9.631126099,0,2.218381392,0.101178899
2013-08-08,102.939007156,81.289149903,94.922953011,21.222577745,88.924225063,53.520300243,65.012351786,44.444028727,10.893274333,0,1.717572322,0.137930536
2013-08-09,116.835789552,72.053617971,94.565725172,89.486893915,88.949748954,60.516516556,66.748001200,80.269196777,4.512329102,0,2.128423911,0.281203839
2013-08-10,106.467096733,87.744477962,94.985685118,89.121938668,91.678346058,38.762955919,61.795735677,21.188557536,9.499719645,0,2.516743713,0.593642113
2013-08-11,82.136675118,64.778492544,89.873000581,64.246268808,86.572890132,48.270695105,56.706986084,0.068178711,11.840413818,0,1.659930886,0.181928304
2013-08-12,99.507069314,44.725102070,93.085276359,77.203250104,90.655535432,45.500220414,60.329449565,12.489438477,16.782940674,0.000038484,1.090844998,0.121261161
2013-08-13,107.449211229,17.356551521,91.097555140,93.269264659,92.589164398,4.070321149,65.420215861,17.280888672,11.327505493,0.142021412,0.811828632,0.099737113
2013-08-14,100.935283817,71.533872650,100.047746397,91.941992560,94.859243805,72.511603421,48.412488810,16.391402588,8.893098145,0.302987269,0.582216604,0.075830506
2013-08-15,120.092684336,77.924435396,96.573653312,91.280795917,88.216211529,77.011781322,44.260751343,8.056667074,5.340232544,0.416635417,0.559910414,0.060915923
2013-08-16,105.954796753,81.619395708,99.637855632,89.346205424,94.357752920,69.766812740,68.050645752,7.241653239,6.363217977,0.416632813,0.559910414,0.000385089
2013-08-17,113.400039441,61.266453791,95.440366235,93.842126452,91.667784880,67.662306066,49.063440247,1.045391846,4.956728312,0.205820602,0.497878289,0
2013-08-18,82.839810796,119.092601436,60.904573211,90.822719199,79.371882694,55.392679837,41.376884969,4.591634115,7.245885824,0,0.447928331,0.009187321
2013-08-19,99.143663826,115.490621598,4.530168723,92.903882057,82.954628610,70.126420844,69.644011434,14.401358236,6.563069661,0.300889757,0.462841312,0.051608780
2013-08-20,124.191351422,120.465205133,0.000030037,95.598640445,96.436636581,80.292534058,68.738511861,13.307726237,4.024481812,0.434920139,0.447928331,0.004756935
2013-08-21,125.992357035,110.412398298,1.603353878,82.193551801,96.451537642,84.802323400,67.306700134,10.606156006,21.976331991,0.464590567,0.415594788,0.184287381
2013-08-22,123.602140400,146.997070358,52.253085690,78.292884849,84.692208610,95.796266963,66.151828105,12.504520264,10.923565877,0.284015625,0.038467945,0.121162351
2013-08-23,124.779539839,102.711947120,83.848449177,93.664218359,92.581623560,80.838680542,66.883355509,20.078930664,19.755235189,0.239019097,0,0.178580744
2013-08-24,120.792044948,77.494809046,82.736424505,97.078359375,85.460367345,76.277020535,69.209088643,15.094374186,23.386071777,0.016459201,0,0.016486429
2013-08-25,101.552369872,36.196046945,65.300658138,97.639726699,79.972314059,73.063823211,41.505710347,3.164541423,28.317839762,0,0,0.148576399
2013-08-26,101.252943409,59.516662759,51.371220992,66.560876810,51.200963443,74.579199589,21.120700378,1.001618652,14.841557210,0.462179398,0,0.083813512
2013-08-27,123.730458588,65.774905332,80.979157280,93.310603232,73.651519196,70.198958143,34.272425232,18.277054036,6.543786621,0.313488715,0,0.082584345
2013-08-28,120.783268172,73.065810014,76.223317279,98.884574930,90.002262173,81.701743725,56.074983012,1.378246257,4.308675130,0.256787616,0,0.065534048
2013-08-29,122.148322506,89.217542125,83.512941650,96.288345996,92.225795356,73.463305149,48.198875020,1.221110026,3.648554688,0.200282118,0,0
