Day,[SDSC TRESTLES] XSEDE Utilization (%),[NICS KRAKEN] XSEDE Utilization (%),[TACC RANGER] XSEDE Utilization (%),[SDSC GORDON] XSEDE Utilization (%),[PSC BLACKLIGHT] XSEDE Utilization (%),[TACC LONESTAR4] XSEDE Utilization (%),[PURDUE STEELE] XSEDE Utilization (%),[NICS NAUTILUS] XSEDE Utilization (%),[TACC LONGHORN] XSEDE Utilization (%),[GATECH KEENELAND] XSEDE Utilization (%),[NCSA FORGE] XSEDE Utilization (%),[TACC STAMPEDE] XSEDE Utilization (%),[TACC SPUR] XSEDE Utilization (%),[PURDUE CONDOR] XSEDE Utilization (%)
2012-08-01,104.045462745,94.234040001,82.873909538,60.325449159,45.314229024,78.379582120,54.876802153,13.504638265,10.479007975,5.370015191,44.582569444,0,9.651331380,7.901732857
2012-08-02,125.382794071,84.568698301,83.757165276,82.089420498,29.483563639,95.889177582,44.607730846,15.771248779,20.008784993,8.445939374,54.111852575,0,8.333626302,4.794371429
2012-08-03,95.439752294,97.196279596,85.806190195,70.000747609,72.456178894,95.253467808,42.128314903,27.085124919,22.674578654,5.033034347,56.843154659,0,4.307434896,5.371696577
2012-08-04,68.402031721,97.832678217,84.101129915,48.468075567,80.731951803,81.163382952,49.578075075,26.652017822,29.856431478,6.672545770,36.176746962,0,0.520110677,2.308977589
2012-08-05,54.326244098,93.760068489,87.064437782,48.881453235,79.091950785,90.764364159,48.286907545,37.385562337,41.779721680,9.843938506,34.152876881,0,0.347799479,5.437249732
2012-08-06,99.944294716,90.371678363,92.762492411,51.845530753,77.469604899,61.316540137,25.322226869,65.029966227,36.412036947,2.217311987,39.800054977,0,1.039059245,2.535038333
2012-08-07,123.218606357,91.277673227,89.709510429,55.495804611,84.244871216,107.647232337,38.162450600,56.489845785,33.466295166,0,39.081148727,0,0.079283854,0.531544881
2012-08-08,124.563081058,98.312651533,88.350961431,60.012847485,80.425510254,117.346462628,24.288661289,73.946534017,35.209956462,1.296923335,23.849825666,0,0.751588542,0.791410863
2012-08-09,128.209031280,97.775618220,87.043439227,72.331234832,79.706552124,109.154375129,23.875032195,32.522506510,26.160454508,6.084069898,31.758535156,0,3.797744141,2.385549702
2012-08-10,125.394490144,98.436040943,85.710284434,59.701382093,69.625608317,131.128052080,36.720071214,25.062753499,32.525029297,4.439744713,64.676663050,0,3.248118490,0.416833333
2012-08-11,71.501766309,98.771223932,81.128786839,46.982439071,74.825581868,76.969131384,40.529134997,36.841697184,30.354401449,9.566160630,47.890166377,0,1.078704427,0.107325298
2012-08-12,60.954947630,97.044322020,77.463085600,72.411020138,87.078120524,75.210665957,43.576587229,26.852746582,25.404491374,8.763880110,67.793019387,0,1.207753906,0.136968750
2012-08-13,101.287567573,94.841725526,81.209600364,99.815248642,86.308973287,96.843139281,42.692669839,31.046992188,30.100775960,8.748298907,37.006888021,0,0.286168620,0.490540744
2012-08-14,118.732366071,94.250988137,76.214933420,85.681086263,79.917130025,97.836103157,49.710660753,18.327537842,32.346191610,0,44.284649161,0,0.192132161,0.794168452
