Day,[CCT LSU SUPERMIC] Number of Resources: Active,[GATECH KEENELAND] Number of Resources: Active,[GATECH KIDS] Number of Resources: Active,[NICS DARTER] Number of Resources: Active,[NICS NAUTILUS] Number of Resources: Active,[OSG] Number of Resources: Active,[PSC BLACKLIGHT] Number of Resources: Active,[SDSC GORDON] Number of Resources: Active,[SDSC TRESTLES] Number of Resources: Active,[TACC LONESTAR4] Number of Resources: Active,[TACC MAVERICK2] Number of Resources: Active,[TACC STAMPEDE] Number of Resources: Active
2014-08-01,0,1,1,1,1,0,1,1,1,1,1,1
2014-08-02,0,1,1,1,1,0,1,1,1,1,1,1
2014-08-03,0,1,1,1,1,0,1,1,1,1,1,1
2014-08-04,0,1,1,1,1,0,1,1,1,1,1,1
2014-08-05,0,1,1,1,1,0,1,1,1,1,1,1
2014-08-06,0,1,1,1,1,0,1,1,1,1,1,1
2014-08-07,0,1,1,1,1,0,1,1,1,1,1,1
2014-08-08,0,1,1,1,1,0,1,1,1,1,1,1
2014-08-09,0,1,1,1,1,0,1,1,1,1,1,1
2014-08-10,0,1,1,1,1,0,1,1,1,1,1,1
2014-08-11,0,1,1,1,1,0,1,1,1,1,1,1
2014-08-12,0,1,1,1,1,0,1,1,1,1,1,1
2014-08-13,0,1,1,1,1,0,1,1,1,1,1,1
2014-08-14,0,1,1,1,1,0,1,1,1,1,1,1
2014-08-15,0,1,1,1,1,0,1,1,1,1,1,1
2014-08-16,0,1,1,1,1,0,1,1,1,1,1,1
2014-08-17,0,1,1,1,1,0,1,1,1,1,1,1
2014-08-18,0,1,1,1,1,0,1,1,1,1,1,1
2014-08-19,0,1,1,1,1,0,1,1,1,1,1,1
2014-08-20,0,1,0,1,1,0,1,1,1,1,1,1
2014-08-21,0,1,1,1,1,0,1,1,1,1,1,1
2014-08-22,0,1,1,1,1,0,1,1,1,1,1,1
2014-08-23,0,1,1,1,1,0,1,1,1,1,1,1
2014-08-24,0,1,1,1,1,0,1,1,1,1,1,1
2014-08-25,0,1,1,1,1,0,1,1,1,1,1,1
2014-08-26,0,1,1,1,1,0,1,1,1,1,1,1
2014-08-27,0,1,1,1,1,0,1,1,1,1,1,1
2014-08-28,0,1,1,1,1,0,1,1,1,1,1,1
2014-08-29,0,1,0,1,1,0,1,1,1,1,1,1
2014-08-30,0,1,0,1,1,0,1,1,1,1,1,1
2014-08-31,0,1,0,1,1,0,1,1,1,1,1,1
2014-09-01,0,1,0,1,1,0,1,1,1,1,1,1
2014-09-02,0,1,0,1,1,0,1,1,1,1,1,1
