Day,[GATECH KEENELAND] Number of Resources: Active,[NCSA FORGE] Number of Resources: Active,[NICS KRAKEN] Number of Resources: Active,[NICS NAUTILUS] Number of Resources: Active,[PSC BLACKLIGHT] Number of Resources: Active,[PURDUE CONDOR] Number of Resources: Active,[PURDUE STEELE] Number of Resources: Active,[SDSC GORDON] Number of Resources: Active,[SDSC TRESTLES] Number of Resources: Active,[TACC LONESTAR4] Number of Resources: Active,[TACC LONGHORN] Number of Resources: Active,[TACC RANGER] Number of Resources: Active,[TACC SPUR] Number of Resources: Active,[TACC STAMPEDE] Number of Resources: Active
2012-08-01,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-08-02,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-08-03,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-08-04,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-08-05,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-08-06,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-08-07,0,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-08-08,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-08-09,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-08-10,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-08-11,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-08-12,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-08-13,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-08-14,0,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-08-15,0,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-08-16,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-08-17,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-08-18,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2012-08-19,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-08-20,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-08-21,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-08-22,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-08-23,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-08-24,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-08-25,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2012-08-26,1,1,1,1,1,1,1,1,1,1,1,1,1,0
