Day,[CCT LSU SUPERMIC] Number of Resources: Active,[NICS DARTER] Number of Resources: Active,[NICS NAUTILUS] Number of Resources: Active,[OSG] Number of Resources: Active,[PSC BLACKLIGHT] Number of Resources: Active,[SDSC COMET] Number of Resources: Active,[SDSC GORDON] Number of Resources: Active,[SDSC TRESTLES] Number of Resources: Active,[TACC LONESTAR4] Number of Resources: Active,[TACC MAVERICK2] Number of Resources: Active,[TACC STAMPEDE] Number of Resources: Active
2015-02-01,1,1,1,1,1,0,1,1,1,1,1
2015-02-02,1,1,1,1,1,0,1,1,1,1,1
2015-02-03,1,1,1,1,1,0,1,1,1,1,1
2015-02-04,1,1,1,1,1,0,1,1,1,1,1
2015-02-05,1,1,1,1,1,0,1,1,1,1,1
2015-02-06,1,1,1,1,1,0,1,1,1,1,1
2015-02-07,1,1,1,1,1,0,1,1,1,1,1
2015-02-08,1,1,1,1,1,0,1,1,1,1,1
2015-02-09,1,1,1,1,1,0,1,1,1,1,1
2015-02-10,1,1,1,1,1,0,1,1,1,1,1
2015-02-11,1,1,1,1,1,0,1,1,1,1,1
2015-02-12,1,1,1,1,1,0,1,1,1,1,1
2015-02-13,1,1,1,1,1,0,1,1,1,1,1
2015-02-14,1,1,1,1,1,0,1,1,1,1,1
2015-02-15,1,1,1,1,1,0,1,1,1,1,1
2015-02-16,1,1,1,1,1,0,1,1,1,1,1
2015-02-17,1,1,1,1,1,0,1,1,1,1,1
2015-02-18,1,1,1,1,1,0,1,1,1,1,1
2015-02-19,1,1,1,1,1,0,1,1,1,1,1
2015-02-20,1,1,1,1,1,0,1,1,0,1,1
2015-02-21,1,1,1,1,1,0,1,1,0,1,1
2015-02-22,1,1,1,1,1,0,1,1,0,1,1
2015-02-23,1,1,1,1,1,0,1,1,0,1,1
2015-02-24,1,1,1,1,1,0,1,1,0,1,1
2015-02-25,1,1,1,1,1,0,1,1,1,1,1
2015-02-26,1,1,1,1,1,0,1,1,1,1,1
2015-02-27,1,1,1,1,1,0,1,1,0,1,1
2015-02-28,1,1,1,1,1,0,1,1,0,1,1
2015-03-01,1,1,1,1,1,0,1,1,0,1,1
2015-03-02,1,1,1,1,1,0,1,1,1,1,1
2015-03-03,1,1,1,1,1,0,1,1,1,1,1
2015-03-04,1,1,1,1,1,0,1,1,1,1,1
2015-03-05,1,1,1,1,1,0,1,1,1,1,1
2015-03-06,1,1,1,1,1,0,1,1,1,1,1
2015-03-07,1,1,1,1,1,0,1,1,1,1,1
2015-03-08,1,1,1,1,1,0,1,1,1,1,1
2015-03-09,1,1,1,1,1,0,1,1,1,1,1
2015-03-10,1,1,1,1,1,0,1,1,1,1,1
2015-03-11,1,1,1,1,1,0,1,1,1,1,1
2015-03-12,1,1,1,1,1,0,1,1,1,1,1
2015-03-13,1,1,1,1,1,0,1,1,1,1,1
2015-03-14,1,1,1,1,1,0,1,1,1,1,1
2015-03-15,1,1,1,1,1,0,1,1,1,1,1
2015-03-16,1,1,1,1,1,0,1,1,1,1,1
2015-03-17,1,1,1,1,1,0,1,1,1,1,1
2015-03-18,1,1,1,1,1,0,1,1,1,1,1
2015-03-19,1,1,1,1,1,0,1,1,1,1,1
2015-03-20,1,1,1,1,1,0,1,1,1,1,1
2015-03-21,1,1,1,1,1,0,1,1,1,1,1
2015-03-22,1,1,1,1,1,0,1,1,1,1,1
2015-03-23,1,1,1,1,1,0,1,1,1,1,1
2015-03-24,1,1,1,1,1,0,1,1,1,1,1
2015-03-25,1,1,1,1,1,0,1,1,1,1,1
2015-03-26,1,1,1,1,1,0,1,1,1,1,1
2015-03-27,1,1,1,1,1,0,1,1,1,1,1
2015-03-28,1,1,1,1,1,0,1,1,1,1,1
2015-03-29,1,1,1,1,1,0,1,1,1,1,1
2015-03-30,1,1,1,1,1,0,1,1,1,1,1
2015-03-31,1,1,1,1,1,0,1,1,1,1,1
2015-04-01,1,1,1,1,1,0,1,1,1,1,1
2015-04-02,1,1,1,1,1,0,1,1,0,1,1
2015-04-03,1,1,1,1,1,0,1,1,0,1,1
2015-04-04,1,1,1,1,1,0,1,1,0,1,1
2015-04-05,1,1,1,1,1,0,1,1,0,1,1
2015-04-06,1,1,1,1,1,0,1,1,0,1,1
2015-04-07,1,1,1,1,1,0,1,1,0,1,1
2015-04-08,1,1,1,1,1,0,1,1,0,1,1
2015-04-09,1,1,1,1,1,0,1,1,0,1,1
2015-04-10,1,1,1,1,1,0,1,1,0,1,1
2015-04-11,1,1,1,1,1,0,1,1,0,1,1
2015-04-12,1,1,1,1,1,0,1,1,0,1,1
2015-04-13,1,1,1,1,1,0,1,1,0,1,1
2015-04-14,1,1,1,1,1,0,1,1,0,1,1
2015-04-15,1,1,1,1,1,0,1,1,0,1,1
2015-04-16,1,1,1,1,1,0,1,1,0,1,1
2015-04-17,1,1,1,1,1,0,1,1,0,1,1
2015-04-18,1,0,0,1,1,0,1,1,0,1,1
2015-04-19,1,0,0,1,1,0,1,1,1,1,1
2015-04-20,1,1,1,1,1,0,1,1,0,1,1
2015-04-21,1,1,1,1,1,0,1,1,0,1,1
2015-04-22,1,1,1,1,1,0,1,1,0,1,1
2015-04-23,1,1,1,1,1,0,1,1,0,1,1
2015-04-24,1,1,1,1,1,0,1,1,0,1,1
2015-04-25,1,1,1,1,1,0,1,1,0,1,1
2015-04-26,1,1,1,1,1,0,1,1,0,1,1
2015-04-27,1,1,1,1,1,0,1,1,0,1,1
2015-04-28,1,1,1,1,1,0,1,1,0,1,1
2015-04-29,1,1,1,1,1,0,1,1,0,1,1
2015-04-30,1,1,1,1,1,0,1,1,0,1,1
2015-05-01,1,1,1,1,1,0,1,0,0,1,1
2015-05-02,1,1,1,1,1,0,1,0,1,1,1
2015-05-03,1,1,1,1,1,0,1,0,0,1,1
2015-05-04,1,1,1,1,1,0,1,0,1,1,1
2015-05-05,1,1,1,1,1,0,1,0,1,1,1
2015-05-06,1,1,1,1,1,0,1,0,0,1,1
2015-05-07,1,1,1,1,1,0,1,0,1,1,1
2015-05-08,1,1,1,1,1,0,1,0,0,1,1
2015-05-09,1,1,1,1,1,0,1,0,0,0,1
