title
"Number of Resources: Active: by Resource"
parameters

start,end
2010-08-01,2011-01-31
---------
Day,"[IU BIGRED*] Number of Resources: Active","[LONI QUEENBEE] Number of Resources: Active","[NCAR FROST] Number of Resources: Active","[NCSA ABE] Number of Resources: Active","[NCSA COBALT] Number of Resources: Active","[NCSA EMBER*] Number of Resources: Active","[NCSA LINCOLN] Number of Resources: Active","[NICS ATHENA] Number of Resources: Active","[NICS KRAKEN] Number of Resources: Active","[NICS NAUTILUS] Number of Resources: Active","[ORNL NSTG] Number of Resources: Active","[PSC BLACKLIGHT] Number of Resources: Active","[PSC POPLE] Number of Resources: Active","[PURDUE CONDOR] Number of Resources: Active","[PURDUE STEELE] Number of Resources: Active","[SDSC DASH] Number of Resources: Active","[SDSC TRESTLES] Number of Resources: Active","[TACC LONESTAR] Number of Resources: Active","[TACC LONGHORN] Number of Resources: Active","[TACC RANGER] Number of Resources: Active","[TACC SPUR] Number of Resources: Active"
2010-08-01,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1
2010-08-02,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1
2010-08-03,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1
2010-08-04,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1
2010-08-05,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-08-06,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-08-07,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1
2010-08-08,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2010-08-09,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1
2010-08-10,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0
2010-08-11,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1
2010-08-12,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1
