title
"Number of Jobs Started: by Resource"
parameters

start,end
2014-02-01,2014-07-31
---------
Day,"[TACC STAMPEDE] Number of Jobs Started","[NICS KRAKEN] Number of Jobs Started","[SDSC TRESTLES] Number of Jobs Started","[SDSC GORDON] Number of Jobs Started","[NICS DARTER] Number of Jobs Started","[TACC LONESTAR4] Number of Jobs Started","[PSC BLACKLIGHT] Number of Jobs Started","[GATECH KEENELAND] Number of Jobs Started","[TACC MAVERICK2] Number of Jobs Started","[GATECH KIDS] Number of Jobs Started","[TACC LONGHORN] Number of Jobs Started","[NICS NAUTILUS] Number of Jobs Started"
2014-02-01,10034,2278,481,433,0,217,102,708,0,10,20,0
2014-02-02,10581,3648,2991,591,0,280,100,588,0,19,0,0
2014-02-03,5234,4212,2664,905,0,523,171,660,0,95,27,0
2014-02-04,4168,4156,1092,1199,0,336,162,240,0,28,44,0
2014-02-05,6624,3225,1033,1823,0,379,212,425,0,63,9,0
2014-02-06,6527,3163,817,2232,0,541,223,938,0,29,42,0
2014-02-07,4817,1970,965,2742,0,531,198,320,0,67,28,0
2014-02-08,9341,1659,585,589,0,215,197,241,0,114,1,0
2014-02-09,12513,1725,622,801,0,413,140,227,0,67,19,0
2014-02-10,6448,1896,916,706,0,533,227,19,0,194,53,0
2014-02-11,4699,2461,879,1591,0,663,141,0,0,0,75,0
2014-02-12,5181,3030,1817,825,0,483,174,630,0,279,35,5
2014-02-13,6643,3052,1944,775,0,358,245,452,0,476,46,28
2014-02-14,3690,2391,961,770,0,418,60,312,0,449,21,6
2014-02-15,17713,1981,853,887,0,253,162,32,0,25,32,3
2014-02-16,7839,1724,1064,2534,0,275,170,149,0,35,29,7
2014-02-17,3677,1925,1182,892,0,316,217,109,0,24,26,16
2014-02-18,4519,2241,1490,791,0,237,249,186,0,7,91,14
2014-02-19,4780,1885,1739,727,0,485,270,213,0,16,104,9
2014-02-20,3847,3264,1989,651,0,801,287,264,0,9,24,8
2014-02-21,4914,2526,1111,675,0,783,22,331,0,2,27,32
2014-02-22,4944,3085,638,581,0,588,52,99,0,12,15,7
2014-02-23,5358,3203,2449,969,0,341,189,131,0,1,12,11
2014-02-24,4988,3171,4205,869,0,684,247,355,0,10,15,12
2014-02-25,1689,4415,1561,947,0,731,510,173,0,22,10,4
2014-02-26,3997,5894,1717,657,0,753,724,654,0,27,14,0
2014-02-27,5853,7094,1586,343,0,663,438,323,0,27,23,0
2014-02-28,5117,4636,1251,402,0,654,318,380,0,40,34,0
2014-03-01,4772,4232,877,371,0,293,1063,225,0,22,19,0
2014-03-02,5709,8012,1802,412,0,5,1071,433,0,8,32,0
2014-03-03,4551,5163,1356,1449,0,0,726,175,0,16,7,12
2014-03-04,4928,6985,1385,1102,0,70,989,245,0,6,15,21
2014-03-05,3915,8679,706,640,0,322,1377,385,0,5,18,0
2014-03-06,4144,3328,763,558,0,535,1097,173,0,7,27,0
2014-03-07,7690,10666,992,688,0,405,777,128,0,13,34,0
2014-03-08,5154,4885,219,820,0,225,204,12,0,10,4,0
2014-03-09,3527,2450,9,163,0,122,80,44,0,0,17,0
2014-03-10,7176,7481,0,0,0,562,160,22,0,25,25,0
2014-03-11,7482,6568,481,211,0,517,225,352,0,13,8,0
2014-03-12,6260,8557,947,216,0,598,177,280,0,14,6,0
2014-03-13,4175,4031,1615,613,0,585,99,268,0,19,19,0
2014-03-14,5099,7633,1148,620,0,373,97,273,0,15,3,0
2014-03-15,3747,8775,846,399,0,609,102,209,0,10,7,0
2014-03-16,3780,4248,541,386,0,593,72,241,0,5,6,0
2014-03-17,5197,4955,901,728,0,406,381,821,0,9,0,0
2014-03-18,10741,6314,1410,422,0,704,253,235,0,9,0,6
2014-03-19,5220,2833,1560,747,0,1100,154,463,0,7,0,0
2014-03-20,4280,2412,1551,839,0,570,127,469,0,6,0,0
2014-03-21,3877,2215,1595,664,0,360,61,147,0,19,0,0
2014-03-22,367,3791,1688,615,0,19,19,169,0,12,0,0
2014-03-23,3788,5128,893,639,0,149,106,158,0,8,0,0
2014-03-24,5603,5228,1606,1553,0,469,99,544,0,21,0,0
2014-03-25,2929,5763,1673,1266,0,914,281,153,0,17,0,0
2014-03-26,3210,6542,4352,772,0,1135,138,301,0,25,0,0
2014-03-27,3639,5708,2220,668,0,908,182,194,0,32,0,0
2014-03-28,4164,8855,1470,764,0,602,159,209,0,19,0,4
2014-03-29,2953,6830,2711,2562,0,353,49,230,0,19,0,0
2014-03-30,2695,3943,672,777,0,308,1614,256,0,8,0,0
2014-03-31,4060,3172,1090,1962,0,1374,1593,261,0,15,0,0
2014-04-01,4520,3576,1951,2721,0,418,209,54,0,20,0,0
2014-04-02,4084,8025,1707,1351,0,469,148,326,0,5,0,0
2014-04-03,3273,8077,1854,1977,0,588,155,312,0,28,0,0
2014-04-04,3989,10473,1334,1171,0,512,108,329,0,6,0,0
2014-04-05,3979,5748,134,299,0,721,78,106,0,1,0,0
2014-04-06,2363,5176,1441,332,0,400,60,112,0,1,0,0
