Day,[PURDUE CONDOR] Number of Jobs Started,[PURDUE STEELE] Number of Jobs Started,[NCSA ABE] Number of Jobs Started,[NICS KRAKEN] Number of Jobs Started,[TACC RANGER] Number of Jobs Started,[LONI QUEENBEE] Number of Jobs Started,[NICS ATHENA] Number of Jobs Started,[TACC LONESTAR] Number of Jobs Started,[NCSA COBALT] Number of Jobs Started,[IU BIGRED*] Number of Jobs Started,[NCSA DTF] Number of Jobs Started,[PSC POPLE] Number of Jobs Started,[PSC BIGBEN] Number of Jobs Started,[NCSA LINCOLN] Number of Jobs Started,[ORNL NSTG] Number of Jobs Started,[TACC LONGHORN] Number of Jobs Started,[NCAR FROST] Number of Jobs Started,[TACC SPUR] Number of Jobs Started,[SDSC DASH] Number of Jobs Started
2010-02-01,4001,3134,2460,863,593,0,0,189,166,29,224,55,100,28,64,2,24,4,0
2010-02-02,2794,6993,2380,1186,975,74,0,220,295,29,595,71,28,27,69,5,22,5,0
2010-02-03,4835,2784,1322,14,1144,227,0,266,187,49,656,65,57,138,58,0,71,14,0
2010-02-04,5476,1923,1887,899,782,709,0,245,132,19,484,83,154,397,58,2,41,7,0
2010-02-05,3228,5508,1475,971,743,219,0,169,144,33,194,103,132,67,60,3,15,4,0
2010-02-06,42,438,2416,586,552,201,0,127,76,32,240,0,28,413,29,0,37,2,0
2010-02-07,506,258,1894,1113,452,163,0,147,118,36,152,7,86,87,16,0,10,0,0
2010-02-08,293,334,2919,1584,630,437,0,581,182,39,581,9,70,26,22,7,15,4,0
2010-02-09,49,933,2845,1817,606,239,0,249,141,55,643,147,202,106,23,6,24,4,0
2010-02-10,50,6735,4534,1,630,407,0,254,183,31,498,71,50,31,25,7,235,3,0
2010-02-11,88,8260,3069,1147,586,257,0,160,197,102,345,115,119,639,32,21,259,2,0
2010-02-12,3548,9687,1755,1290,436,250,0,257,104,45,378,64,40,18,39,7,33,3,0
2010-02-13,5,10754,961,1155,425,97,0,129,174,25,382,99,98,15,55,0,10,3,0
