Day,[TACC STAMPEDE] Number of Jobs Started,[NICS KRAKEN] Number of Jobs Started,[SDSC GORDON] Number of Jobs Started,[TACC LONESTAR4] Number of Jobs Started,[SDSC TRESTLES] Number of Jobs Started,[GATECH KEENELAND] Number of Jobs Started,[PSC BLACKLIGHT] Number of Jobs Started,[TACC LONGHORN] Number of Jobs Started,[GATECH KIDS] Number of Jobs Started,[PURDUE CONDOR] Number of Jobs Started,[PURDUE STEELE] Number of Jobs Started,[NICS NAUTILUS] Number of Jobs Started
2013-08-01,17605,1544,1944,229,1392,163,166,11,0,84,1986,60
2013-08-02,14702,1938,1911,421,575,190,454,12,0,80,1022,15
2013-08-03,15791,1587,1930,333,356,158,232,11,0,40,0,8
2013-08-04,13623,1325,974,219,374,153,120,3,0,40,4,11
2013-08-05,7787,1953,1310,342,725,674,290,0,0,253,89,20
2013-08-06,1201,2212,2256,473,1290,278,222,31,0,127,1,11
2013-08-07,4875,2542,1886,539,2666,186,141,130,0,185,1,15
2013-08-08,3064,294,1375,485,1148,68,396,351,0,196,12,27
2013-08-09,3919,1849,1929,525,981,67,444,82,0,907,7,22
2013-08-10,2747,2749,1997,317,193,59,380,163,0,445,0,13
2013-08-11,3637,3141,1503,275,233,48,342,237,0,155,0,0
2013-08-12,4536,2266,2094,421,1204,444,150,462,1,75,0,37
2013-08-13,982,1877,877,107,1579,277,219,34,515,60,0,20
2013-08-14,12553,1600,477,394,981,185,129,254,146,362,0,19
2013-08-15,14352,2407,879,533,1291,61,190,131,12,9,0,13
2013-08-16,11483,2925,1458,665,1630,134,198,126,16,13,0,17
2013-08-17,18042,2344,1157,417,2220,223,2,128,8,0,0,3
2013-08-18,22732,2939,1928,559,1016,346,143,308,0,38,0,8
2013-08-19,18546,4015,51,749,1481,276,726,267,14,319,49,33
2013-08-20,19574,5292,1,571,1263,157,440,14,26,72,0,27
2013-08-21,13170,7760,170,878,1080,200,558,249,34,332,0,28
2013-08-22,2620,2073,1185,897,1615,239,519,16,19,240,0,29
2013-08-23,8236,4564,1820,521,810,161,225,178,18,518,0,45
2013-08-24,9253,2797,1291,432,440,57,489,273,1,101,0,14
2013-08-25,9433,2168,1401,480,528,86,309,308,0,120,0,32
2013-08-26,9021,2622,901,603,916,242,0,27,9,256,0,24
2013-08-27,5496,3592,1215,470,794,284,154,211,5,50,0,25
2013-08-28,4592,3120,3226,410,725,375,133,125,8,73,0,57
2013-08-29,3206,2281,2548,461,674,359,231,35,1,0,0,91
2013-08-30,3173,3489,1989,476,924,330,126,181,0,48,0,134
2013-08-31,2785,974,968,698,378,105,0,18,0,0,0,142
2013-09-01,3259,1196,1413,381,383,193,0,114,0,9,0,235
2013-09-02,3822,2621,1869,450,454,27,115,3,0,33,0,116
2013-09-03,5249,2795,1537,692,2273,118,127,26,6,24,0,70
2013-09-04,4345,1719,887,962,753,119,171,22,21,1,0,12
2013-09-05,3767,2208,469,5367,236,421,197,2,0,11,0,135
2013-09-06,3163,2498,1076,2593,1361,127,405,13,0,47,0,105
2013-09-07,2153,2582,1062,1264,490,99,143,11,0,14,0,151
2013-09-08,3811,2440,963,1274,688,98,160,0,0,0,0,14
2013-09-09,4114,2766,1943,2335,636,73,146,13,0,32,0,22
2013-09-10,1233,2295,1250,1709,1009,109,121,20,23,4,0,6
2013-09-11,1651,1926,1430,1746,1218,174,136,66,14,1,0,16
2013-09-12,3329,2629,1006,2432,1277,238,105,172,6,111,0,62
2013-09-13,3345,2631,1183,2422,1167,179,140,142,10,12,0,42
2013-09-14,3395,3580,971,967,1125,133,129,414,0,4,0,29
2013-09-15,3629,3178,809,7218,2504,22,60,271,0,1,0,11
2013-09-16,5622,6561,1064,620,1065,172,94,63,12,7,0,7
2013-09-17,3908,2900,978,410,1347,282,109,14,6,5,0,19
