title
"Number of Jobs Started: by Resource"
parameters

start,end
2013-02-01,2013-07-31
---------
Day,"[TACC STAMPEDE] Number of Jobs Started","[PURDUE STEELE] Number of Jobs Started","[PURDUE CONDOR] Number of Jobs Started","[NICS KRAKEN] Number of Jobs Started","[SDSC GORDON] Number of Jobs Started","[SDSC TRESTLES] Number of Jobs Started","[TACC LONESTAR4] Number of Jobs Started","[PSC BLACKLIGHT] Number of Jobs Started","[GATECH KEENELAND] Number of Jobs Started","[TACC LONGHORN] Number of Jobs Started","[NICS NAUTILUS] Number of Jobs Started","[TACC RANGER] Number of Jobs Started","[GATECH KIDS] Number of Jobs Started"
2013-02-01,6137,5209,5036,3315,374,760,527,127,93,10,29,921,0
2013-02-02,7372,4440,5020,2086,294,2512,260,72,47,4,55,826,0
2013-02-03,8760,2056,40,2251,343,418,514,61,46,8,7,562,0
2013-02-04,10322,6650,10394,2416,956,1941,524,174,82,26,29,415,0
2013-02-05,8834,4104,14167,2546,943,1010,512,144,89,22,34,75,0
2013-02-06,9014,5346,10598,3123,1109,1033,402,155,68,32,46,30,0
2013-02-07,9858,6858,7660,2738,480,1257,556,93,92,63,66,126,0
2013-02-08,9675,6884,736,2045,646,794,544,154,76,29,29,7,0
2013-02-09,6149,7070,20,2709,349,1520,298,90,7,21,15,1,0
2013-02-10,5283,10955,24,2416,172,122,314,155,0,38,20,1,0
2013-02-11,4193,7621,583,3100,523,1480,600,160,59,28,50,0,0
2013-02-12,916,10588,21,1646,351,1784,572,186,101,39,26,0,0
2013-02-13,2804,11927,1090,2479,1072,1140,392,157,48,84,43,0,0
2013-02-14,4942,6701,38447,632,1304,1510,496,112,93,29,75,0,0
2013-02-15,10197,6489,47,1487,419,1204,456,190,66,25,97,0,0
2013-02-16,9029,20165,52,1519,389,589,332,0,47,14,11,0,0
2013-02-17,14535,21766,21,1601,573,789,287,152,50,43,27,0,0
2013-02-18,12816,12870,498,1440,532,1110,299,197,22,11,47,0,0
2013-02-19,13687,2590,303,1546,574,671,714,247,74,46,88,0,0
2013-02-20,6135,6651,540,1860,919,1068,635,317,28,39,28,0,0
2013-02-21,11853,8691,13498,236,561,1360,388,318,62,31,69,0,0
2013-02-22,4614,7253,18817,1388,578,928,341,270,64,36,38,0,0
2013-02-23,3643,4573,3718,1498,331,1082,345,148,32,20,49,0,0
2013-02-24,7973,9627,20,1146,438,591,417,270,51,15,10,0,0
2013-02-25,6097,6583,6125,1891,560,410,543,268,26,10,10,0,0
2013-02-26,1096,11538,14014,2161,1233,943,163,284,56,22,119,0,0
2013-02-27,2798,9518,182,2100,400,1005,483,553,54,18,47,0,0
2013-02-28,3614,16866,24,2964,719,1316,412,775,66,20,79,0,0
2013-03-01,1770,10864,164,2500,719,1097,404,347,66,5,66,0,0
2013-03-02,1366,3269,30,1406,520,901,408,265,32,20,32,0,0
2013-03-03,1985,10725,24,1414,639,415,238,0,46,20,16,0,0
2013-03-04,3847,8532,24,2993,873,777,551,221,32,16,58,0,0
2013-03-05,2633,5200,26,4106,637,615,636,424,95,10,38,0,0
2013-03-06,3074,8799,29,3372,1262,490,676,455,72,12,26,0,0
2013-03-07,5613,6053,41,4256,731,722,763,540,67,31,46,0,0
2013-03-08,6626,3163,1011,2027,1048,705,648,175,69,1,41,0,0
2013-03-09,8281,2159,20,1267,466,440,746,73,43,27,4,0,0
2013-03-10,7656,4985,25,634,147,80,981,101,15,23,3,0,0
2013-03-11,6536,9298,739,808,724,1014,966,144,28,35,40,0,0
2013-03-12,4552,4342,2570,2388,757,623,1279,80,87,48,44,0,0
2013-03-13,3450,7440,191,1843,462,1338,748,147,79,36,27,0,0
2013-03-14,2658,6529,1008,631,478,1761,647,231,64,42,31,0,0
2013-03-15,2201,5345,1022,2061,412,1525,442,138,23,21,21,0,0
2013-03-16,1586,7975,60,1096,984,817,326,124,30,22,35,0,0
2013-03-17,1967,9190,13038,962,556,2661,311,150,68,23,77,0,0
2013-03-18,1480,6174,8107,1437,473,3262,505,163,21,27,47,0,0
2013-03-19,1161,7267,324,2845,1262,1323,563,185,0,18,0,0,0
2013-03-20,3006,10561,2770,1204,372,1664,752,208,0,15,0,0,0
2013-03-21,2550,7751,6302,1560,709,1222,532,211,0,17,0,0,0
2013-03-22,3994,8048,938,1457,861,3281,374,150,0,21,0,0,0
2013-03-23,2811,6028,1171,824,1188,2278,401,129,72,75,28,0,0
2013-03-24,2509,7572,3640,1006,1445,2394,339,146,58,65,37,0,0
2013-03-25,6735,7640,279,1884,801,1608,1011,174,12,64,30,0,0
2013-03-26,2676,7910,1222,1489,997,1232,351,279,51,46,45,0,0
2013-03-27,2560,6970,678,942,603,1037,485,179,121,48,25,0,0
2013-03-28,3375,6950,1673,1254,1001,580,470,173,102,33,25,0,0
2013-03-29,2429,5862,5308,1653,1283,508,1482,151,56,13,39,0,0
2013-03-30,1674,7233,5556,1798,1406,1388,695,113,303,27,29,0,0
2013-03-31,6041,7632,187,1672,305,394,502,85,154,11,5,0,0
2013-04-01,5354,6699,1104,1886,1365,990,474,120,146,59,3,0,0
2013-04-02,2057,4908,9509,2040,1048,817,705,455,124,39,32,0,0
2013-04-03,5630,5248,6352,2421,911,1098,669,388,149,22,17,0,0
2013-04-04,6038,8670,3324,2493,1763,806,855,206,145,34,31,0,0
2013-04-05,11286,5878,40,1639,2127,1692,869,150,150,64,9,0,0
2013-04-06,4233,8698,6374,1489,1551,431,371,124,102,34,25,0,0
2013-04-07,4160,4614,26,1682,1053,767,444,66,109,51,17,0,0
2013-04-08,4913,4663,3203,2360,1108,1024,931,113,126,27,65,0,0
2013-04-09,4391,3339,10119,2045,1396,1126,438,65,30,52,58,0,0
2013-04-10,5452,9236,7330,2334,1014,886,739,303,69,68,47,0,0
2013-04-11,7755,7009,4742,2424,1162,2355,1158,269,70,61,56,0,0
2013-04-12,5816,5550,6543,2701,2542,2591,1249,80,83,46,25,0,0
2013-04-13,4410,4620,10523,2326,1042,2359,300,136,166,21,10,0,0
2013-04-14,2905,4476,8237,2676,700,4323,850,241,127,5,16,0,0
2013-04-15,3510,4485,6993,2713,1735,710,817,310,156,12,54,0,0
2013-04-16,1831,4974,820,2640,1888,853,595,446,111,14,56,0,0
2013-04-17,4953,5221,7146,3148,1100,2556,812,462,109,32,56,0,0
2013-04-18,5932,6474,9845,2191,1509,1521,998,483,76,27,105,0,0
2013-04-19,4567,4726,9609,2226,1029,940,1082,214,65,13,68,0,0
2013-04-20,3908,5163,9298,2003,797,1478,1344,165,69,22,19,0,0
2013-04-21,4240,8649,319,1800,643,626,1096,73,18,29,35,0,0
2013-04-22,4664,4263,3329,2828,1111,1068,978,223,155,15,20,0,0
2013-04-23,3036,4649,2156,3618,568,1435,1077,389,105,26,53,0,0
2013-04-24,2598,2781,9903,4070,780,1073,725,357,180,13,35,0,0
2013-04-25,2798,4759,9789,3505,919,843,941,351,277,10,60,0,0
2013-04-26,2746,4261,6435,2574,1213,867,811,848,121,11,38,0,0
2013-04-27,6909,4606,6551,1498,355,1499,784,487,570,46,29,0,0
2013-04-28,5835,3654,221,2937,230,1642,863,429,153,75,11,0,0
2013-04-29,4045,3907,125,4260,412,1147,988,400,117,110,15,0,0
2013-04-30,1462,4608,634,4281,240,734,1011,424,267,59,9,0,0
2013-05-01,1792,3084,4148,3806,784,631,904,258,295,158,28,0,0
2013-05-02,10571,3588,251,8519,1036,483,734,29,130,102,27,0,0
2013-05-03,8692,2658,215,3285,1214,627,924,168,134,56,45,0,0
2013-05-04,4611,4087,9787,2838,981,731,421,168,104,93,12,0,0
2013-05-05,6207,2490,182,2952,932,529,412,136,128,63,23,0,0
2013-05-06,5596,2750,7017,13161,1129,508,469,200,151,66,58,0,0
2013-05-07,1851,1734,3083,10263,992,1959,543,118,165,63,48,0,0
2013-05-08,5233,1169,1540,3049,541,815,919,190,80,80,71,0,0
2013-05-09,5428,2762,1133,2568,1540,694,939,165,211,66,43,0,0
2013-05-10,1321,3863,7777,2035,1954,885,1136,70,133,65,44,0,0
2013-05-11,6080,4529,3319,2481,1191,315,802,104,110,99,24,0,0
2013-05-12,5705,5004,1221,3491,2085,268,412,167,94,102,40,0,0
2013-05-13,6399,3865,285,1808,2981,871,538,146,11,63,88,0,0
2013-05-14,1862,1990,108,3370,2616,873,539,167,178,62,100,0,0
2013-05-15,5895,2851,81,8223,2101,1517,847,199,161,63,59,0,0
2013-05-16,6335,2118,299,6039,1377,2969,878,160,125,63,52,0,0
2013-05-17,4946,3121,148,2677,1111,766,664,78,94,24,25,0,0
2013-05-18,2076,2584,1019,3123,533,201,485,40,144,4,39,0,0
2013-05-19,5416,2507,405,4187,700,232,566,31,189,0,7,0,0
2013-05-20,6802,1921,140,4238,1915,956,799,223,107,1,34,0,0
2013-05-21,4325,1641,89,6790,1758,509,625,128,60,2,85,0,0
2013-05-22,6043,3580,31,5081,2265,871,586,132,86,2,67,0,0
2013-05-23,9618,19313,114,4349,4755,666,698,33,176,3,24,0,0
2013-05-24,6968,2106,38,3552,2997,467,662,164,192,7,16,0,0
2013-05-25,2085,210,24,2043,2179,304,392,78,106,0,8,0,0
2013-05-26,2442,972,225,3316,1859,555,940,109,110,0,16,0,0
2013-05-27,4557,565,130,4218,980,590,458,100,46,2,19,0,0
2013-05-28,6865,1072,80,2954,2091,783,530,100,1,18,74,0,0
2013-05-29,8296,3546,4120,5479,2661,821,765,109,88,9,53,0,0
2013-05-30,6337,3601,4020,5079,2545,1261,725,217,166,2,43,0,0
2013-05-31,2712,4406,70,3226,2295,1042,574,219,105,6,65,0,0
2013-06-01,0,2904,122,3183,515,801,537,123,64,20,31,0,0
2013-06-02,968,2631,55,4380,474,678,380,11,29,19,20,0,0
2013-06-03,3489,2724,56,4661,1192,2467,753,116,417,23,19,0,0
2013-06-04,5833,1912,5976,4794,1497,818,621,150,243,19,51,0,0
2013-06-05,5384,2711,22642,4555,1873,2206,731,80,561,26,44,0,0
2013-06-06,5980,3734,9443,4625,1234,1696,853,130,298,32,53,0,0
2013-06-07,4512,1438,8317,3006,2608,1849,891,87,383,253,58,0,0
2013-06-08,4505,3013,34,1224,5829,497,698,68,305,248,30,0,0
2013-06-09,3765,3492,104,1759,6400,384,1006,45,120,164,94,0,0
2013-06-10,5026,3185,365,4026,3610,822,761,235,0,254,34,0,0
2013-06-11,5200,1527,1733,3301,1476,1157,295,129,0,199,37,0,0
2013-06-12,5161,6461,7949,4553,2434,1007,471,155,0,82,75,0,0
2013-06-13,6880,2933,236,1886,3515,935,477,83,338,6,47,0,0
2013-06-14,10483,1508,177,4776,3136,1297,580,113,437,1,34,0,0
2013-06-15,8511,2203,189,2378,2937,1076,239,82,454,1,21,0,0
2013-06-16,6719,3191,2582,2019,1851,734,215,74,304,0,14,0,0
2013-06-17,4203,1810,8582,2151,1105,892,703,397,212,16,17,0,0
2013-06-18,4212,3085,4418,4185,1573,1060,1178,338,202,24,57,0,0
2013-06-19,5634,3508,2060,4168,1458,1236,1337,284,279,61,61,0,0
2013-06-20,4923,4549,2071,3442,1725,1593,982,126,827,17,33,0,0
2013-06-21,3298,3305,4675,4351,1459,594,689,73,261,24,45,0,0
2013-06-22,4930,1556,418,2903,1329,795,429,86,104,26,1,0,0
