Day,[OSG] Number of Jobs Started,[SDSC COMET] Number of Jobs Started,[TACC STAMPEDE] Number of Jobs Started,[SDSC GORDON] Number of Jobs Started,[NICS DARTER] Number of Jobs Started,[PSC BRIDGES] Number of Jobs Started,[CCT LSU SUPERMIC] Number of Jobs Started,[TACC MAVERICK2] Number of Jobs Started,[PSC GREENFIELD] Number of Jobs Started,[PSC BRIDGES LARGE] Number of Jobs Started,[TACC LONESTAR4] Number of Jobs Started,[Stanford XSTREAM] Number of Jobs Started
2016-02-01,53699,2134,4058,666,206,0,314,184,63,0,2,0
2016-02-02,54470,3050,3457,613,159,0,258,161,52,0,62,0
2016-02-03,51597,3199,3427,828,160,0,52,133,45,0,0,0
2016-02-04,44073,9271,4427,901,0,0,72,105,39,0,6,0
2016-02-05,61766,2920,2465,826,0,0,186,163,18,0,0,0
2016-02-06,90299,788,3028,248,0,0,86,36,5,0,0,0
2016-02-07,134556,667,2772,194,0,0,54,69,12,0,0,0
2016-02-08,127937,327,5451,158,0,0,46,160,35,0,3,0
2016-02-09,89374,699,3955,246,76,0,44,156,8,0,3,0
2016-02-10,132328,2364,3175,607,118,0,44,97,24,0,5,0
2016-02-11,183409,2142,2975,386,175,0,47,15,17,0,0,0
2016-02-12,119748,2670,3645,570,408,0,111,90,32,0,0,0
2016-02-13,170701,1920,2579,405,247,0,16,117,20,0,0,0
2016-02-14,116309,2287,4195,324,151,0,26,125,10,0,0,0
2016-02-15,123577,2621,4398,451,399,0,41,265,45,0,0,0
2016-02-16,122336,2239,3352,760,292,0,55,419,22,0,0,0
2016-02-17,62082,2201,3344,813,95,0,24,167,9,0,0,0
2016-02-18,47931,3005,2953,1108,221,0,66,238,18,0,0,0
2016-02-19,83385,3399,3736,1044,219,0,108,118,11,0,0,0
2016-02-20,44168,1466,3970,649,94,0,175,169,7,0,0,0
2016-02-21,94092,3437,4373,1051,78,0,24,86,11,0,0,0
2016-02-22,130177,3187,3863,787,153,0,48,106,63,0,0,0
2016-02-23,59944,5859,2949,978,146,0,90,166,64,0,0,0
2016-02-24,41837,7468,4357,815,139,0,101,141,28,0,0,0
2016-02-25,33086,3896,4076,781,205,0,221,70,34,0,0,0
2016-02-26,26014,2661,4480,1830,290,0,112,69,16,0,0,0
2016-02-27,31520,1494,4757,937,65,0,78,49,3,0,0,0
2016-02-28,136641,1988,5638,425,53,0,92,51,12,0,0,0
2016-02-29,152453,3493,4682,674,132,0,74,85,38,0,0,0
2016-03-01,58141,2434,4776,832,159,0,77,72,10,0,0,0
2016-03-02,79581,2674,3912,1908,398,0,167,115,27,0,0,0
2016-03-03,91757,4239,4021,469,323,0,120,50,49,0,0,0
2016-03-04,113549,3025,4948,799,171,0,63,22,15,0,0,0
2016-03-05,14496,1826,4376,1416,216,0,74,16,18,0,0,0
2016-03-06,18916,1758,4085,1415,195,0,105,16,9,0,0,0
2016-03-07,74607,3156,4868,801,272,0,82,84,17,0,0,0
2016-03-08,192768,2631,4588,1479,121,0,141,176,24,0,0,0
2016-03-09,8220,6228,5017,2032,129,0,107,174,23,0,0,0
2016-03-10,17186,3083,5249,949,176,0,149,324,27,0,0,0
2016-03-11,79365,2729,5192,620,287,0,108,487,13,0,0,0
2016-03-12,72843,1309,2749,404,39,0,60,246,9,0,0,0
2016-03-13,108554,469,3625,131,108,0,133,83,28,0,0,0
2016-03-14,104603,5980,5894,671,234,0,76,195,0,0,0,0
2016-03-15,82818,8781,7205,729,299,0,98,141,39,0,0,0
2016-03-16,91161,16715,5525,926,189,0,88,77,37,0,0,0
2016-03-17,33054,11195,4874,907,204,0,86,179,28,0,0,0
2016-03-18,30442,3525,4961,823,345,0,80,153,20,0,0,0
2016-03-19,62351,2340,4100,548,546,0,37,114,17,0,0,0
2016-03-20,60590,2882,2503,539,147,0,87,70,8,0,0,0
2016-03-21,65083,12017,3319,933,227,0,111,126,18,0,0,0
2016-03-22,51922,9979,2781,999,312,0,65,244,20,0,0,0
2016-03-23,46879,6235,3598,963,283,0,168,137,11,0,0,0
2016-03-24,92714,8235,3018,990,376,0,126,183,26,0,0,0
2016-03-25,34150,18634,2621,798,224,0,78,152,20,0,0,0
2016-03-26,23739,23596,2752,372,211,0,20,65,5,0,0,0
2016-03-27,30139,9930,2727,504,184,0,79,65,28,0,0,0
2016-03-28,31714,12008,3652,950,1734,0,81,68,46,0,0,0
2016-03-29,50758,14409,2576,1337,634,0,129,88,10,0,0,0
2016-03-30,14336,23780,2404,996,519,0,87,102,14,0,0,0
2016-03-31,3141,10768,1795,1853,275,0,89,115,39,0,0,0
2016-04-01,11155,16926,4347,1000,178,0,220,68,28,0,0,0
2016-04-02,5970,22705,2987,970,165,0,326,25,19,0,0,0
2016-04-03,69135,8482,4632,708,50,0,226,19,14,0,0,0
2016-04-04,97503,6901,3861,1605,111,0,246,168,30,0,0,0
2016-04-05,47915,6608,3876,1106,88,0,115,14,34,0,0,0
2016-04-06,27791,8347,2984,989,180,0,150,70,33,0,0,0
2016-04-07,24585,21575,3340,1094,93,0,88,142,47,0,0,0
2016-04-08,47463,26983,4526,866,84,0,178,166,31,0,0,0
2016-04-09,22552,15336,2409,324,88,0,132,109,30,0,0,0
2016-04-10,73462,15391,2702,521,326,0,114,197,20,0,0,0
2016-04-11,58117,20379,2749,1976,156,0,139,250,30,0,3,0
2016-04-12,17164,12100,2860,1514,247,0,84,335,33,0,0,0
2016-04-13,46794,7740,2702,947,229,0,106,255,54,0,0,0
2016-04-14,44052,10138,2451,758,288,0,172,145,40,0,0,0
2016-04-15,41644,6229,2891,1113,162,0,192,49,49,0,0,0
2016-04-16,81711,5806,2009,456,54,0,48,38,11,0,0,0
2016-04-17,122057,23243,2714,342,65,0,2,47,28,0,0,0
2016-04-18,80731,14119,3365,756,103,0,0,41,84,0,0,0
2016-04-19,64886,8939,4639,889,183,0,83,107,46,0,0,0
2016-04-20,101454,9353,4474,1903,277,0,322,211,49,0,0,0
2016-04-21,37080,16335,4424,1149,328,0,74,143,21,0,0,0
2016-04-22,41743,20845,3564,701,310,0,203,77,26,0,0,0
2016-04-23,144182,9412,1289,757,0,0,114,55,15,0,0,0
2016-04-24,147603,10092,3100,808,0,0,59,58,4,0,0,0
2016-04-25,143995,12628,4195,956,23,0,47,82,48,0,0,0
2016-04-26,70870,13811,5166,1207,920,0,154,81,0,0,0,0
2016-04-27,77865,14671,4859,960,427,0,110,104,16,0,0,0
2016-04-28,76634,15464,5566,1093,201,0,64,42,9,0,0,0
