Day,[PURDUE STEELE] Number of Jobs Ended,[NICS KRAKEN] Number of Jobs Ended,[PURDUE CONDOR] Number of Jobs Ended,[SDSC TRESTLES] Number of Jobs Ended,[TACC RANGER] Number of Jobs Ended,[SDSC GORDON] Number of Jobs Ended,[TACC LONESTAR4] Number of Jobs Ended,[PSC BLACKLIGHT] Number of Jobs Ended,[NCSA FORGE] Number of Jobs Ended,[TACC LONGHORN] Number of Jobs Ended,[NICS NAUTILUS] Number of Jobs Ended,[TACC SPUR] Number of Jobs Ended,[LONI QUEENBEE] Number of Jobs Ended,[GATECH KEENELAND] Number of Jobs Ended,[SDSC DASH] Number of Jobs Ended
2012-02-01,3565,2269,12209,926,1385,0,375,155,108,31,88,1,5,0,2
2012-02-02,10606,359,9403,1311,1894,0,497,258,187,24,48,41,5,0,1
2012-02-03,8330,2801,6047,521,1976,0,437,162,138,31,75,2,0,0,1
2012-02-04,2975,1173,9254,458,1319,0,92,112,57,18,57,0,1,0,0
2012-02-05,2308,1106,18850,287,1357,0,465,84,27,21,15,2,1,0,0
2012-02-06,3667,1665,2280,134,1757,0,433,136,184,25,45,14,18,0,0
2012-02-07,4540,1485,1040,785,1481,0,410,156,98,61,58,8,6,0,2
2012-02-08,7033,1244,33,725,1763,0,61,180,172,24,79,3,7,0,9
2012-02-09,5384,1319,44,514,1398,0,697,212,148,78,61,2,24,0,3
2012-02-10,3888,2183,59,683,2150,0,575,258,344,81,62,6,25,0,0
2012-02-11,2876,816,28,644,1316,0,582,95,481,47,47,20,54,0,0
2012-02-12,1436,783,20,439,1278,0,599,176,281,22,26,18,0,0,3
2012-02-13,1075,1621,20,957,2010,0,700,150,291,87,91,15,16,0,4
2012-02-14,2784,1276,40,898,507,0,748,167,334,71,61,8,0,0,3
2012-02-15,3443,1383,20,1675,1872,0,461,164,63,144,63,6,2,0,8
2012-02-16,1355,1218,1619,1027,2459,0,170,163,82,86,74,2,0,0,0
2012-02-17,1060,1224,224,1207,1589,0,659,175,58,87,41,4,3,0,0
2012-02-18,716,752,4231,3482,193,0,20,84,23,3,27,0,0,0,0
2012-02-19,1928,959,40,1451,1596,0,331,163,30,32,16,8,3,0,2
2012-02-20,244,803,643,2690,4188,0,480,159,136,18,28,10,1,0,0
2012-02-21,249,1050,415,879,2123,0,548,316,168,32,47,4,3,0,0
2012-02-22,107,1696,1095,1792,2460,0,658,190,97,17,85,5,3,0,0
2012-02-23,5577,178,58,2441,2619,0,481,173,71,56,91,9,2,0,0
2012-02-24,8154,71,47,1244,3548,0,527,162,151,39,53,9,2,0,0
2012-02-25,7996,115,40,1787,1752,0,518,120,113,37,0,0,1,0,0
2012-02-26,2175,922,32,1736,2164,0,743,89,53,26,0,0,0,0,0
2012-02-27,835,1817,8,2554,2813,0,570,227,104,35,21,2,25,0,0
2012-02-28,2086,2210,69,2523,3102,0,531,344,55,37,99,5,1,0,0
2012-02-29,8336,2048,84,2284,2113,0,86,338,62,56,70,74,4,0,0
2012-03-01,13206,1766,82,638,1893,0,867,180,215,25,60,55,0,0,0
2012-03-02,13180,1308,28,831,2217,0,340,206,57,18,47,22,3,0,0
2012-03-03,4537,1300,20,915,1490,0,0,514,38,15,40,5,12,0,0
2012-03-04,1687,1039,44,1044,1724,0,72,262,219,30,27,42,9,0,0
2012-03-05,2749,1209,88,1573,2101,64,350,365,151,30,35,17,0,0,0
2012-03-06,4808,1123,109,1130,2465,138,375,525,147,36,50,0,6,0,0
