title
"Number of Jobs Ended: by Resource"
parameters

start,end
2011-02-01,2011-07-31
---------
Day,"[PURDUE STEELE] Number of Jobs Ended","[PURDUE CONDOR] Number of Jobs Ended","[NICS KRAKEN] Number of Jobs Ended","[SDSC TRESTLES] Number of Jobs Ended","[TACC RANGER] Number of Jobs Ended","[NICS ATHENA] Number of Jobs Ended","[NCSA ABE] Number of Jobs Ended","[NCSA EMBER*] Number of Jobs Ended","[TACC LONESTAR4] Number of Jobs Ended","[LONI QUEENBEE] Number of Jobs Ended","[PSC BLACKLIGHT] Number of Jobs Ended","[NCSA LINCOLN] Number of Jobs Ended","[PSC POPLE] Number of Jobs Ended","[NICS NAUTILUS] Number of Jobs Ended","[NCAR FROST] Number of Jobs Ended","[IU BIGRED*] Number of Jobs Ended","[ORNL NSTG] Number of Jobs Ended","[TACC LONGHORN] Number of Jobs Ended","[TACC SPUR] Number of Jobs Ended","[SDSC DASH] Number of Jobs Ended"
2011-02-01,34646,210,2565,77,990,738,1785,374,0,136,438,125,356,11,9,102,0,84,11,3
2011-02-02,33390,4170,1967,91,988,620,1432,465,26,215,844,36,684,28,59,63,0,45,4,2
2011-02-03,29969,8593,672,52,1099,478,1954,341,128,215,422,123,483,22,110,44,0,90,1,1
2011-02-04,13500,3345,2781,46,1122,637,1869,230,141,344,41,133,35,37,133,48,0,87,2,3
2011-02-05,13236,37,1827,43,1279,501,1463,83,60,329,129,154,263,67,905,55,0,75,2,1
2011-02-06,9460,66,2188,20,1206,192,572,77,63,358,151,122,93,42,464,62,0,151,6,0
2011-02-07,8644,7744,2061,46,1355,289,1642,105,126,224,41,87,166,38,161,58,0,79,4,1
2011-02-08,12441,3276,126,65,1194,106,2811,210,43,273,186,144,158,8,219,53,0,92,4,2
2011-02-09,16033,7220,0,72,1555,617,1716,296,163,537,86,77,181,132,688,156,0,89,5,5
2011-02-10,14654,1281,0,133,1245,228,2720,161,136,594,57,137,117,5,1176,72,0,98,7,11
2011-02-11,6708,3911,0,152,1135,188,1174,226,219,605,201,130,152,94,283,56,0,113,2,11
2011-02-12,4593,6587,2,165,1467,1046,2418,166,99,440,30,102,260,118,52,37,0,92,0,11
2011-02-13,4655,5596,1,60,1280,2763,1156,139,107,247,89,62,175,19,31,20,0,78,5,0
2011-02-14,4354,6625,3,76,966,139,2763,173,124,245,115,82,226,354,130,20,0,74,3,16
2011-02-15,4095,5741,552,87,1063,124,2615,198,62,359,402,75,245,0,199,30,0,87,2,10
2011-02-16,9241,231,1088,83,1079,195,1551,168,380,177,628,97,484,2,510,25,0,81,5,9
2011-02-17,3286,729,2730,32,1113,148,1369,1140,435,345,404,164,271,1,996,121,0,88,3,14
2011-02-18,8728,3938,2206,56,1092,92,1848,496,181,342,201,150,159,4,19,43,0,83,9,9
2011-02-19,8023,1424,1899,32,1182,198,4333,267,159,152,88,61,106,25,52,46,0,80,12,7
2011-02-20,7844,3242,2322,18,1501,128,1610,134,162,175,37,31,199,7,41,47,0,69,12,14
2011-02-21,7485,446,2158,28,1031,125,1106,601,258,161,49,62,176,50,41,47,0,54,7,13
2011-02-22,11206,208,3615,22,1279,283,2109,2553,71,232,105,145,216,9,46,77,0,47,13,4
2011-02-23,15948,1507,509,58,1216,811,3139,337,413,658,26,124,181,53,38,64,0,51,0,2
2011-02-24,5337,663,1116,120,1313,3944,1577,413,991,482,79,192,127,53,75,19,0,37,2,4
2011-02-25,2242,3497,2083,105,1146,2558,1589,501,549,145,40,44,147,9,30,18,0,37,0,2
2011-02-26,1619,1568,2862,52,869,648,1676,232,356,192,47,24,172,16,30,15,0,41,0,3
2011-02-27,1169,716,1843,106,1505,150,1177,262,310,122,101,32,145,8,30,15,0,24,3,2
2011-02-28,1630,1092,898,198,1089,50,1484,785,560,334,142,85,242,34,50,85,0,24,2,4
2011-03-01,21098,1588,7678,192,1090,60,1747,207,333,334,204,55,184,52,39,59,0,20,3,10
2011-03-02,46492,1559,4998,116,1109,117,3437,625,840,451,19,99,136,22,114,22,0,33,11,16
2011-03-03,34874,1079,4444,293,780,85,809,768,983,210,47,47,131,17,114,95,0,32,1,7
2011-03-04,35225,1511,2287,339,896,152,2116,355,414,87,71,67,141,38,137,34,0,55,2,1
2011-03-05,19575,234,2308,67,713,80,2892,310,172,325,52,25,69,16,206,42,0,25,1,2
2011-03-06,65007,1025,5232,55,1297,106,3058,632,177,822,48,17,69,18,217,25,0,22,2,2
2011-03-07,67377,582,3892,106,1375,349,1960,673,265,687,91,26,67,23,133,42,0,69,5,3
2011-03-08,50998,14358,1740,101,1185,109,1124,681,215,342,46,38,199,10,309,29,0,72,10,2
2011-03-09,7944,9766,841,134,786,1189,1584,100,264,262,285,33,126,48,361,42,0,60,1,1
2011-03-10,47594,15484,646,98,664,123,1770,485,462,186,215,54,108,51,77,35,0,50,2,1
2011-03-11,59349,2287,841,76,463,1243,1007,308,287,620,68,28,163,38,65,80,0,34,3,0
2011-03-12,24806,952,999,69,0,584,1276,140,25,873,14,54,50,2,84,3,0,0,0,0
2011-03-13,25981,2186,1994,4,150,174,425,240,218,246,293,23,53,0,92,20,0,0,0,1
2011-03-14,21782,2911,2022,56,1669,235,1105,287,398,210,219,68,81,2,107,21,0,45,3,1
2011-03-15,56011,11228,1623,113,275,190,775,239,395,293,314,47,114,0,111,41,0,19,0,2
2011-03-16,55034,155,1321,148,705,109,789,237,371,96,43,39,221,11,383,28,0,46,1,8
2011-03-17,15896,399,2074,125,782,444,480,346,294,187,252,226,243,12,36,27,0,79,1,0
2011-03-18,12517,663,1923,101,725,439,1119,230,332,135,262,94,141,10,28,22,0,33,5,5
2011-03-19,10689,145,2365,87,661,129,922,181,146,99,68,139,104,7,44,27,0,21,3,15
2011-03-20,8281,128,5345,100,737,176,1146,68,317,138,33,35,243,18,38,32,0,22,12,8
2011-03-21,12647,8827,4736,220,955,81,1788,270,289,159,246,72,223,31,58,31,0,59,3,11
2011-03-22,10738,4630,3802,125,836,98,3295,338,163,193,355,74,94,4,44,22,0,43,0,2
2011-03-23,11113,14286,398,121,828,133,6605,219,236,456,44,61,78,0,49,18,0,30,2,2
2011-03-24,7059,9788,2359,86,943,385,5769,290,352,272,83,72,145,5,59,19,0,49,8,11
2011-03-25,31207,2963,2506,133,749,233,534,266,217,163,79,60,224,32,72,13,0,35,8,21
2011-03-26,14136,524,2512,56,680,182,1570,302,237,203,323,44,123,17,76,5,0,25,2,10
2011-03-27,2463,44,3650,46,760,1353,992,312,146,167,40,69,99,5,65,8,0,19,16,11
2011-03-28,13495,1054,3754,83,736,1949,953,406,374,295,326,84,155,42,89,5,0,12,11,23
2011-03-29,1390,17,2877,164,545,386,851,666,429,180,364,299,230,25,72,9,0,24,13,16
2011-03-30,9538,4004,2475,148,609,234,357,225,612,183,127,323,86,42,75,10,0,22,4,46
2011-03-31,13340,28,3545,145,779,1289,522,336,438,174,133,71,249,1,63,15,0,16,4,33
2011-04-01,15596,618,3098,110,679,3095,304,264,226,558,51,69,112,29,30,5,0,18,7,10
2011-04-02,26103,24,2920,34,539,133,362,135,0,168,32,72,136,0,70,207,0,28,16,2
2011-04-03,46003,24,1815,18,630,102,254,191,104,146,30,61,149,17,60,31,0,25,4,12
2011-04-04,18629,1497,2047,22,912,454,754,206,319,159,32,71,156,29,68,4,0,27,13,6
2011-04-05,22044,4509,2400,36,982,422,328,409,300,182,36,222,123,35,86,60,0,15,8,13
2011-04-06,10010,10521,666,82,1033,237,581,238,103,153,68,108,216,50,83,28,8,35,5,7
2011-04-07,6471,6779,220,115,817,153,486,339,455,154,37,48,251,44,70,150,45,49,3,2
2011-04-08,11101,6777,552,99,935,155,313,372,346,224,84,29,142,28,27,62,52,35,3,1
2011-04-09,4101,28,837,71,908,612,216,138,21,147,21,292,55,21,36,44,49,60,0,2
2011-04-10,3381,47,1807,94,759,623,365,139,0,182,28,107,81,9,71,30,52,50,0,3
2011-04-11,5212,6785,1433,113,997,301,368,181,451,169,52,5,78,29,86,75,50,42,0,9
2011-04-12,21101,6678,1573,197,1017,337,422,286,873,145,213,20,105,10,139,57,46,53,1,4
2011-04-13,18331,160,1690,215,1143,854,500,212,943,179,157,41,140,42,352,40,47,72,1,10
