Day,[PURDUE CONDOR] Number of Jobs Ended,[PURDUE STEELE] Number of Jobs Ended,[NCSA ABE] Number of Jobs Ended,[NICS KRAKEN] Number of Jobs Ended,[TACC RANGER] Number of Jobs Ended,[LONI QUEENBEE] Number of Jobs Ended,[NICS ATHENA] Number of Jobs Ended,[TACC LONESTAR] Number of Jobs Ended,[NCSA COBALT] Number of Jobs Ended,[IU BIGRED*] Number of Jobs Ended,[NCSA DTF] Number of Jobs Ended,[PSC POPLE] Number of Jobs Ended,[PSC BIGBEN] Number of Jobs Ended,[NCSA LINCOLN] Number of Jobs Ended,[ORNL NSTG] Number of Jobs Ended,[TACC LONGHORN] Number of Jobs Ended,[NCAR FROST] Number of Jobs Ended,[TACC SPUR] Number of Jobs Ended,[SDSC DASH] Number of Jobs Ended
2010-02-01,3183,3343,2400,830,625,0,0,190,151,26,221,50,111,29,64,2,21,4,0
2010-02-02,2462,6997,2306,1328,872,7,0,204,298,27,515,76,25,28,69,5,19,5,0
2010-02-03,4780,2760,1464,46,1034,205,0,273,197,50,660,66,51,117,58,0,70,14,0
2010-02-04,5040,1947,1511,718,982,706,0,243,119,17,491,82,144,418,58,2,47,7,0
2010-02-05,4283,5598,1816,959,708,206,0,175,139,29,210,92,153,61,60,3,10,4,0
2010-02-06,151,385,2241,628,568,233,0,119,75,42,244,1,14,327,29,0,39,2,0
2010-02-07,586,221,1960,1130,490,181,0,146,111,26,142,6,79,178,16,0,13,0,0
2010-02-08,655,323,2770,1570,645,407,0,600,170,25,539,9,72,28,22,7,16,4,0
2010-02-09,42,797,2922,1930,635,218,0,222,148,71,624,149,196,98,23,6,23,4,0
2010-02-10,89,4151,4543,36,612,429,0,264,189,41,532,76,67,38,25,7,229,2,0
2010-02-11,115,10673,3030,901,563,285,0,161,201,98,331,107,119,637,32,19,268,3,0
2010-02-12,3721,9605,1749,1391,424,221,0,228,105,48,410,77,36,20,39,9,22,3,0
2010-02-13,23,10947,941,1196,439,117,0,169,147,21,361,98,95,10,55,0,21,3,0
2010-02-14,23,2414,1256,1187,418,197,0,121,58,22,203,86,42,17,54,0,4,5,0
2010-02-15,5,8847,2117,1741,536,225,0,306,214,40,388,104,116,60,56,2,28,2,0
2010-02-16,62,7504,838,957,462,252,0,289,196,49,597,88,148,131,59,13,37,2,0
2010-02-17,3671,4544,1779,918,547,14,0,314,151,21,538,119,545,82,76,46,61,2,0
2010-02-18,3931,4695,2839,1336,633,0,0,296,247,23,485,96,744,65,63,23,343,1,0
2010-02-19,5266,8196,1036,1331,577,0,0,540,190,34,298,108,773,84,58,3,135,2,0
2010-02-20,8016,3254,929,1060,514,0,0,223,167,13,309,86,529,62,56,0,43,0,0
2010-02-21,4030,4580,1416,1283,448,1,0,173,130,10,776,62,809,79,58,0,23,0,0
2010-02-22,2788,1174,2784,1641,648,13,0,401,135,22,587,151,585,129,70,7,70,4,0
2010-02-23,2646,1151,1364,1456,590,232,0,270,210,83,546,97,770,80,70,7,57,5,0
2010-02-24,2938,932,1028,358,482,223,0,259,213,67,898,97,98,412,60,6,34,3,0
2010-02-25,2537,2574,1044,65,556,231,0,517,272,102,1068,137,128,298,73,41,34,1,0
2010-02-26,1203,3388,869,1571,789,414,0,293,176,156,1793,107,395,25,62,27,83,0,0
2010-02-27,1441,1072,301,1236,590,592,0,230,131,107,1174,113,1031,20,59,3,15,4,0
2010-02-28,2256,3004,473,643,603,139,0,263,116,117,784,231,521,15,56,13,52,3,0
2010-03-01,3315,3642,957,992,681,76,0,193,114,310,713,157,113,51,59,49,28,4,0
2010-03-02,5467,1139,1220,933,698,143,0,2702,234,27,249,402,257,40,58,54,62,5,0
2010-03-03,4643,1603,1914,19,679,153,0,2018,200,30,277,153,817,49,57,59,124,5,0
2010-03-04,5439,1401,1391,6,867,353,0,1386,345,32,280,104,271,55,60,78,128,4,0
2010-03-05,2040,1059,1381,8,653,432,0,207,254,61,356,228,94,58,60,12,9,9,0
2010-03-06,5402,2129,1694,584,739,109,0,238,251,146,209,42,531,26,54,8,19,0,0
2010-03-07,4855,5828,3251,749,682,759,0,194,311,66,234,47,267,56,52,6,43,2,0
2010-03-08,8478,10709,1210,1777,801,544,0,224,203,51,279,156,82,13,63,17,37,3,0
2010-03-09,10227,10866,1607,1582,771,387,0,269,215,46,238,252,84,35,68,50,47,2,0
2010-03-10,5740,3849,1166,32,781,332,0,227,259,21,215,119,60,50,69,79,22,3,0
2010-03-11,3672,4857,2518,48,645,160,0,166,262,17,381,86,156,32,63,107,25,9,0
2010-03-12,5303,3059,4132,1473,695,612,0,131,176,11,227,133,260,30,61,49,11,3,0
2010-03-13,6401,0,1047,686,365,139,0,75,119,1,275,166,1444,4,55,22,14,0,0
2010-03-14,18577,1162,860,664,138,174,0,7,174,14,241,37,595,39,51,67,14,0,0
2010-03-15,24037,3315,1448,1003,930,178,0,125,136,18,225,30,347,103,63,35,12,1,0
2010-03-16,13669,2197,1195,1759,219,296,0,144,274,72,461,84,600,49,53,28,72,4,0
2010-03-17,4647,2717,302,75,802,165,0,217,233,62,380,158,590,3,41,2,111,5,0
2010-03-18,19537,4874,1384,540,911,194,0,180,241,38,1690,95,109,77,63,6,27,6,0
2010-03-19,14656,6710,911,1945,753,290,0,244,232,50,539,65,67,66,59,7,13,6,0
2010-03-20,10350,2482,1265,1424,632,226,0,228,135,67,169,106,94,37,53,0,10,6,0
2010-03-21,9768,1689,977,1073,768,156,0,470,155,38,317,35,56,8,30,0,7,7,0
2010-03-22,25225,1291,1162,1189,886,111,0,377,335,34,385,77,158,13,33,8,9,9,0
2010-03-23,6652,3216,2292,1214,955,261,0,591,407,35,271,141,203,28,57,0,9,6,0
2010-03-24,28274,5899,2907,88,1018,318,0,282,183,75,208,190,153,66,56,45,28,10,0
2010-03-25,18101,5728,3015,24,744,420,0,229,376,36,364,214,123,99,58,16,10,0,0
2010-03-26,19122,8993,1120,563,1128,232,0,316,348,47,322,406,123,106,61,33,9,1,0
2010-03-27,15114,4528,807,1209,1020,612,0,190,142,72,347,181,66,89,70,6,8,3,0
2010-03-28,28631,4157,1254,1189,749,314,0,172,195,69,269,243,71,46,69,14,4,0,0
2010-03-29,38396,12544,1526,1308,891,161,0,197,289,72,324,315,201,36,74,70,14,4,0
2010-03-30,19941,1167,2421,1139,886,171,0,212,205,60,283,170,387,105,68,11,12,7,0
2010-03-31,3102,1188,1172,86,744,281,0,348,298,247,167,75,297,82,72,16,13,5,0
2010-04-01,37529,1393,946,0,873,398,6,364,354,58,28,96,0,10,61,25,11,5,0
2010-04-02,38738,1313,195,468,904,242,27,375,222,44,0,64,0,2,39,29,11,5,0
2010-04-03,18802,907,37,1657,636,385,50,171,421,29,0,42,0,0,16,4,9,3,0
2010-04-04,13789,670,16,2448,845,106,56,187,131,17,0,98,0,0,17,3,8,0,0
2010-04-05,27567,1115,927,1562,723,988,95,328,290,77,0,252,0,59,52,58,6,6,0
2010-04-06,45074,1140,1383,218,860,614,72,109,331,97,0,161,0,78,56,5,15,7,0
2010-04-07,40368,8433,1362,14,775,179,149,274,334,84,0,173,0,83,64,58,7,6,0
2010-04-08,60208,7759,1827,94,832,254,258,455,312,74,0,219,0,18,63,19,8,4,0
