,[10] Wall Hours: Per Job,[11] Wall Hours: Per Job,[12] Wall Hours: Per Job,[13] Wall Hours: Per Job,[14] Wall Hours: Per Job,[15] Wall Hours: Per Job,[16] Wall Hours: Per Job,[17] Wall Hours: Per Job,[18] Wall Hours: Per Job,[19] Wall Hours: Per Job,[1] Wall Hours: Per Job,[20] Wall Hours: Per Job,[21] Wall Hours: Per Job,[22] Wall Hours: Per Job,[23] Wall Hours: Per Job,[24] Wall Hours: Per Job,[25] Wall Hours: Per Job,[26] Wall Hours: Per Job,[27] Wall Hours: Per Job,[28] Wall Hours: Per Job,[29] Wall Hours: Per Job,[2] Wall Hours: Per Job,[30] Wall Hours: Per Job,[31] Wall Hours: Per Job,[32] Wall Hours: Per Job,[33] Wall Hours: Per Job,[34] Wall Hours: Per Job,[35] Wall Hours: Per Job,[36] Wall Hours: Per Job,[37] Wall Hours: Per Job,[38] Wall Hours: Per Job,[39] Wall Hours: Per Job,[3] Wall Hours: Per Job,[40] Wall Hours: Per Job,[41] Wall Hours: Per Job,[42] Wall Hours: Per Job,[43] Wall Hours: Per Job,[44] Wall Hours: Per Job,[45] Wall Hours: Per Job,[46] Wall Hours: Per Job,[47] Wall Hours: Per Job,[48] Wall Hours: Per Job,[49] Wall Hours: Per Job,[4] Wall Hours: Per Job,[50] Wall Hours: Per Job,[51] Wall Hours: Per Job,[52] Wall Hours: Per Job,[53] Wall Hours: Per Job,[54] Wall Hours: Per Job,[55] Wall Hours: Per Job,[56] Wall Hours: Per Job,[57] Wall Hours: Per Job,[58] Wall Hours: Per Job,[59] Wall Hours: Per Job,[5] Wall Hours: Per Job,[60] Wall Hours: Per Job,[61] Wall Hours: Per Job,[62] Wall Hours: Per Job,[63] Wall Hours: Per Job,[64] Wall Hours: Per Job,[65] Wall Hours: Per Job,[66] Wall Hours: Per Job,[67] Wall Hours: Per Job,[68] Wall Hours: Per Job,[6] Wall Hours: Per Job,[70] Wall Hours: Per Job,[71] Wall Hours: Per Job,[72] Wall Hours: Per Job,[7] Wall Hours: Per Job,[8] Wall Hours: Per Job,[9] Wall Hours: Per Job
2015-08-01,9.50253448,24.0,9.40886429,0.0,0.0,0.0,5.75302222,0.0,0.0,0.0,5.67499895,1.6932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,5.797229,1.76587143,0.0,10.90105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5837,12.07218889,0.0,0.0,11.9968,0.0,0.0,0.0,,0.0326,0.0,8.06625464,0.047975,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,16.52157813,0.0,0.0,13.9379,0.0,7.87716538,2.3928
2015-08-02,10.15010938,6.8486,2.53698571,0.0,0.0,0.0,11.9329,0.0,0.0,0.0,8.31687833,0.0389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19555,0.0,3.10954583,12.5044,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1935,4.53339091,0.0,0.0,11.9978,0.0,0.0,0.0,,0.0,0.0,7.54264091,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,7.0304,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,13.6894,0.0,0.0,0.0169,0.0,4.567975,0.0
2015-08-03,4.57429167,24.0,14.12239091,0.0,0.0,0.0,8.4314,0.0,0.0,0.0,8.99376974,0.13775,0.0,0.0,0.0,0.01265,0.0,0.0,0.0,0.0111,0.0,1.95853346,2.9936,0.0,5.03958,0.0,0.0,0.0,0.01055,0.0,0.0,0.0,2.49707536,3.39293333,0.0,0.0,11.9979,0.00985,0.0,0.0,,0.0114,0.0,4.12093636,0.0,0.0,0.00991667,,0.0,0.0,0.80562,0.0,0.0,,1.5934,0.01416667,,,0.0,0.01035,0.0,0.0,0.0,0.00833333,4.93358,0.0,0.0,6.02474286,14.2847,1.1499,0.0474
2015-08-04,2.70082673,10.8079,6.51208696,0.0,0.0,0.0064,9.93362,0.0,0.0,0.0,7.61792795,0.08791667,0.0,8.4747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44736506,15.1392,0.0,11.99985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38384259,0.5014,0.0,0.0,11.99555,0.0,0.0,0.0,,1.62055,0.0,5.70035054,0.0,0.0,0.0,,0.0,0.0,4.49134,0.0,0.0,,2.54305833,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,21.90565,0.0,0.0,5.1490625,8.80556667,5.30629556,0.35055
2015-08-05,2.4622044,24.0,7.5742375,0.0,0.0,0.08055,2.68609556,0.0,0.0058,0.0,6.34708508,6.38095,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.30064232,11.0878,0.0,11.99985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.91038537,0.21752,0.0,0.0,11.99905,0.0,0.0,0.0,,0.0,0.0,6.59380282,0.0,0.0,0.0,,0.0,0.0,0.44363636,0.0,0.0,,2.717025,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,8.37059048,0.0,0.0,24.0,9.7231,3.53733148,0.0
2015-08-06,7.13259298,11.71305,10.37733529,0.0,0.0,0.0,6.90725455,0.0,0.0,0.0,6.19758867,8.87938,0.0,11.39905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.611625,4.396,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.816445,0.52651667,0.0,0.0,11.9975,0.0,0.0,0.0,,0.03595,0.0,4.98950519,0.0,0.0,0.0,,0.0,0.0,3.7017,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,10.43676053,0.0,0.0,5.36036667,0.0,5.11223056,0.0
2015-08-07,3.52932462,24.0,6.02089,0.0,0.0,0.0,9.88884412,0.0,0.0,0.0,6.25937143,21.9026,0.0,3.3887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18810708,23.7531,0.0,7.25585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42392588,0.99823333,0.0,0.0,11.99805,0.0,0.0,0.0,,0.0,0.0,6.47326909,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,9.06905122,0.0,0.0,1.91375,0.0,5.18858056,2.3286
2015-08-08,12.16852727,6.705,7.12906429,0.0,0.0,0.0,12.68613913,0.0,0.0,0.0,7.50243176,12.18873636,0.0,1.38093333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.548585,11.28913333,0.0,14.33326667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.90602558,10.1724,0.0,0.0,7.2269,0.0,0.0,0.0,,0.0,0.0,6.58607273,0.0,0.0,0.0,,0.0,0.0,6.2264,0.0,0.0,,0.3233,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,10.246216,0.0,0.0,19.91555,0.0,8.36639032,0.0
2015-08-09,8.73018333,0.0,6.37074118,0.0,0.0,0.0,12.45013077,0.0,0.0,0.0,3.76337006,15.14855455,0.0,1.4288,0.0,0.0119,0.0,0.0,0.0,14.4257,0.0,4.38429329,11.62555,0.0,4.92464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.04054583,13.19533333,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,6.85010241,0.0,0.0,0.0,,0.0,0.0,8.6647,0.0,0.0,,8.37655,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,3.88628696,0.0,0.0,6.63696667,0.0,8.57522308,0.0
2015-08-10,11.12901429,0.0,10.90176923,0.0,0.0,0.0,8.88292667,0.0,0.00732143,0.0,2.95567352,8.71698571,0.0,3.69265,0.0,0.0,0.0,0.0,0.0,14.9025,0.0,1.9759934,3.87415,0.0,18.22671667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4322,4.80934545,0.0,0.0,0.0597,0.0,0.0,0.0,,0.0,0.0,3.9984808,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,4.79056667,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,8.66730556,0.0,0.0,3.03425,0.0,3.77827632,0.0551
