,[CCT LSU SUPERMIC] Number of Jobs Started,[GATECH KEENELAND] Number of Jobs Started,[GATECH KIDS] Number of Jobs Started,[IU BIGRED*] Number of Jobs Started,[LONI QUEENBEE] Number of Jobs Started,[NCAR FROST] Number of Jobs Started,[NCSA ABE] Number of Jobs Started,[NCSA COBALT] Number of Jobs Started,[NCSA DTF] Number of Jobs Started,[NCSA EMBER*] Number of Jobs Started,[NCSA FORGE] Number of Jobs Started,[NCSA LINCOLN] Number of Jobs Started,[NICS ATHENA] Number of Jobs Started,[NICS DARTER] Number of Jobs Started,[NICS KRAKEN] Number of Jobs Started,[NICS NAUTILUS] Number of Jobs Started,[ORNL NSTG] Number of Jobs Started,[OSG] Number of Jobs Started,[PSC BIGBEN] Number of Jobs Started,[PSC BLACKLIGHT] Number of Jobs Started,[PSC BRIDGES LARGE] Number of Jobs Started,[PSC BRIDGES] Number of Jobs Started,[PSC GREENFIELD] Number of Jobs Started,[PSC POPLE] Number of Jobs Started,[PURDUE CONDOR] Number of Jobs Started,[PURDUE STEELE] Number of Jobs Started,[SDSC COMET] Number of Jobs Started,[SDSC DASH] Number of Jobs Started,[SDSC GORDON] Number of Jobs Started,[SDSC TRESTLES] Number of Jobs Started,[Stanford XSTREAM] Number of Jobs Started,[TACC LONESTAR4] Number of Jobs Started,[TACC LONESTAR] Number of Jobs Started,[TACC LONGHORN] Number of Jobs Started,[TACC MAVERICK2] Number of Jobs Started,[TACC RANGER] Number of Jobs Started,[TACC SPUR] Number of Jobs Started,[TACC STAMPEDE] Number of Jobs Started
2010-02-01,,,,29.0,0.0,24.0,2460.0,166.0,224.0,,,28.0,0.0,,863.0,,64.0,,100.0,,,,,55.0,4001.0,3134.0,,0.0,,,,,189.0,2.0,,593.0,4.0,
2010-02-02,,,,29.0,74.0,22.0,2380.0,295.0,595.0,,,27.0,0.0,,1186.0,,69.0,,28.0,,,,,71.0,2794.0,6993.0,,0.0,,,,,220.0,5.0,,975.0,5.0,
2010-02-03,,,,49.0,227.0,71.0,1322.0,187.0,656.0,,,138.0,0.0,,14.0,,58.0,,57.0,,,,,65.0,4835.0,2784.0,,0.0,,,,,266.0,0.0,,1144.0,14.0,
2010-02-04,,,,19.0,709.0,41.0,1887.0,132.0,484.0,,,397.0,0.0,,899.0,,58.0,,154.0,,,,,83.0,5476.0,1923.0,,0.0,,,,,245.0,2.0,,782.0,7.0,
2010-02-05,,,,33.0,219.0,15.0,1475.0,144.0,194.0,,,67.0,0.0,,971.0,,60.0,,132.0,,,,,103.0,3228.0,5508.0,,0.0,,,,,169.0,3.0,,743.0,4.0,
2010-02-06,,,,32.0,201.0,37.0,2416.0,76.0,240.0,,,413.0,0.0,,586.0,,29.0,,28.0,,,,,0.0,42.0,438.0,,0.0,,,,,127.0,0.0,,552.0,2.0,
2010-02-07,,,,36.0,163.0,10.0,1894.0,118.0,152.0,,,87.0,0.0,,1113.0,,16.0,,86.0,,,,,7.0,506.0,258.0,,0.0,,,,,147.0,0.0,,452.0,0.0,
2010-02-08,,,,39.0,437.0,15.0,2919.0,182.0,581.0,,,26.0,0.0,,1584.0,,22.0,,70.0,,,,,9.0,293.0,334.0,,0.0,,,,,581.0,7.0,,630.0,4.0,
2010-02-09,,,,55.0,239.0,24.0,2845.0,141.0,643.0,,,106.0,0.0,,1817.0,,23.0,,202.0,,,,,147.0,49.0,933.0,,0.0,,,,,249.0,6.0,,606.0,4.0,
2010-02-10,,,,31.0,407.0,235.0,4534.0,183.0,498.0,,,31.0,0.0,,1.0,,25.0,,50.0,,,,,71.0,50.0,6735.0,,0.0,,,,,254.0,7.0,,630.0,3.0,
