,[100] Wall Hours: Per Job,[108] Wall Hours: Per Job,[10] Wall Hours: Per Job,[114] Wall Hours: Per Job,[11] Wall Hours: Per Job,[120] Wall Hours: Per Job,[126] Wall Hours: Per Job,[128] Wall Hours: Per Job,[12] Wall Hours: Per Job,[13] Wall Hours: Per Job,[14] Wall Hours: Per Job,[15] Wall Hours: Per Job,[16] Wall Hours: Per Job,[17] Wall Hours: Per Job,[18] Wall Hours: Per Job,[19] Wall Hours: Per Job,[1] Wall Hours: Per Job,[20] Wall Hours: Per Job,[21] Wall Hours: Per Job,[22] Wall Hours: Per Job,[23] Wall Hours: Per Job,[24] Wall Hours: Per Job,[25] Wall Hours: Per Job,[26] Wall Hours: Per Job,[27] Wall Hours: Per Job,[28] Wall Hours: Per Job,[29] Wall Hours: Per Job,[2] Wall Hours: Per Job,[30] Wall Hours: Per Job,[31] Wall Hours: Per Job,[32] Wall Hours: Per Job,[33] Wall Hours: Per Job,[34] Wall Hours: Per Job,[35] Wall Hours: Per Job,[36] Wall Hours: Per Job,[38] Wall Hours: Per Job,[3] Wall Hours: Per Job,[40] Wall Hours: Per Job,[42] Wall Hours: Per Job,[43] Wall Hours: Per Job,[44] Wall Hours: Per Job,[45] Wall Hours: Per Job,[46] Wall Hours: Per Job,[47] Wall Hours: Per Job,[48] Wall Hours: Per Job,[4] Wall Hours: Per Job,[50] Wall Hours: Per Job,[52] Wall Hours: Per Job,[55] Wall Hours: Per Job,[56] Wall Hours: Per Job,[57] Wall Hours: Per Job,[59] Wall Hours: Per Job,[5] Wall Hours: Per Job,[60] Wall Hours: Per Job,[62] Wall Hours: Per Job,[63] Wall Hours: Per Job,[64] Wall Hours: Per Job,[65] Wall Hours: Per Job,[6] Wall Hours: Per Job,[72] Wall Hours: Per Job,[7] Wall Hours: Per Job,[86] Wall Hours: Per Job,[8] Wall Hours: Per Job,[90] Wall Hours: Per Job,[96] Wall Hours: Per Job,[99] Wall Hours: Per Job,[9] Wall Hours: Per Job
2015-08-01,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.775,0.0,0.0,0.0,24.0,0.0,0.0,3.02405,3.93940745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4347,0.0,,8.11324,0.0,0.0,0.0,0.0,0.0,3.0226,0.0,,0.0,,0.0,,0.0,0.0,10.387636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.94794,0.0,11.76121111,,0.0,,24.0,,0.0,0.0,0.0
2015-08-02,0.0,,7.4003,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,5.95975,6.0643,0.0,0.0,6.24875,5.34677819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.95740588,0.0,,6.34905,0.0,0.0,0.0,0.0,0.0,0.19653,0.0,,0.0,,0.0,,0.0,0.0,15.20691429,0.0,0.0,0.0,0.0,0.0,0.0,18.335075,0.0,0.0,0.0,11.51936364,0.0,1.0322,,0.0,,9.44473333,,0.0,0.0,0.0
2015-08-03,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,21.2628,0.0,0.0,24.0,4.67814667,0.0,0.0,1.17598571,3.37459461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.21672273,0.0,,5.02526667,0.0,0.0,0.0,0.0,0.0,0.71385789,0.0,,0.0,,0.0,,0.0,0.0,9.94812444,0.0,0.0,0.0,0.0,0.0,0.0,16.10535714,0.0,0.0,0.0,12.92665833,0.0,3.1686,,0.0,,0.09170455,,0.0,0.0,0.0
2015-08-04,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2203,6.74292857,0.0,0.0,6.1608,3.42473454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17224328,0.0,,12.29666667,0.0,0.0,0.0,0.0,0.0,0.53375,0.0,,0.0,,0.0,,0.0,0.0,5.81880822,0.0,0.0,0.0,0.0,0.0,0.0,10.78598571,0.0,0.0,0.0,11.85722857,0.0,8.22095,,0.0,,0.46077222,,0.0,0.0,0.0
2015-08-05,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1013,0.0,0.0,5.875,3.21871732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.50115625,0.0,,11.85484286,0.0,0.0,0.0,0.0,0.0,0.04893333,0.0,,0.0,,0.0097,,0.0,0.0,7.488925,0.0,0.0,0.0,0.0,0.0,0.0,2.166,0.0,0.0,0.0,12.97930833,0.0,10.2704,,0.0,,2.76756667,,0.0,0.0,0.0
2015-08-06,0.0,,0.0,0.0,0.0,0.0,0.0,0.0083,10.2789,0.0,0.0,0.0,7.9123,0.0,0.0,4.42,4.49258114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.57322353,0.0,,4.84209545,0.0,0.0,0.0,0.0,0.0,1.05113333,0.0,,0.0,,0.0,,0.0,0.0,7.76231176,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,11.31815,0.0,22.64344,,0.0,,1.91439,,0.0,0.0,0.0
2015-08-07,0.0,,0.0,0.0,0.0,0.0,0.0,0.00988,24.0,0.0,0.0,0.0,9.654375,0.0,0.0,2.92786667,5.31318284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.51392143,0.0,,10.77763333,0.0094,0.0,0.0,0.0,0.0,1.40818667,0.0,,0.0,,2.02213333,,0.0,0.0,11.50215238,0.0,0.0,0.0,0.0,0.0,0.0,3.9043,0.0,0.0,0.0,13.76944444,0.01,13.8814,,0.0,,0.0,,0.0,0.0,0.0
2015-08-08,0.0,,0.42445,0.0,0.0,0.0,0.0,0.0,1.1653,0.0,0.0,0.0,4.0975,0.0,0.0,2.69183333,6.95633349,0.0,0.0,0.0,0.0,0.0,0.0,17.0344,0.0,0.0,0.0,3.71708776,0.0,,9.69568571,0.0,0.0,0.0,0.0,0.0,1.31747179,0.0,,0.0,,17.9883,,0.0,0.0,5.72408025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.588,0.0,22.7194,,0.0,,0.15171176,,0.0,0.0,0.0
2015-08-09,0.0,,15.4539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.891875,0.0,0.0,1.59622,8.29771282,0.0,0.0,0.0,0.0,0.0,0.0,0.2136,0.0,0.0,0.0,4.9498425,0.0,,9.93145,0.0,0.0,0.0,0.0,0.0,1.24507059,0.0,,0.0,,0.0,,0.0,0.0,7.84175116,0.0,0.0,0.0,0.0,0.0,0.0,8.09676667,0.0,0.0,0.0,11.33908,0.0,0.0,,0.0,,1.41535,,0.0,0.0,0.0
2015-08-10,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.4908,0.0,0.0,0.0,7.89883333,0.0,0.0,4.076675,5.75532727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52503409,0.0,,4.02745714,0.0094,0.0,0.0,0.0,0.0,1.51672907,0.0,,0.0,,0.0,,0.0,0.0,7.97535794,0.0,0.0,0.0,0.0,2.48485,0.0,5.57555,0.0,0.0,0.0,19.69944,0.0,0.0,,0.0,,1.74813077,,0.16,0.0,0.0
