Node Count,Average Execution Time,Number of Jobs
1,5.3269646468104508,215416.0
2,5.7720351964775292,20250.0
3,3.7407640988388087,2618.0
4,5.2295994200713212,15284.0
5,3.4413796900833344,960.0
6,6.3797340087293755,3455.0
7,7.4264553182089559,134.0
8,4.1708771587925346,6435.0
9,8.3893721912311587,398.0
10,8.3049639732343454,1549.0
11,4.7250929172499978,40.0
12,6.1026822667486309,732.0
13,3.8188336864814807,54.0
14,3.4221499992857143,28.0
15,9.5696527395964157,223.0
16,4.7785070975847344,3511.0
17,2.3029768291966159,473.0
18,2.1781545699235187,523.0
19,2.3007884724999998,348.0
20,7.9531355599806179,516.0
21,1.0627912108333333,552.0
22,1.5268175000000002,35.0
23,2.2735434863218384,87.0
24,8.4364239802941174,170.0
25,9.3302653052500002,240.0
26,6.468209787636364,55.0
27,0.20412500000000003,4.0
28,2.3710407936904767,84.0
29,2.4936857128571428,7.0
30,5.858622014799999,75.0
31,nan,18.0
32,5.2092974132038803,927.0
33,9.6167817252941212,102.0
34,4.6902683322222227,18.0
35,1.3447200000000001,5.0
36,5.2675937500000005,16.0
38,5.4507714285714295,7.0
40,6.5276888184000015,125.0
42,nan,3.0
43,3.3703727272727275,11.0
44,nan,19.0
45,nan,5.0
46,nan,3.0
47,nan,3.0
48,5.2960237360344831,58.0
50,1.0169874999999999,8.0
52,2.319485002,10.0
55,0.24386666666666668,3.0
56,1.0670666678260867,46.0
57,nan,5.0
59,nan,23.0
60,3.0055892722413797,58.0
62,nan,1.0
63,2.1482749999999999,8.0
64,6.7399203880416634,720.0
65,nan,1.0
72,nan,12.0
86,nan,1.0
90,nan,3.0
96,nan,39.0
99,nan,1.0
100,2.6339168003571438,140.0
108,nan,1.0
114,nan,1.0
120,nan,1.0
126,nan,2.0
128,0.22999370650349651,143.0
