,[CCT LSU SUPERMIC] Number of Jobs Submitted,[GATECH KEENELAND] Number of Jobs Submitted,[GATECH KIDS] Number of Jobs Submitted,[IU BIGRED*] Number of Jobs Submitted,[LONI QUEENBEE] Number of Jobs Submitted,[NCAR FROST] Number of Jobs Submitted,[NCSA ABE] Number of Jobs Submitted,[NCSA COBALT] Number of Jobs Submitted,[NCSA DTF] Number of Jobs Submitted,[NCSA EMBER*] Number of Jobs Submitted,[NCSA FORGE] Number of Jobs Submitted,[NCSA LINCOLN] Number of Jobs Submitted,[NICS ATHENA] Number of Jobs Submitted,[NICS DARTER] Number of Jobs Submitted,[NICS KRAKEN] Number of Jobs Submitted,[NICS NAUTILUS] Number of Jobs Submitted,[ORNL NSTG] Number of Jobs Submitted,[OSG] Number of Jobs Submitted,[PSC BIGBEN] Number of Jobs Submitted,[PSC BLACKLIGHT] Number of Jobs Submitted,[PSC BRIDGES LARGE] Number of Jobs Submitted,[PSC BRIDGES] Number of Jobs Submitted,[PSC GREENFIELD] Number of Jobs Submitted,[PSC POPLE] Number of Jobs Submitted,[PURDUE CONDOR] Number of Jobs Submitted,[PURDUE STEELE] Number of Jobs Submitted,[SDSC COMET] Number of Jobs Submitted,[SDSC DASH] Number of Jobs Submitted,[SDSC GORDON] Number of Jobs Submitted,[SDSC TRESTLES] Number of Jobs Submitted,[Stanford XSTREAM] Number of Jobs Submitted,[TACC LONESTAR4] Number of Jobs Submitted,[TACC LONESTAR] Number of Jobs Submitted,[TACC LONGHORN] Number of Jobs Submitted,[TACC MAVERICK2] Number of Jobs Submitted,[TACC RANGER] Number of Jobs Submitted,[TACC SPUR] Number of Jobs Submitted,[TACC STAMPEDE] Number of Jobs Submitted
2010-02-01,,,,29.0,0.0,24.0,1917.0,108.0,141.0,,,27.0,0.0,,736.0,,64.0,,100.0,,,,,30.0,4001.0,2681.0,,0.0,,,,,183.0,2.0,,440.0,4.0,
2010-02-02,,,,9.0,2.0,22.0,1604.0,261.0,242.0,,,25.0,0.0,,1033.0,,69.0,,5.0,,,,,53.0,2594.0,6223.0,,0.0,,,,,183.0,5.0,,683.0,5.0,
2010-02-03,,,,42.0,227.0,70.0,999.0,168.0,177.0,,,137.0,0.0,,9.0,,58.0,,27.0,,,,,48.0,4835.0,1109.0,,0.0,,,,,249.0,0.0,,860.0,14.0,
2010-02-04,,,,12.0,693.0,41.0,813.0,102.0,234.0,,,30.0,0.0,,673.0,,58.0,,85.0,,,,,59.0,5476.0,1908.0,,0.0,,,,,226.0,2.0,,654.0,7.0,
2010-02-05,,,,22.0,199.0,12.0,964.0,79.0,129.0,,,63.0,0.0,,826.0,,60.0,,131.0,,,,,68.0,3228.0,4816.0,,0.0,,,,,146.0,3.0,,537.0,4.0,
2010-02-06,,,,29.0,166.0,37.0,1488.0,25.0,168.0,,,12.0,0.0,,502.0,,29.0,,17.0,,,,,0.0,42.0,356.0,,0.0,,,,,78.0,0.0,,379.0,2.0,
2010-02-07,,,,35.0,133.0,10.0,1552.0,84.0,31.0,,,9.0,0.0,,1069.0,,16.0,,86.0,,,,,7.0,506.0,233.0,,0.0,,,,,91.0,0.0,,277.0,0.0,
2010-02-08,,,,33.0,437.0,15.0,2745.0,163.0,366.0,,,25.0,0.0,,1496.0,,22.0,,70.0,,,,,9.0,193.0,332.0,,0.0,,,,,571.0,7.0,,508.0,4.0,
2010-02-09,,,,49.0,237.0,24.0,2794.0,106.0,322.0,,,104.0,0.0,,1775.0,,23.0,,191.0,,,,,60.0,49.0,518.0,,0.0,,,,,157.0,6.0,,416.0,4.0,
2010-02-10,,,,29.0,362.0,235.0,4313.0,177.0,160.0,,,24.0,0.0,,0.0,,25.0,,43.0,,,,,56.0,50.0,6496.0,,0.0,,,,,223.0,7.0,,370.0,3.0,
2010-02-11,,,,85.0,224.0,259.0,2746.0,136.0,138.0,,,26.0,0.0,,922.0,,32.0,,71.0,,,,,80.0,13.0,7906.0,,0.0,,,,,80.0,21.0,,339.0,2.0,
2010-02-12,,,,41.0,170.0,32.0,1579.0,82.0,135.0,,,17.0,0.0,,1244.0,,39.0,,20.0,,,,,50.0,3546.0,9208.0,,0.0,,,,,214.0,7.0,,244.0,3.0,
2010-02-13,,,,17.0,62.0,10.0,606.0,86.0,77.0,,,14.0,0.0,,1084.0,,55.0,,58.0,,,,,79.0,5.0,10413.0,,0.0,,,,,102.0,0.0,,217.0,3.0,
2010-02-14,,,,25.0,193.0,4.0,970.0,56.0,42.0,,,17.0,0.0,,1171.0,,54.0,,33.0,,,,,72.0,5.0,2143.0,,0.0,,,,,101.0,0.0,,244.0,5.0,
2010-02-15,,,,30.0,224.0,37.0,1940.0,184.0,86.0,,,58.0,0.0,,1662.0,,56.0,,87.0,,,,,98.0,13.0,8641.0,,0.0,,,,,288.0,2.0,,354.0,2.0,
2010-02-16,,,,25.0,177.0,36.0,573.0,195.0,168.0,,,129.0,0.0,,759.0,,59.0,,140.0,,,,,79.0,108.0,7398.0,,0.0,,,,,280.0,13.0,,339.0,2.0,
2010-02-17,,,,8.0,0.0,67.0,1335.0,132.0,100.0,,,74.0,0.0,,775.0,,76.0,,504.0,,,,,99.0,3459.0,5206.0,,0.0,,,,,226.0,48.0,,373.0,2.0,
2010-02-18,,,,19.0,0.0,327.0,2608.0,228.0,96.0,,,53.0,0.0,,1232.0,,63.0,,747.0,,,,,84.0,4133.0,2601.0,,0.0,,,,,240.0,22.0,,459.0,1.0,
2010-02-19,,,,15.0,0.0,144.0,669.0,190.0,74.0,,,63.0,0.0,,1172.0,,58.0,,714.0,,,,,74.0,5079.0,7931.0,,0.0,,,,,503.0,2.0,,418.0,2.0,
2010-02-20,,,,7.0,0.0,41.0,696.0,99.0,36.0,,,5.0,0.0,,914.0,,56.0,,527.0,,,,,40.0,8059.0,3291.0,,0.0,,,,,211.0,0.0,,295.0,0.0,
2010-02-21,,,,5.0,0.0,22.0,1101.0,71.0,320.0,,,58.0,0.0,,1169.0,,58.0,,809.0,,,,,32.0,3938.0,2823.0,,0.0,,,,,140.0,0.0,,263.0,1.0,
2010-02-22,,,,7.0,2.0,70.0,2597.0,96.0,245.0,,,125.0,0.0,,1591.0,,70.0,,584.0,,,,,134.0,2810.0,825.0,,0.0,,,,,332.0,7.0,,527.0,3.0,
2010-02-23,,,,80.0,270.0,57.0,1087.0,131.0,105.0,,,81.0,0.0,,1272.0,,70.0,,772.0,,,,,67.0,2341.0,810.0,,0.0,,,,,254.0,7.0,,446.0,5.0,
2010-02-24,,,,74.0,199.0,33.0,818.0,90.0,567.0,,,477.0,0.0,,264.0,,60.0,,86.0,,,,,45.0,2731.0,669.0,,0.0,,,,,234.0,6.0,,343.0,3.0,
2010-02-25,,,,118.0,225.0,32.0,857.0,165.0,753.0,,,127.0,0.0,,19.0,,73.0,,112.0,,,,,100.0,2623.0,2056.0,,0.0,,,,,486.0,41.0,,407.0,1.0,
2010-02-26,,,,117.0,423.0,84.0,468.0,78.0,1314.0,,,24.0,0.0,,1292.0,,62.0,,381.0,,,,,41.0,1259.0,3374.0,,0.0,,,,,281.0,27.0,,558.0,0.0,
2010-02-27,,,,106.0,443.0,14.0,78.0,37.0,847.0,,,20.0,0.0,,1054.0,,59.0,,1028.0,,,,,100.0,1418.0,123.0,,0.0,,,,,175.0,3.0,,426.0,4.0,
2010-02-28,,,,71.0,106.0,52.0,294.0,35.0,404.0,,,22.0,0.0,,647.0,,56.0,,524.0,,,,,202.0,2038.0,2708.0,,0.0,,,,,174.0,13.0,,516.0,4.0,
2010-03-01,,,,305.0,62.0,27.0,817.0,105.0,403.0,,,65.0,0.0,,984.0,,59.0,,95.0,,,,,142.0,3742.0,1415.0,,0.0,,,,,173.0,49.0,,541.0,3.0,
2010-03-02,,,,11.0,103.0,70.0,816.0,185.0,201.0,,,36.0,0.0,,697.0,,58.0,,236.0,,,,,322.0,8139.0,413.0,,0.0,,,,,2632.0,54.0,,466.0,5.0,
2010-03-03,,,,31.0,143.0,122.0,1557.0,125.0,168.0,,,38.0,0.0,,3.0,,57.0,,815.0,,,,,123.0,4413.0,1116.0,,0.0,,,,,1981.0,59.0,,479.0,5.0,
2010-03-04,,,,27.0,318.0,114.0,1013.0,200.0,154.0,,,52.0,0.0,,2.0,,60.0,,268.0,,,,,72.0,4331.0,1109.0,,0.0,,,,,1367.0,80.0,,594.0,5.0,
2010-03-05,,,,74.0,425.0,8.0,1098.0,253.0,243.0,,,49.0,0.0,,3.0,,60.0,,86.0,,,,,197.0,1762.0,760.0,,0.0,,,,,177.0,10.0,,513.0,8.0,
2010-03-06,,,,124.0,95.0,18.0,1251.0,223.0,133.0,,,25.0,0.0,,424.0,,54.0,,515.0,,,,,19.0,4356.0,2734.0,,0.0,,,,,209.0,8.0,,525.0,0.0,
2010-03-07,,,,47.0,741.0,41.0,2739.0,230.0,152.0,,,41.0,0.0,,558.0,,52.0,,274.0,,,,,17.0,4825.0,3517.0,,0.0,,,,,156.0,6.0,,614.0,2.0,
2010-03-08,,,,46.0,504.0,35.0,951.0,164.0,199.0,,,13.0,0.0,,1715.0,,63.0,,79.0,,,,,154.0,8630.0,10440.0,,0.0,,,,,197.0,17.0,,635.0,3.0,
