Fri Mar  4 15:32:37 2016,Fri Mar  4 15:33:54 2016,Fri Mar  4 15:33:55 2016,121.04287004470825,16,15
Sat Mar  5 08:50:06 2016,Sat Mar  5 08:50:26 2016,Sat Mar  5 08:50:27 2016,60.544124126434326,16,1
Sat Mar  5 08:51:05 2016,Sat Mar  5 08:51:43 2016,Sat Mar  5 08:51:44 2016,60.69676399230957,16,1
2016-03-05T12:04:55,2016-03-05T15:28:55,2016-03-05T15:28:59,12275.998702049255,16,54
2016-03-05T15:29:33,2016-03-05T17:44:55,2016-03-05T17:45:00,8152.7624979019165,16,34
2016-03-05T17:45:28,2016-03-05T19:50:55,2016-03-05T19:50:59,7561.775309085846,16,132
2016-03-05T19:51:33,2016-03-05T21:04:55,2016-03-05T21:05:00,4435.172455072403,16,113
2016-03-05T21:05:38,2016-03-05T23:20:55,2016-03-05T23:20:59,8143.112536907196,16,61
2016-03-05T23:21:19,2016-03-06T01:15:50,2016-03-06T01:15:57,6890.459565162659,16,55
2016-03-06T01:16:15,2016-03-06T03:38:55,2016-03-06T03:39:00,8584.204662799835,16,59
2016-03-06T03:39:21,2016-03-06T05:05:34,2016-03-06T05:05:39,5200.753554105759,16,168
2016-03-06T05:06:05,2016-03-06T05:41:34,2016-03-06T05:41:56,2176.5179710388184,16,42
2016-03-06T05:42:37,2016-03-06T06:03:34,2016-03-06T06:03:38,1287.1458690166473,16,48
2016-03-06T06:04:07,2016-03-06T06:06:34,2016-03-06T06:06:38,164.48204708099365,16,46
2016-03-06T06:06:56,2016-03-06T06:07:29,2016-03-06T06:07:34,68.20739507675171,16,49
2016-03-06T06:08:07,2016-03-06T06:09:33,2016-03-06T06:09:36,109.13219618797302,16,41
2016-03-06T06:10:01,2016-03-06T06:10:33,2016-03-06T06:10:37,50.12625598907471,16,576
2016-03-06T06:10:54,2016-03-06T06:12:27,2016-03-06T06:12:32,114.51029205322266,16,31
2016-03-06T06:12:52,2016-03-06T06:15:29,2016-03-06T06:15:33,184.65820598602295,16,33
2016-03-06T06:16:00,2016-03-06T06:16:28,2016-03-06T06:16:33,46.680893898010254,16,58
2016-03-06T06:16:51,2016-03-06T06:17:28,2016-03-06T06:17:33,61.779273986816406,16,30
2016-03-06T06:17:56,2016-03-06T06:18:28,2016-03-06T06:18:33,62.85222411155701,16,58
2016-03-06T06:19:04,2016-03-06T06:20:31,2016-03-06T06:20:36,122.954274892807,16,41
2016-03-06T06:21:11,2016-03-06T06:25:28,2016-03-06T06:25:40,299.5831859111786,16,90
2016-03-06T06:26:21,2016-03-06T06:27:31,2016-03-06T06:27:35,104.46715021133423,16,30
2016-03-06T06:28:11,2016-03-06T06:29:29,2016-03-06T06:29:34,106.55932879447937,16,40
2016-03-06T06:29:59,2016-03-06T06:32:30,2016-03-06T06:32:35,169.85734009742737,16,35
2016-03-06T06:32:52,2016-03-06T06:36:30,2016-03-06T06:36:35,234.54425406455994,16,33
