title
"Wait Hours: Per Job: by Resource"
parameters

start,end
2015-02-01,2015-07-31
---------
Day,"[PSC BLACKLIGHT] Wait Hours: Per Job","[TACC STAMPEDE] Wait Hours: Per Job","[SDSC GORDON] Wait Hours: Per Job","[SDSC TRESTLES] Wait Hours: Per Job","[NICS NAUTILUS] Wait Hours: Per Job","[CCT LSU SUPERMIC] Wait Hours: Per Job","[NICS DARTER] Wait Hours: Per Job","[SDSC COMET] Wait Hours: Per Job","[TACC MAVERICK2] Wait Hours: Per Job","[TACC LONESTAR4] Wait Hours: Per Job","[OSG] Wait Hours: Per Job"
2015-02-01,2.46124915,0.98653963,4.38902858,2.00194070,7.95343333,0.00483797,0.40851695,0,0.00001364,0.00470000,0.00000000
2015-02-02,4.29791687,1.17042602,3.14689753,0.62428370,0.00760000,0.00490300,0.20454500,0,0.00000000,0.00000000,0.00000000
2015-02-03,2.43768878,1.60305418,2.72266010,10.11688896,0.00280000,0.00516092,0.60009894,0,0.00846667,0.01920000,0.00000000
2015-02-04,7.40138400,2.20202714,4.60709440,14.10757056,0.00762000,0.87655428,4.22865914,0,0.00015200,0.24962727,0.00000000
2015-02-05,14.72866897,3.12776572,4.82248778,5.05881172,0.00888750,2.00039505,1.36399432,0,0.97507561,0.24667500,0.00000000
2015-02-06,3.26214000,7.95305624,7.57469788,5.56055431,0.48283333,0.00656742,0.39868045,0,2.28176418,1.10330000,0.00000000
2015-02-07,0.00060000,5.06630021,28.06121027,3.74723101,0.01166364,0.00504205,4.85706316,0,0.00000612,0.00000000,0.00000000
2015-02-08,26.02767826,2.65493620,16.91049099,0.88738951,0.00730000,0.00528900,1.66543953,0,0.34036667,0.00000000,0.00000000
2015-02-09,9.77802159,0.53077765,53.00164532,1.69217453,2.92308571,0.00506727,0.18326513,0,3.12638824,0.04005000,0.00000000
2015-02-10,0.47628925,18.13960399,60.13763769,15.95857574,0.00782727,1.70508889,0.03018010,0,2.08847864,0.01828000,0.00000000
2015-02-11,2.25034691,7.38045645,0.09711188,23.38509757,0.57546667,3.60768041,0.47352370,0,1.52184904,0.00000000,0.00000000
2015-02-12,0.55304206,9.17960057,0.33659154,23.49597968,1.91366667,2.37865449,0.12056732,0,3.39873239,0.94556000,0.00000000
2015-02-13,0.12154013,9.73418211,0.31479826,29.71904370,3.58507941,5.31675946,0.52053598,0,0.09520185,0.00000000,0.00000000
2015-02-14,0.03934865,13.16520222,3.49438169,46.75068206,2.42144118,0.21379889,7.36827143,0,0.00000789,0.02940000,0.00000000
2015-02-15,0.00157037,18.17820797,0.69087400,5.79715918,4.65880000,1.27095764,0.00031765,0,0.00357231,0.00000000,0.00000000
2015-02-16,0.38638085,9.52078526,0.30277983,9.60460131,22.23317059,0.37153716,0.00037200,0,0.49868300,0.00000000,0.00000000
2015-02-17,1.10884083,7.06852859,0.38963696,21.78621826,11.64772222,0.19216952,0.00039836,0,0.55347079,0.42220000,0.00000000
2015-02-18,0.83442000,11.62402763,0.90335052,9.11798233,23.08685000,5.05594040,0.99125172,0,0.98464783,0.00000000,0.00000000
2015-02-19,1.27540718,11.67969636,1.28375635,11.78306247,31.41687500,1.51860338,1.14630000,0,0.14480692,0.00000000,0.00000000
2015-02-20,0.15899892,9.51512109,1.43816068,3.94677873,5.00238750,0.01182152,0.11795714,0,0.10393562,0,0.00000000
2015-02-21,0.28344467,9.20875156,6.72535039,0.16419256,1.40738182,1.31006944,0.15011094,0,0.00000469,0,0.00000000
2015-02-22,0.21961406,9.18325766,5.62960836,5.00023403,1.54948378,3.44790000,0.14544706,0,0.00001200,0,0.00000000
2015-02-23,0.51463801,5.20713881,4.75413921,7.03614725,2.80438065,2.93682857,0.57495789,0,0.11684107,0,0.00000000
2015-02-24,1.05388308,6.11810972,2.99530967,5.57337565,0.79537500,6.59409141,1.08212568,0,0.00189655,0,0.00000000
2015-02-25,5.19603678,4.47787625,1.49569739,0.47549769,0.62361000,2.62204206,1.58664516,0,0.00002803,0.01420000,0.00000000
2015-02-26,5.42489894,7.56789673,0.62173353,3.52130809,0.00794138,2.88019612,0.43230265,0,0.00000556,0.02940000,0.00000000
2015-02-27,6.40642082,4.24253863,1.10964166,2.56613532,0.00848000,6.40278478,0.24408273,0,0.00000916,0,0.00000000
2015-02-28,1.21400988,22.51570696,2.01679388,0.08387334,0.00947586,0.00553182,0.01198429,0,0.00000517,0,0.00000000
2015-03-01,0.09008348,20.45740008,2.12441184,0.26409943,0.01029333,0.00562090,0.00043871,0,0.00016275,0,0.00000000
2015-03-02,1.71753315,7.66328956,0.78642321,0.41761612,0.01071724,0.00826607,0.08294737,0,0.00629556,0.02660000,0.00000000
2015-03-03,0.16357933,10.08605707,9.98755735,1.69050222,0.01046786,1.87316139,0.29748205,0,0.00000968,2.21940000,0.00000000
2015-03-04,2.31982717,10.49733760,3.93642215,0.15650488,1.42326552,6.09436495,0.51398684,0,0.00000227,0.47400000,0.00000000
2015-03-05,0.76510288,10.10771622,2.79789601,0.65356442,0.00769706,0.00493846,0.23648204,0,0.00016952,0.02200000,0.00000000
2015-03-06,3.86154435,9.39715398,1.96860351,0.18289653,0.56751875,0.00525652,0.35443120,0,0.00000182,0.02154286,0.00000000
2015-03-07,1.39321707,14.36229837,1.81676312,0.49170404,2.02923704,2.00686284,2.45981310,0,0.00000720,0.00000000,0.00000000
2015-03-08,2.29525075,12.82940762,3.23128221,0.01082162,5.29377667,0.00535882,0.98572549,0,0.00000273,0.02203333,0.00000000
2015-03-09,3.83283288,9.17729546,0.43255964,0.33398547,4.53938929,0.00516931,0.70588010,0,0.00000281,0.01240000,0.00000000
2015-03-10,1.63171218,9.27163839,0.96419630,0.29923976,5.68859200,2.60022435,0.10649627,0,0.00000513,1.79187273,0.00000000
2015-03-11,6.37258384,13.69267499,2.91013577,0.01837121,1.73066667,0.00560094,0.53027469,0,0.00000978,0.01470000,0.00000000
2015-03-12,5.70932970,8.51817488,4.26831085,0.85292695,2.14499200,0.00538043,0.06890061,0,2.16852750,0.08840000,0.00000000
2015-03-13,11.56501221,11.54566091,14.16860661,7.90980193,21.02565000,0.00864454,0.55708165,0,7.65196757,1.27244000,0.00000000
2015-03-14,1.85478039,10.93886363,7.92920930,2.67533347,0.21705000,0.00572326,0.87876774,0,11.80938966,0.03595000,0.00000000
