title
"Wait Hours: Per Job: by Resource"
parameters

start,end
2015-08-01,2016-01-31
---------
Day,"[SDSC GORDON] Wait Hours: Per Job","[NICS DARTER] Wait Hours: Per Job","[PSC BLACKLIGHT] Wait Hours: Per Job","[SDSC COMET] Wait Hours: Per Job","[TACC MAVERICK2] Wait Hours: Per Job","[TACC STAMPEDE] Wait Hours: Per Job","[CCT LSU SUPERMIC] Wait Hours: Per Job","[PSC GREENFIELD] Wait Hours: Per Job","[TACC LONESTAR4] Wait Hours: Per Job","[OSG] Wait Hours: Per Job"
2015-08-01,23.05114745,4.99194526,8.65877273,2.35330302,5.09531292,13.38595741,1.55648065,0,0,0.00000000
2015-08-02,51.30246748,14.43334699,7.49178966,5.66486721,7.32160407,5.38237100,1.27021447,0,0,0.00000000
2015-08-03,18.25999761,7.00220274,6.04823696,5.58808184,6.64398032,4.21062131,0.54930083,0,0,0.00000000
2015-08-04,30.81331489,9.76321404,9.17719375,2.66040580,1.37636237,5.51748479,0.32775058,0,0,0.00000000
2015-08-05,26.37548867,4.50293241,2.08859561,3.20937966,2.09943284,9.66182398,0.50393696,0,0,0.00000000
2015-08-06,22.43591185,7.68101735,3.42304394,8.51990419,1.35719774,6.01047364,0.00493882,0,0,0.00000000
2015-08-07,30.38118970,4.69203665,2.23507810,1.82973840,8.43827806,11.56866284,0.00565833,0,0,0.00000000
2015-08-08,65.98305864,3.47684595,5.54988929,11.23810245,9.05200180,13.23638239,0.00595976,0,0,0.00000000
2015-08-09,86.07860332,10.53860811,16.03010000,8.16567130,5.18069444,13.42315838,0.66418939,0,0,0.00000000
2015-08-10,44.83841360,7.34495379,9.39427976,2.20104407,1.67462788,5.46325011,0.00681053,0,0,0.00000000
2015-08-11,45.31398272,5.94652364,5.17112000,1.85932718,5.59756025,4.59364062,0.01200609,0,0,0.00000000
2015-08-12,27.26115511,9.03856381,3.12408608,0.47762757,7.03928110,7.19728073,0.71996827,0,0,0.00000000
2015-08-13,37.37659017,16.78581333,5.07996000,0.32627760,15.49032361,7.59264000,6.43624330,0,0,0.00000000
2015-08-14,74.57304132,4.32254412,1.00054222,0.60036941,1.95121384,4.93761744,7.94108077,0,0,0.00000000
2015-08-15,0.06243597,8.79421988,1.00055000,2.09570775,4.40486589,7.38940425,7.15401575,0,0,0.00000000
2015-08-16,0.10068223,6.61985145,0,2.75483941,2.35130000,8.56414736,2.31568523,0,0,0.00000000
2015-08-17,1.26055572,7.96284342,0,0.97818467,3.02342308,0.50568911,1.69520227,0,0,0.00000000
2015-08-18,2.77357121,15.87265781,0,0.66850887,0.00025172,20.88681712,1.53762658,0,0,0.00000000
2015-08-19,6.68146084,11.70640151,0,0.12389841,0.28006897,4.27416551,1.42109187,0,0,0.00000000
2015-08-20,8.86136083,19.31033182,0,1.10542350,0.00662963,4.24177756,2.56322885,0,0,0.00000000
2015-08-21,9.49921186,44.10077561,0,1.31945750,0.00029000,6.86309174,4.91555607,0,0,0.00000000
2015-08-22,22.51579743,9.07808221,0,2.53714139,0.00034750,5.64688576,1.53684771,0,0,0.00000000
2015-08-23,5.22514880,0.11215414,0,7.37236737,0.00020000,6.13147839,0.86386875,0,0,0.00000000
2015-08-24,0.21608352,3.44232819,0,1.78849287,0.00039789,3.34515569,0.02426167,0,0,0.00000000
2015-08-25,0.89496627,1.31406128,0,0.26645701,0.00022800,3.93365864,2.76340580,0,0,0.00000000
2015-08-26,10.63568021,1.10703235,0,0.79781365,0.00273509,5.62587242,0.75839485,0,0,0.00000000
2015-08-27,7.02507805,3.28940409,0,0.59270633,0.13100952,4.94298162,1.47527412,0,0,0.00000000
2015-08-28,7.35692459,1.90798196,0,24.07585744,7.50849333,5.98603911,0.11125571,0,0.00330000,0.00000000
2015-08-29,11.97010278,1.78998065,0,1.18601678,3.50838095,8.10488025,4.24689730,0,0,0.00000000
2015-08-30,17.05635531,1.74524533,0,11.19651130,0.01110645,3.18829640,0.00474688,0,0,0.00000000
2015-08-31,26.05676116,4.51688315,0,21.27796338,2.51005424,1.19595088,10.41362143,0,0,0.00000000
2015-09-01,44.29378613,2.75631080,0,6.96526524,5.80626000,2.14905742,1.14572941,0,0,0.00000000
2015-09-02,39.68221369,3.72204276,0,15.33154315,0.00025526,2.16912624,1.05631389,0,0,0.00000000
2015-09-03,11.39541504,12.71663145,0,11.47936691,2.54942308,12.78326342,0.12765800,0,0,0.00000000
2015-09-04,12.07646304,6.79185607,0,16.04873023,6.03637544,5.28548715,1.35272667,0,0,0.00000000
2015-09-05,23.35833266,19.54627143,0,10.37488631,2.97991667,4.49745071,0.47599524,0,0,0.00000000
2015-09-06,42.76344865,50.62098077,0,21.60781998,3.65816250,4.43777651,0.04161053,0,0,0.00000000
2015-09-07,70.23959968,24.30983333,0,12.92394106,1.83500513,2.42466932,0.00560680,0,0,0.00000000
2015-09-08,31.35861937,0.06748750,0,22.49327504,0.61960667,1.73714897,4.22927010,0,0.02170000,0.00000000
2015-09-09,1.82073309,17.04939409,0,5.12745149,1.61501538,3.85902519,0.00483294,0,0,0.00000000
2015-09-10,6.24529731,3.02326017,0,7.88919007,2.75406441,2.31427754,0.00474265,1.00030000,0,0.00000000
2015-09-11,3.03058336,5.40627713,0,1.39586639,1.65845303,2.72882711,0.00503171,0.00000000,0,0.00000000
2015-09-12,19.19703122,20.43650355,0,0.61477833,2.71850968,3.36101560,0.00491481,0.00000000,0,0.00000000
2015-09-13,22.94473100,7.63171283,0,15.11643128,3.31875738,1.90602306,0.03019917,0.00000000,0,0.00000000
2015-09-14,9.70312969,1.64440000,0,0.59943883,0.00017778,1.78293370,0.00472439,1.00056667,0,0.00000000
2015-09-15,5.08059672,3.95794667,0,1.12898054,3.00256269,4.23057869,0.07917473,1.00041333,0,0.00000000
2015-09-16,10.65970316,4.94259023,0,0.57423083,0.70865584,3.00990484,0.00457368,1.00047826,0,0.00000000
2015-09-17,9.21093813,6.02684840,0,1.69217433,0.00092667,2.11193419,0.00474875,1.00043226,0,0.00000000
2015-09-18,10.18474329,4.99527800,0,3.38852455,0.00017805,3.29817269,0.00491277,1.08764400,0,0.00000000
2015-09-19,31.70668750,6.74484310,0,9.59586246,3.79404906,7.59347210,0.00514340,1.00042000,0,0.00000000
2015-09-20,9.46131783,6.87786379,0,7.02842106,0.00010714,7.31603626,0.00527000,0.00000000,0,0.00000000
2015-09-21,17.32913376,8.85438664,0,0.20433300,1.25001698,2.26374218,0.00490952,1.00040000,0,0.00000000
