title
"Wait Hours: Per Job: by Resource"
parameters

start,end
2016-02-01,2016-07-31
---------
Day,"[NICS DARTER] Wait Hours: Per Job","[SDSC GORDON] Wait Hours: Per Job","[PSC BRIDGES] Wait Hours: Per Job","[TACC MAVERICK2] Wait Hours: Per Job","[TACC STAMPEDE] Wait Hours: Per Job","[CCT LSU SUPERMIC] Wait Hours: Per Job","[PSC GREENFIELD] Wait Hours: Per Job","[SDSC COMET] Wait Hours: Per Job","[PSC BRIDGES LARGE] Wait Hours: Per Job","[TACC LONESTAR4] Wait Hours: Per Job","[Stanford XSTREAM] Wait Hours: Per Job","[OSG] Wait Hours: Per Job"
2016-02-01,9.93477184,1.45316907,0,0.53540870,0.68003014,0.86191592,1.37346508,3.04414770,0,0.00665000,0,0.00000000
2016-02-02,11.22923019,0.76960962,0,2.48140435,2.19200579,4.26050039,1.16478462,2.07284957,0,0.02157258,0,0.00000000
2016-02-03,31.66440688,1.30268744,0,0.99850977,2.64993175,2.69442115,0.00442222,2.83526921,0,0,0,0.00000000
2016-02-04,0,0.87001731,0,1.50491143,2.21695927,1.06014028,3.57663590,1.27742048,0,0.02078333,0,0.00000000
2016-02-05,0,1.15745799,0,0.42135215,5.39106414,1.93870161,5.60877778,5.58907192,0,0,0,0.00000000
2016-02-06,0,1.90446935,0,4.33716389,5.96528775,0.53199535,35.79388000,5.52346548,0,0,0,0.00000000
2016-02-07,0,1.26381237,0,3.44289275,4.73465855,6.16780370,4.57661667,9.98975292,0,0,0,0.00000000
2016-02-08,0,0.31966962,0,0.29608313,1.18275826,0.71827391,0.00456571,15.04832049,0,0.03880000,0,0.00000000
2016-02-09,66.25011447,35.39678293,0,1.26294808,2.45483530,4.33492500,0.18117500,81.91608984,0,0.00703333,0,0.00000000
2016-02-10,79.21045254,6.67209720,0,3.00282062,5.85458589,11.09877955,2.93309167,1.41093532,0,0.01312000,0,0.00000000
2016-02-11,28.55224057,4.00112228,0,15.89366000,6.06943664,3.51207872,0.07080000,4.36506391,0,0,0,0.00000000
2016-02-12,29.97606863,1.59745123,0,46.27994222,7.12267918,2.79403243,0.03271250,3.59170453,0,0,0,0.00000000
2016-02-13,16.28649352,19.20631802,0,9.91057692,7.34317964,6.44412500,0.83493000,16.16513646,0,0,0,0.00000000
2016-02-14,80.20036159,3.35890926,0,2.87513680,3.47313971,6.91628462,0.00392000,7.76299239,0,0,0,0.00000000
2016-02-15,48.11544135,2.04896563,0,1.64075736,2.23653445,14.38842683,0.00454889,3.53705181,0,0,0,0.00000000
2016-02-16,14.16146438,7.52228750,0,1.14454654,3.98319663,6.35019818,0.00443636,4.99897070,0,0,0,0.00000000
2016-02-17,16.23387789,5.05343788,0,1.32090778,5.40041705,1.27716250,0.00460000,11.40063612,0,0,0,0.00000000
2016-02-18,16.17947602,3.06780361,0,1.95631261,6.99178385,1.98301061,0.00541111,11.25985141,0,0,0,0.00000000
2016-02-19,18.86943927,1.64897471,0,2.69234492,5.12801403,4.62466111,0.00500000,9.67468038,0,0,0,0.00000000
2016-02-20,19.32128404,1.63990755,0,1.34581775,4.47681736,5.10666400,0.00417143,5.31299427,0,0,0,0.00000000
2016-02-21,50.18666667,1.15900371,0,2.46900698,3.52802413,4.07941667,0.00609091,5.34280646,0,0,0,0.00000000
2016-02-22,17.59116797,0.69593837,0,2.06650283,4.02543433,0.98726250,0.00838730,3.67616106,0,0,0,0.00000000
2016-02-23,18.45126849,0.52357260,0,3.24750602,5.91328803,9.57471778,2.40001250,2.46484463,0,0,0,0.00000000
2016-02-24,52.39835468,1.30553804,0,2.70381915,5.45788203,1.81857426,2.39508214,1.81194835,0,0,0,0.00000000
2016-02-25,34.87210732,4.85450243,0,4.71848286,5.95818452,2.21545113,0.04659118,4.54931715,0,0,0,0.00000000
2016-02-26,4.75492000,7.71682776,0,6.27783478,5.30293270,0.07371964,0.52352500,17.09602634,0,0,0,0.00000000
2016-02-27,32.43940615,1.77937086,0,4.92688980,4.38935499,0.01784744,0.00453333,10.00495214,0,0,0,0.00000000
2016-02-28,25.03500566,1.38965624,0,7.01763137,2.43716477,0.01046848,0.00416667,4.22071112,0,0,0,0.00000000
2016-02-29,7.39992348,1.21508190,0,2.12269882,1.30743543,0.00514865,0.01290789,4.23752977,0,0,0,0.00000000
2016-03-01,8.11126289,0.87707356,0,2.57375000,2.91934508,0.24117143,2.70414000,1.92453246,0,0,0,0.00000000
