Day,[GATECH KIDS] Wait Hours: Per Job,[PSC BLACKLIGHT] Wait Hours: Per Job,[SDSC GORDON] Wait Hours: Per Job,[GATECH KEENELAND] Wait Hours: Per Job,[SDSC TRESTLES] Wait Hours: Per Job,[NICS KRAKEN] Wait Hours: Per Job,[TACC RANGER] Wait Hours: Per Job,[PURDUE STEELE] Wait Hours: Per Job,[TACC LONESTAR4] Wait Hours: Per Job,[NICS NAUTILUS] Wait Hours: Per Job,[TACC LONGHORN] Wait Hours: Per Job,[PURDUE CONDOR] Wait Hours: Per Job,[TACC STAMPEDE] Wait Hours: Per Job
2013-02-01,0,12.51105591,0.76018021,27.84653763,3.75490066,10.48895047,4.14157774,4.95751075,1.18955104,0.06274483,0.00597000,0.04371346,0.09935742
2013-02-02,0,12.04730000,0.62625986,19.03497447,0.52374881,18.18783677,3.70031271,2.91050577,1.20770538,0.40162909,0.00472500,0.16279835,0.06376892
2013-02-03,0,18.57168852,2.78567085,23.49416957,0.35041627,18.24041306,0.85166210,3.73467850,1.35744222,1.39028571,0.00958750,0.81733250,0.02968428
2013-02-04,0,9.48102931,1.86333358,1.38154512,0.22000072,4.47304768,2.81313422,3.27380713,0.69544733,11.96489310,0.00814231,0.11052145,0.01051747
2013-02-05,0,2.71664861,1.07775822,42.87839663,0.36959149,4.83426123,58.32225467,23.35190434,2.35250234,23.77788235,0.00942273,0.13143323,0.04137419
2013-02-06,0,4.79921097,1.03135987,1.80874706,0.58155208,4.74446993,6.65802333,16.22128917,2.08370821,4.06298913,0.00853125,0.14985879,0.03162531
2013-02-07,0,3.34857204,2.72335271,3.68733152,2.54737605,4.71050135,1.67974206,2.10838234,6.71716871,0.17487273,0.00861429,0.11397150,0.03803311
2013-02-08,0,9.93824221,1.07951579,3.46632763,6.95845957,6.64490689,33.27388571,2.90011257,1.48960092,0.01268276,0.00951724,0.00883601,0.05833387
2013-02-09,0,4.58653222,1.44051748,18.70941429,5.47547882,5.35615076,256.83610000,1.88864221,1.44955570,0.01634667,0.01120952,0.00293000,0.02166517
2013-02-10,0,2.17724774,0.10883779,0.00000000,9.61309590,8.67511329,280.86890000,0.80857785,1.24002229,1.56644500,4.15262105,0.00280000,0.04281204
