title
"Wait Hours: Per Job: by Resource"
parameters

start,end
2012-08-01,2013-01-31
---------
Day,"[NCSA FORGE] Wait Hours: Per Job","[PSC BLACKLIGHT] Wait Hours: Per Job","[NICS KRAKEN] Wait Hours: Per Job","[GATECH KEENELAND] Wait Hours: Per Job","[SDSC GORDON] Wait Hours: Per Job","[TACC RANGER] Wait Hours: Per Job","[SDSC TRESTLES] Wait Hours: Per Job","[NICS NAUTILUS] Wait Hours: Per Job","[PURDUE STEELE] Wait Hours: Per Job","[TACC LONGHORN] Wait Hours: Per Job","[TACC LONESTAR4] Wait Hours: Per Job","[TACC STAMPEDE] Wait Hours: Per Job","[PURDUE CONDOR] Wait Hours: Per Job","[TACC SPUR] Wait Hours: Per Job"
2012-08-01,18.61422849,2.56403986,9.93614319,15.74634500,1.09092040,7.62877949,0.58180727,0.00545000,0.61969392,0.01383590,6.77766122,0,2.58317250,0.02360000
2012-08-02,22.29656798,29.37982485,18.36123230,17.24013125,1.59898990,4.87400859,0.60310406,0.01896833,3.09299739,0.25622500,9.15428689,0,2.23323566,0.02548333
2012-08-03,17.66160897,18.93402701,10.41515619,17.04710000,2.10407002,2.79717279,0.36765461,0.43641207,3.94904193,0.06236230,2.68054179,0,1.51177004,0.02563333
2012-08-04,5.11560599,50.97794500,12.83330926,35.89626667,5.02609095,5.14287071,0.25116629,1.00222381,1.24535742,2.41636897,4.80165034,0,4.09523814,0.02702000
2012-08-05,13.24383303,34.38492000,13.53623530,35.28953750,0.89016925,3.75968412,0.08935516,0.01156154,1.85367154,5.67476000,5.64723499,0,0.11573303,0.03220000
2012-08-06,13.60113466,44.29870672,7.50152970,2.53628000,3.28890395,6.89647576,0.18215426,0.09334545,1.79180062,2.43162821,4.14470113,0,0.28551602,0.02656667
2012-08-07,25.28859545,24.69848554,13.01668795,0,1.61628215,4.53205225,0.47491007,0.49390976,2.59266520,2.34697500,7.16263980,0,0.04195234,0.02905000
2012-08-08,21.88077849,35.58619468,5.30945605,73.55768000,3.23540621,5.69744571,11.16966483,2.30664038,4.32158908,2.55086769,4.81331283,0,1.45853769,0.03175000
2012-08-09,20.47199149,39.31649030,9.86007248,28.80948462,0.13453519,13.48711443,1.13454604,0.35642449,10.97606940,2.01804884,2.81563965,0,4.65126322,0.07009524
2012-08-10,32.30615405,25.56867757,6.09505866,69.62506111,0.11357579,11.42742135,0.84068854,1.60559130,4.75411612,2.43837759,3.29989403,0,3.80954637,0.03271111
2012-08-11,20.40162889,23.33430714,12.37556193,5.71821818,0.35572833,14.94266237,0.08147930,0.00512000,6.18824931,3.69147368,4.69139552,0,3.76226667,0.02938000
2012-08-12,85.24165833,29.70002651,39.97400424,3.25261228,1.15761059,6.29140906,0.34733881,0.00497857,3.55118475,6.04765000,5.29028382,0,47.69486364,0.02521053
2012-08-13,23.49394746,31.31050833,12.99642853,0.00056923,7.32510611,2.75392447,0.21399749,0.42361463,1.39423288,4.48001667,6.06586875,0,7.85983913,0.02528000
2012-08-14,10.38457907,19.99271333,15.01920851,0,1.44796910,5.60218022,0.20890754,0.00479167,6.76878344,3.53199286,9.04616429,0,0.17640616,0.03706000
